case,candidate_id,hypothesis,function_guess,variant,verilog_path,aig_path,verified_truth,equivalent,area,delay,adp,runtime_sec,notes
ex216,ex216_bf16_cube_hand_cube_guard_lut,bf16_cube,cube,hand_cube_guard_lut,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex216/verilog/ex216_bf16_cube_hand_cube_guard_lut.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex216/aigs/ex216_bf16_cube_hand_cube_guard_lut.aig,1,1,437,17,7429,0.765,semantic model exact over 65536 inputs; hand guarded cube semantic mod1 RTL; mant_table_items=127
ex218,ex218_bf16_reciprocal_cube_hand_recip_cube_guard_lut,bf16_reciprocal_cube,reciprocal_cube,hand_recip_cube_guard_lut,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex218/verilog/ex218_bf16_reciprocal_cube_hand_recip_cube_guard_lut.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex218/aigs/ex218_bf16_reciprocal_cube_hand_recip_cube_guard_lut.aig,1,1,469,22,10318,0.754,semantic model exact over 65536 inputs; hand guarded recip_cube semantic mod1 RTL; mant_table_items=127
ex219,ex219_bf16_reciprocal_cbrt_hand_recip_cbrt_guard_lut_expcase,bf16_reciprocal_cbrt,reciprocal_cbrt,hand_recip_cbrt_guard_lut_expcase,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex219/verilog/ex219_bf16_reciprocal_cbrt_hand_recip_cbrt_guard_lut_expcase.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex219/aigs/ex219_bf16_reciprocal_cbrt_hand_recip_cbrt_guard_lut_expcase.aig,1,1,601,19,11419,1.427,semantic model exact over 65536 inputs; hand guarded recip_cbrt exp-class semantic RTL; table_items=381
ex219,ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_6_cmp_fix5,bf16_reciprocal_cbrt,reciprocal_cbrt,delta_pair_first_hilo3_bits_6_cmp_fix5,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex219/verilog/ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_6_cmp_fix5.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex219/aigs/ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_6_cmp_fix5.aig,1,1,623,15,9345,11.944,semantic model exact over 65536 inputs; delta pair base_policy=first delta_mode=hilo3 items=27365; generic selected bit overrides bits=6 bit_hi_bits=cmp bit_items=684
ex218,ex218_bf16_reciprocal_cube_legacy_value_case_bits_15_cmp_fix5,bf16_reciprocal_cube,reciprocal_cube,legacy_value_case_bits_15_cmp_fix5,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex218/verilog/ex218_bf16_reciprocal_cube_legacy_value_case_bits_15_cmp_fix5.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex218/aigs/ex218_bf16_reciprocal_cube_legacy_value_case_bits_15_cmp_fix5.aig,1,1,467,13,6071,16.591,semantic model exact over 65536 inputs; legacy bf16_verilog_search value_case; 65536; selected bit overrides bits=15 bit_hi_bits=cmp bit_items=10
ex216,ex216_bf16_cube_aggr_semantic_positive_symmetry_fields_manual_sign_non_nan_fix7,bf16_cube,cube,aggr_semantic_positive_symmetry_fields_manual_sign_non_nan_fix7,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex216/verilog/ex216_bf16_cube_aggr_semantic_positive_symmetry_fields_manual_sign_non_nan_fix7.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex216/aigs/ex216_bf16_cube_aggr_semantic_positive_symmetry_fields_manual_sign_non_nan_fix7.aig,1,1,435,14,6090,9.687,semantic model exact over 65536 inputs; aggressive semantic BF16 RTL; items=positive_entries=32768; relation=sign_flip_pos; negative_exceptions=127; semantic model exact over 65536 inputs; manual sign bit override sign && !is_nan
ex218,ex218_bf16_reciprocal_cube_legacy_value_case_manual_sign_non_nan_fix7,bf16_reciprocal_cube,reciprocal_cube,legacy_value_case_manual_sign_non_nan_fix7,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex218/verilog/ex218_bf16_reciprocal_cube_legacy_value_case_manual_sign_non_nan_fix7.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex218/aigs/ex218_bf16_reciprocal_cube_legacy_value_case_manual_sign_non_nan_fix7.aig,1,1,479,15,7185,14.554,semantic model exact over 65536 inputs; legacy bf16_verilog_search value_case; 65536; manual sign bit override sign && !is_nan
ex219,ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_6_cmp_caseattrs_fix9,bf16_reciprocal_cbrt,reciprocal_cbrt,delta_pair_first_hilo3_bits_6_cmp_caseattrs_fix9,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex219/verilog/ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_6_cmp_caseattrs_fix9.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex219/aigs/ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_6_cmp_caseattrs_fix9.aig,1,1,623,15,9345,13.329,semantic model exact over 65536 inputs; delta pair base_policy=first delta_mode=hilo3 items=27365; generic selected bit overrides bits=6 bit_hi_bits=cmp bit_items=684; source case attributes parallel_case full_case
ex219,ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_caseattrs_fix9,bf16_reciprocal_cbrt,reciprocal_cbrt,delta_pair_first_hilo3_caseattrs_fix9,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex219/verilog/ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_caseattrs_fix9.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex219/aigs/ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_caseattrs_fix9.aig,1,1,655,15,9825,11.836,semantic model exact over 65536 inputs; delta pair base_policy=first delta_mode=hilo3 items=27365; source case attributes parallel_case full_case
ex218,ex218_bf16_reciprocal_cube_legacy_value_case_bits_15_cmp_caseattrs_fix9,bf16_reciprocal_cube,reciprocal_cube,legacy_value_case_bits_15_cmp_caseattrs_fix9,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex218/verilog/ex218_bf16_reciprocal_cube_legacy_value_case_bits_15_cmp_caseattrs_fix9.v,student/work/ex216_ex218_ex219_frontend_bf16_deep_20260606_1600/ex218/aigs/ex218_bf16_reciprocal_cube_legacy_value_case_bits_15_cmp_caseattrs_fix9.aig,1,1,467,13,6071,17.182,semantic model exact over 65536 inputs; legacy bf16_verilog_search value_case; 65536; selected bit overrides bits=15 bit_hi_bits=cmp bit_items=10; source case attributes parallel_case full_case
