case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex266,ex266_udiv_hybrid_bdd_hi4_interleave_resid_direct_abc_g_aig,1,147,28,4116,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex266/aigs/ex266_udiv_hybrid_bdd_hi4_interleave_resid_direct_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi4_interleave_resid_direct; flow=abc_g_aig
ex266,ex266_udiv_hybrid_bdd_hi4_interleave_resid_direct_wreduce_abc_g_aig,1,148,28,4144,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex266/aigs/ex266_udiv_hybrid_bdd_hi4_interleave_resid_direct_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi4_interleave_resid_direct; flow=wreduce_abc_g_aig
ex266,ex266_udiv_hybrid_bdd_hi4_interleave_resid_direct_synth_preset,1,130,25,3250,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex266/aigs/ex266_udiv_hybrid_bdd_hi4_interleave_resid_direct_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi4_interleave_resid_direct; flow=synth_preset
ex267,ex267_udiv_hybrid_bdd_hi2_bmsb_resid_direct_abc_g_aig,1,141,45,6345,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/aigs/ex267_udiv_hybrid_bdd_hi2_bmsb_resid_direct_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi2_bmsb_resid_direct; flow=abc_g_aig
ex267,ex267_udiv_hybrid_bdd_hi2_bmsb_resid_direct_wreduce_abc_g_aig,1,137,42,5754,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/aigs/ex267_udiv_hybrid_bdd_hi2_bmsb_resid_direct_wreduce_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi2_bmsb_resid_direct; flow=wreduce_abc_g_aig
ex267,ex267_udiv_hybrid_bdd_hi2_bmsb_resid_direct_synth_preset,1,136,42,5712,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/aigs/ex267_udiv_hybrid_bdd_hi2_bmsb_resid_direct_synth_preset.aig,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi2_bmsb_resid_direct; flow=synth_preset
ex267,ex267_udiv_hybrid_bdd_hi3_bmsb_resid_direct_abc_g_aig,1,150,42,6300,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/aigs/ex267_udiv_hybrid_bdd_hi3_bmsb_resid_direct_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi3_bmsb_resid_direct; flow=abc_g_aig
ex267,ex267_udiv_hybrid_bdd_hi3_bmsb_resid_direct_wreduce_abc_g_aig,1,150,42,6300,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/aigs/ex267_udiv_hybrid_bdd_hi3_bmsb_resid_direct_wreduce_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi3_bmsb_resid_direct; flow=wreduce_abc_g_aig
ex267,ex267_udiv_hybrid_bdd_hi3_bmsb_resid_direct_synth_preset,1,151,42,6342,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/aigs/ex267_udiv_hybrid_bdd_hi3_bmsb_resid_direct_synth_preset.aig,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi3_bmsb_resid_direct; flow=synth_preset
ex267,ex267_udiv_hybrid_bdd_hi4_bmsb_resid_direct_abc_g_aig,1,197,40,7880,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/aigs/ex267_udiv_hybrid_bdd_hi4_bmsb_resid_direct_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi4_bmsb_resid_direct; flow=abc_g_aig
ex267,ex267_udiv_hybrid_bdd_hi4_bmsb_resid_direct_wreduce_abc_g_aig,1,197,40,7880,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/aigs/ex267_udiv_hybrid_bdd_hi4_bmsb_resid_direct_wreduce_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi4_bmsb_resid_direct; flow=wreduce_abc_g_aig
ex267,ex267_udiv_hybrid_bdd_hi4_bmsb_resid_direct_synth_preset,1,191,42,8022,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/aigs/ex267_udiv_hybrid_bdd_hi4_bmsb_resid_direct_synth_preset.aig,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi4_bmsb_resid_direct; flow=synth_preset
ex267,ex267_udiv_hybrid_bdd_hi2_interleave_resid_direct_abc_g_aig,1,140,40,5600,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/aigs/ex267_udiv_hybrid_bdd_hi2_interleave_resid_direct_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi2_interleave_resid_direct; flow=abc_g_aig
