case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex266,ex266_udiv_hybrid_bdd_hi2_interleave_resid_direct_synth_preset,unsigned low5_high5:a/b dbz=max,hybrid_bdd_hi2_interleave_resid_direct+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex266/verilog/ex266_udiv_hybrid_bdd_hi2_interleave_resid_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex266/aigs/ex266_udiv_hybrid_bdd_hi2_interleave_resid_direct_synth_preset.aig,1,1,1,88,28,2464,848,2.905660,0,0,0.613,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi2_interleave_resid_direct; flow=synth_preset
ex266,ex266_udiv_hybrid_bdd_hi3_interleave_resid_direct_abc_g_aig,unsigned low5_high5:a/b dbz=max,hybrid_bdd_hi3_interleave_resid_direct+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex266/verilog/ex266_udiv_hybrid_bdd_hi3_interleave_resid_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex266/aigs/ex266_udiv_hybrid_bdd_hi3_interleave_resid_direct_abc_g_aig.aig,1,1,1,103,32,3296,848,3.886792,0,0,0.600,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi3_interleave_resid_direct; flow=abc_g_aig
ex266,ex266_udiv_hybrid_bdd_hi3_interleave_resid_direct_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,hybrid_bdd_hi3_interleave_resid_direct+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex266/verilog/ex266_udiv_hybrid_bdd_hi3_interleave_resid_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex266/aigs/ex266_udiv_hybrid_bdd_hi3_interleave_resid_direct_wreduce_abc_g_aig.aig,1,1,1,103,32,3296,848,3.886792,0,0,0.604,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi3_interleave_resid_direct; flow=wreduce_abc_g_aig
ex266,ex266_udiv_hybrid_bdd_hi3_interleave_resid_direct_synth_preset,unsigned low5_high5:a/b dbz=max,hybrid_bdd_hi3_interleave_resid_direct+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex266/verilog/ex266_udiv_hybrid_bdd_hi3_interleave_resid_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex266/aigs/ex266_udiv_hybrid_bdd_hi3_interleave_resid_direct_synth_preset.aig,1,1,1,98,30,2940,848,3.466981,0,0,0.628,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi3_interleave_resid_direct; flow=synth_preset
ex266,ex266_udiv_hybrid_bdd_hi4_interleave_resid_direct_abc_g_aig,unsigned low5_high5:a/b dbz=max,hybrid_bdd_hi4_interleave_resid_direct+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex266/verilog/ex266_udiv_hybrid_bdd_hi4_interleave_resid_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex266/aigs/ex266_udiv_hybrid_bdd_hi4_interleave_resid_direct_abc_g_aig.aig,1,1,1,147,28,4116,848,4.853774,0,0,0.597,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi4_interleave_resid_direct; flow=abc_g_aig
ex266,ex266_udiv_hybrid_bdd_hi4_interleave_resid_direct_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,hybrid_bdd_hi4_interleave_resid_direct+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex266/verilog/ex266_udiv_hybrid_bdd_hi4_interleave_resid_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex266/aigs/ex266_udiv_hybrid_bdd_hi4_interleave_resid_direct_wreduce_abc_g_aig.aig,1,1,1,148,28,4144,848,4.886792,0,0,0.603,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi4_interleave_resid_direct; flow=wreduce_abc_g_aig
ex266,ex266_udiv_hybrid_bdd_hi4_interleave_resid_direct_synth_preset,unsigned low5_high5:a/b dbz=max,hybrid_bdd_hi4_interleave_resid_direct+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex266/verilog/ex266_udiv_hybrid_bdd_hi4_interleave_resid_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex266/aigs/ex266_udiv_hybrid_bdd_hi4_interleave_resid_direct_synth_preset.aig,1,1,1,130,25,3250,848,3.832547,0,0,0.663,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi4_interleave_resid_direct; flow=synth_preset
ex267,ex267_udiv_hybrid_bdd_hi2_bmsb_resid_direct_abc_g_aig,unsigned low6_high6:a/b dbz=max,hybrid_bdd_hi2_bmsb_resid_direct+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/verilog/ex267_udiv_hybrid_bdd_hi2_bmsb_resid_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/aigs/ex267_udiv_hybrid_bdd_hi2_bmsb_resid_direct_abc_g_aig.aig,1,1,1,141,45,6345,2651,2.393436,0,0,0.736,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi2_bmsb_resid_direct; flow=abc_g_aig
ex267,ex267_udiv_hybrid_bdd_hi2_bmsb_resid_direct_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,hybrid_bdd_hi2_bmsb_resid_direct+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/verilog/ex267_udiv_hybrid_bdd_hi2_bmsb_resid_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/aigs/ex267_udiv_hybrid_bdd_hi2_bmsb_resid_direct_wreduce_abc_g_aig.aig,1,1,1,137,42,5754,2651,2.170502,0,0,0.708,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi2_bmsb_resid_direct; flow=wreduce_abc_g_aig
ex267,ex267_udiv_hybrid_bdd_hi2_bmsb_resid_direct_synth_preset,unsigned low6_high6:a/b dbz=max,hybrid_bdd_hi2_bmsb_resid_direct+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/verilog/ex267_udiv_hybrid_bdd_hi2_bmsb_resid_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/aigs/ex267_udiv_hybrid_bdd_hi2_bmsb_resid_direct_synth_preset.aig,1,1,1,136,42,5712,2651,2.154659,0,0,0.729,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi2_bmsb_resid_direct; flow=synth_preset
