case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex275,ex275_isqrt_support_interval_or_abc_g_aig,unsigned_floor_isqrt,support_interval_or+abc_g_aig,student/work/ex275_ex276_frontend_isqrt_support_reduced_20260609_1618/ex275/verilog/ex275_isqrt_support_interval_or.v,student/work/ex275_ex276_frontend_isqrt_support_reduced_20260609_1618/ex275/aigs/ex275_isqrt_support_interval_or_abc_g_aig.aig,1,1,1,48,9,432,204,2.117647,0,0,0.336,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=support_interval_or; flow=abc_g_aig
ex275,ex275_isqrt_support_interval_or_wreduce_abc_g_aig,unsigned_floor_isqrt,support_interval_or+wreduce_abc_g_aig,student/work/ex275_ex276_frontend_isqrt_support_reduced_20260609_1618/ex275/verilog/ex275_isqrt_support_interval_or.v,student/work/ex275_ex276_frontend_isqrt_support_reduced_20260609_1618/ex275/aigs/ex275_isqrt_support_interval_or_wreduce_abc_g_aig.aig,1,1,1,48,9,432,204,2.117647,0,0,0.319,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=support_interval_or; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_support_interval_or_arith_wreduce_aig,unsigned_floor_isqrt,support_interval_or+arith_wreduce_aig,student/work/ex275_ex276_frontend_isqrt_support_reduced_20260609_1618/ex275/verilog/ex275_isqrt_support_interval_or.v,student/work/ex275_ex276_frontend_isqrt_support_reduced_20260609_1618/ex275/aigs/ex275_isqrt_support_interval_or_arith_wreduce_aig.aig,1,1,1,53,9,477,204,2.338235,0,0,0.313,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=support_interval_or; flow=arith_wreduce_aig
ex275,ex275_isqrt_support_interval_or_synth_preset,unsigned_floor_isqrt,support_interval_or+synth_preset,student/work/ex275_ex276_frontend_isqrt_support_reduced_20260609_1618/ex275/verilog/ex275_isqrt_support_interval_or.v,student/work/ex275_ex276_frontend_isqrt_support_reduced_20260609_1618/ex275/aigs/ex275_isqrt_support_interval_or_synth_preset.aig,1,1,1,51,10,510,204,2.500000,0,0,0.382,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=support_interval_or; flow=synth_preset
ex275,ex275_isqrt_support_interval_or_synth_preset_d6,unsigned_floor_isqrt,support_interval_or+synth_preset_d6,student/work/ex275_ex276_frontend_isqrt_support_reduced_20260609_1618/ex275/verilog/ex275_isqrt_support_interval_or.v,student/work/ex275_ex276_frontend_isqrt_support_reduced_20260609_1618/ex275/aigs/ex275_isqrt_support_interval_or_synth_preset_d6.aig,1,1,1,51,10,510,204,2.500000,0,0,0.339,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=support_interval_or; flow=synth_preset_d6
ex275,ex275_isqrt_support_interval_or_synth_preset_d8,unsigned_floor_isqrt,support_interval_or+synth_preset_d8,student/work/ex275_ex276_frontend_isqrt_support_reduced_20260609_1618/ex275/verilog/ex275_isqrt_support_interval_or.v,student/work/ex275_ex276_frontend_isqrt_support_reduced_20260609_1618/ex275/aigs/ex275_isqrt_support_interval_or_synth_preset_d8.aig,1,1,1,51,10,510,204,2.500000,0,0,0.351,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=support_interval_or; flow=synth_preset_d8
ex275,ex275_isqrt_support_interval_or_synth_preset_d10,unsigned_floor_isqrt,support_interval_or+synth_preset_d10,student/work/ex275_ex276_frontend_isqrt_support_reduced_20260609_1618/ex275/verilog/ex275_isqrt_support_interval_or.v,student/work/ex275_ex276_frontend_isqrt_support_reduced_20260609_1618/ex275/aigs/ex275_isqrt_support_interval_or_synth_preset_d10.aig,1,1,1,51,10,510,204,2.500000,0,0,0.365,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=support_interval_or; flow=synth_preset_d10
ex275,ex275_isqrt_support_interval_or_abc_g_aig_d6,unsigned_floor_isqrt,support_interval_or+abc_g_aig_d6,student/work/ex275_ex276_frontend_isqrt_support_reduced_20260609_1618/ex275/verilog/ex275_isqrt_support_interval_or.v,student/work/ex275_ex276_frontend_isqrt_support_reduced_20260609_1618/ex275/aigs/ex275_isqrt_support_interval_or_abc_g_aig_d6.aig,1,1,1,48,9,432,204,2.117647,0,0,0.312,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=support_interval_or; flow=abc_g_aig_d6
ex275,ex275_isqrt_support_interval_or_abc_g_aig_d8,unsigned_floor_isqrt,support_interval_or+abc_g_aig_d8,student/work/ex275_ex276_frontend_isqrt_support_reduced_20260609_1618/ex275/verilog/ex275_isqrt_support_interval_or.v,student/work/ex275_ex276_frontend_isqrt_support_reduced_20260609_1618/ex275/aigs/ex275_isqrt_support_interval_or_abc_g_aig_d8.aig,1,1,1,48,9,432,204,2.117647,0,0,0.318,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=support_interval_or; flow=abc_g_aig_d8
ex275,ex275_isqrt_support_interval_or_abc_g_aig_d10,unsigned_floor_isqrt,support_interval_or+abc_g_aig_d10,student/work/ex275_ex276_frontend_isqrt_support_reduced_20260609_1618/ex275/verilog/ex275_isqrt_support_interval_or.v,student/work/ex275_ex276_frontend_isqrt_support_reduced_20260609_1618/ex275/aigs/ex275_isqrt_support_interval_or_abc_g_aig_d10.aig,1,1,1,48,9,432,204,2.117647,0,0,0.311,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=support_interval_or; flow=abc_g_aig_d10
ex275,ex275_isqrt_support_threshold_xor_abc_g_aig,unsigned_floor_isqrt,support_threshold_xor+abc_g_aig,student/work/ex275_ex276_frontend_isqrt_support_reduced_20260609_1618/ex275/verilog/ex275_isqrt_support_threshold_xor.v,student/work/ex275_ex276_frontend_isqrt_support_reduced_20260609_1618/ex275/aigs/ex275_isqrt_support_threshold_xor_abc_g_aig.aig,1,1,1,52,8,416,204,2.039216,0,0,0.298,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=support_threshold_xor; flow=abc_g_aig
ex275,ex275_isqrt_support_threshold_xor_wreduce_abc_g_aig,unsigned_floor_isqrt,support_threshold_xor+wreduce_abc_g_aig,student/work/ex275_ex276_frontend_isqrt_support_reduced_20260609_1618/ex275/verilog/ex275_isqrt_support_threshold_xor.v,student/work/ex275_ex276_frontend_isqrt_support_reduced_20260609_1618/ex275/aigs/ex275_isqrt_support_threshold_xor_wreduce_abc_g_aig.aig,1,1,1,52,8,416,204,2.039216,0,0,0.303,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=support_threshold_xor; flow=wreduce_abc_g_aig
