case,candidate_id,evaluate_status,equivalent,area,delay,adp,verilog_path,aig_path,log_path,agent_id,notes,status,output_dir,evaluate_log,runtime_sec,shard_csv,domain,method_signature
ex223,ex223_r72_segdelta_hi7_lo3_abc_g_aig,OK,1,7904,48,379392,student/work/frontend_source_parallel_round72_20260613_1338/sub-fp16-int-r72/ex223/verilog/ex223_r72_segdelta_hi7_lo3_abc_g_aig.v,student/work/frontend_source_parallel_round72_20260613_1338/sub-fp16-int-r72/ex223/aigs/ex223_r72_segdelta_hi7_lo3_abc_g_aig.aig,student/work/frontend_source_parallel_round72_20260613_1338/sub-fp16-int-r72/ex223/aigs/ex223_r72_segdelta_hi7_lo3_abc_g_aig.yosys.log,sub-fp16-int-r72,special const_groups=33 full_groups=1 items=1057; segment-delta exact interpolation seg_hi=7 lo=3 segments=3840 max_abs_delta=7930,official_ok,student/runs/fp16/frontend_source_parallel_round72_20260613_1338/sub-fp16-int-r72/ex223/official_eval/ex223_r72_segdelta_hi7_lo3_abc_g_aig,student/runs/fp16/frontend_source_parallel_round72_20260613_1338/sub-fp16-int-r72/ex223/official_eval/ex223_r72_segdelta_hi7_lo3_abc_g_aig.evaluate.py.log,18.014,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1338/agent_shards/sub-fp16-int-r72/evaluation_results.csv,fp16,ex223|exact_log/log10_piecewise_monotone_segment_interpolation|mantissa_hi7_segment_base_word_plus_exact_lo3_signed_delta|shared_special_sign-exp_decode_and_per-exp_mantissa_segment_base/delta_tables|abc_g_aig|abc_xf_official_evaluate|r72_segdelta_hi7_lo3
ex223,ex223_r72_low9_flat_highruns_abc_g_aig,OK,1,11220,22,246840,student/work/frontend_source_parallel_round72_20260613_1338/sub-fp16-int-r72/ex223/verilog/ex223_r72_low9_flat_highruns_abc_g_aig.v,student/work/frontend_source_parallel_round72_20260613_1338/sub-fp16-int-r72/ex223/aigs/ex223_r72_low9_flat_highruns_abc_g_aig.aig,student/work/frontend_source_parallel_round72_20260613_1338/sub-fp16-int-r72/ex223/aigs/ex223_r72_low9_flat_highruns_abc_g_aig.yosys.log,sub-fp16-int-r72,special const_groups=33 full_groups=1 items=1057; flat low9 per-active-exp ROM items=30720 const_exp=0; b15 runs=30 max=1 const_groups=30; b14 runs=32 max=2 const_groups=28; b13 runs=34 max=2 const_groups=26; b12 runs=37 max=4 const_groups=26; b11 runs=44 max=6 const_groups=24; b10 runs=58 max=11 const_groups=20; b9 runs=82 max=19 const_groups=16,official_ok,student/runs/fp16/frontend_source_parallel_round72_20260613_1338/sub-fp16-int-r72/ex223/official_eval/ex223_r72_low9_flat_highruns_abc_g_aig,student/runs/fp16/frontend_source_parallel_round72_20260613_1338/sub-fp16-int-r72/ex223/official_eval/ex223_r72_low9_flat_highruns_abc_g_aig.evaluate.py.log,11.755,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1338/agent_shards/sub-fp16-int-r72/evaluation_results.csv,fp16,ex223|high-bit_threshold-only_plus_low-bit_small_ROM_per_active_exponent|flat_low9_active-exponent_ROM_with_bits15:9_as_mantissa_run_trees|shared_special_sign-exp_decode_and_per-exp_high-bit_run_predicates|abc_g_aig|abc_xf_official_evaluate|r72_low9_flat_highruns
ex225,ex225_r72_segdelta_hi7_lo3_abc_g_aig,OK,1,7935,48,380880,student/work/frontend_source_parallel_round72_20260613_1338/sub-fp16-int-r72/ex225/verilog/ex225_r72_segdelta_hi7_lo3_abc_g_aig.v,student/work/frontend_source_parallel_round72_20260613_1338/sub-fp16-int-r72/ex225/aigs/ex225_r72_segdelta_hi7_lo3_abc_g_aig.aig,student/work/frontend_source_parallel_round72_20260613_1338/sub-fp16-int-r72/ex225/aigs/ex225_r72_segdelta_hi7_lo3_abc_g_aig.yosys.log,sub-fp16-int-r72,special const_groups=33 full_groups=1 items=1057; segment-delta exact interpolation seg_hi=7 lo=3 segments=3840 max_abs_delta=6671,official_ok,student/runs/fp16/frontend_source_parallel_round72_20260613_1338/sub-fp16-int-r72/ex225/official_eval/ex225_r72_segdelta_hi7_lo3_abc_g_aig,student/runs/fp16/frontend_source_parallel_round72_20260613_1338/sub-fp16-int-r72/ex225/official_eval/ex225_r72_segdelta_hi7_lo3_abc_g_aig.evaluate.py.log,18.035,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1338/agent_shards/sub-fp16-int-r72/evaluation_results.csv,fp16,ex225|exact_log/log10_piecewise_monotone_segment_interpolation|mantissa_hi7_segment_base_word_plus_exact_lo3_signed_delta|shared_special_sign-exp_decode_and_per-exp_mantissa_segment_base/delta_tables|abc_g_aig|abc_xf_official_evaluate|r72_segdelta_hi7_lo3
ex225,ex225_r72_low9_flat_highruns_abc_g_aig,OK,1,11522,22,253484,student/work/frontend_source_parallel_round72_20260613_1338/sub-fp16-int-r72/ex225/verilog/ex225_r72_low9_flat_highruns_abc_g_aig.v,student/work/frontend_source_parallel_round72_20260613_1338/sub-fp16-int-r72/ex225/aigs/ex225_r72_low9_flat_highruns_abc_g_aig.aig,student/work/frontend_source_parallel_round72_20260613_1338/sub-fp16-int-r72/ex225/aigs/ex225_r72_low9_flat_highruns_abc_g_aig.yosys.log,sub-fp16-int-r72,special const_groups=33 full_groups=1 items=1057; flat low9 per-active-exp ROM items=30720 const_exp=0; b15 runs=30 max=1 const_groups=30; b14 runs=32 max=2 const_groups=28; b13 runs=34 max=2 const_groups=26; b12 runs=38 max=4 const_groups=26; b11 runs=45 max=7 const_groups=24; b10 runs=60 max=12 const_groups=20; b9 runs=83 max=20 const_groups=14,official_ok,student/runs/fp16/frontend_source_parallel_round72_20260613_1338/sub-fp16-int-r72/ex225/official_eval/ex225_r72_low9_flat_highruns_abc_g_aig,student/runs/fp16/frontend_source_parallel_round72_20260613_1338/sub-fp16-int-r72/ex225/official_eval/ex225_r72_low9_flat_highruns_abc_g_aig.evaluate.py.log,12.177,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1338/agent_shards/sub-fp16-int-r72/evaluation_results.csv,fp16,ex225|high-bit_threshold-only_plus_low-bit_small_ROM_per_active_exponent|flat_low9_active-exponent_ROM_with_bits15:9_as_mantissa_run_trees|shared_special_sign-exp_decode_and_per-exp_high-bit_run_predicates|abc_g_aig|abc_xf_official_evaluate|r72_low9_flat_highruns
ex260,ex260_r72_shared_anf_allbits_abc_g_aig,OK,1,261,34,8874,student/work/frontend_source_parallel_round72_20260613_1338/sub-fp16-int-r72/ex260/verilog/ex260_r72_shared_anf_allbits_abc_g_aig.v,student/work/frontend_source_parallel_round72_20260613_1338/sub-fp16-int-r72/ex260/aigs/ex260_r72_shared_anf_allbits_abc_g_aig.aig,student/work/frontend_source_parallel_round72_20260613_1338/sub-fp16-int-r72/ex260/aigs/ex260_r72_shared_anf_allbits_abc_g_aig.yosys.log,sub-fp16-int-r72,b0_anf_terms=1; b1_anf_terms=2; b2_anf_terms=4; b3_anf_terms=10; b4_anf_terms=26; b5_anf_terms=48; b6_anf_terms=64; b7_anf_terms=28; shared_monomials=137,official_ok,student/runs/integer/frontend_source_parallel_round72_20260613_1338/sub-fp16-int-r72/ex260/official_eval/ex260_r72_shared_anf_allbits_abc_g_aig,student/runs/integer/frontend_source_parallel_round72_20260613_1338/sub-fp16-int-r72/ex260/official_eval/ex260_r72_shared_anf_allbits_abc_g_aig.evaluate.py.log,0.392,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1338/agent_shards/sub-fp16-int-r72/evaluation_results.csv,integer,ex260|hand-minimized_Boolean_equations_for_signed_4x4_product|shared_ANF_monomial_network_for_all_product_bits|single_shared_positive-literal_monomial_pool_reused_across_output_XOR_cones|abc_g_aig|abc_xf_official_evaluate|r72_shared_anf_allbits
ex260,ex260_r72_lowcols_highanf_abc_g_aig,OK,1,254,29,7366,student/work/frontend_source_parallel_round72_20260613_1338/sub-fp16-int-r72/ex260/verilog/ex260_r72_lowcols_highanf_abc_g_aig.v,student/work/frontend_source_parallel_round72_20260613_1338/sub-fp16-int-r72/ex260/aigs/ex260_r72_lowcols_highanf_abc_g_aig.aig,student/work/frontend_source_parallel_round72_20260613_1338/sub-fp16-int-r72/ex260/aigs/ex260_r72_lowcols_highanf_abc_g_aig.yosys.log,sub-fp16-int-r72,low4 explicit modulo product columns; b4_anf_terms=26; b5_anf_terms=48; b6_anf_terms=64; b7_anf_terms=28; shared_high_monomials=125,official_ok,student/runs/integer/frontend_source_parallel_round72_20260613_1338/sub-fp16-int-r72/ex260/official_eval/ex260_r72_lowcols_highanf_abc_g_aig,student/runs/integer/frontend_source_parallel_round72_20260613_1338/sub-fp16-int-r72/ex260/official_eval/ex260_r72_lowcols_highanf_abc_g_aig.evaluate.py.log,0.451,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1338/agent_shards/sub-fp16-int-r72/evaluation_results.csv,integer,ex260|hybrid_shared_partial_product_monomials_for_sign-extension_bits|explicit_low_modulo-product_columns_plus_ANF_high_product_bits|low-column_partial_products_and_high-bit_shared_ANF_monomials|abc_g_aig|abc_xf_official_evaluate|r72_lowcols_highanf
ex266,ex266_r72_shared_mult_qbits_abc_g_aig,OK,1,679,21,14259,student/work/frontend_source_parallel_round72_20260613_1338/sub-fp16-int-r72/ex266/verilog/ex266_r72_shared_mult_qbits_abc_g_aig.v,student/work/frontend_source_parallel_round72_20260613_1338/sub-fp16-int-r72/ex266/aigs/ex266_r72_shared_mult_qbits_abc_g_aig.aig,student/work/frontend_source_parallel_round72_20260613_1338/sub-fp16-int-r72/ex266/aigs/ex266_r72_shared_mult_qbits_abc_g_aig.yosys.log,sub-fp16-int-r72,shared multiples mult1..mult31 generated once; quotient bits are threshold interval predicates,official_ok,student/runs/integer/frontend_source_parallel_round72_20260613_1338/sub-fp16-int-r72/ex266/official_eval/ex266_r72_shared_mult_qbits_abc_g_aig,student/runs/integer/frontend_source_parallel_round72_20260613_1338/sub-fp16-int-r72/ex266/official_eval/ex266_r72_shared_mult_qbits_abc_g_aig.evaluate.py.log,0.965,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1338/agent_shards/sub-fp16-int-r72/evaluation_results.csv,integer,ex266|quotient_bit_comparators_with_shared_multiples_generated_once|q-bit_threshold_interval_predicates_over_ge(k*b)_wires|one_shared_constant-multiple_bank_feeds_all_quotient-bit_interval_formulas|abc_g_aig|abc_xf_official_evaluate|r72_shared_mult_qbits
ex266,ex266_r72_wordmux_q43_replace_synth_preset_d18,OK,1,151,12,1812,student/work/frontend_source_parallel_round72_20260613_1338/sub-fp16-int-r72/ex266/verilog/ex266_r72_wordmux_q43_replace_synth_preset_d18.v,student/work/frontend_source_parallel_round72_20260613_1338/sub-fp16-int-r72/ex266/aigs/ex266_r72_wordmux_q43_replace_synth_preset_d18.aig,student/work/frontend_source_parallel_round72_20260613_1338/sub-fp16-int-r72/ex266/aigs/ex266_r72_wordmux_q43_replace_synth_preset_d18.yosys.log,sub-fp16-int-r72,current word-mux source with q4/q3 replaced by shared multiple threshold predicates,official_ok,student/runs/integer/frontend_source_parallel_round72_20260613_1338/sub-fp16-int-r72/ex266/official_eval/ex266_r72_wordmux_q43_replace_synth_preset_d18,student/runs/integer/frontend_source_parallel_round72_20260613_1338/sub-fp16-int-r72/ex266/official_eval/ex266_r72_wordmux_q43_replace_synth_preset_d18.evaluate.py.log,0.520,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1338/agent_shards/sub-fp16-int-r72/evaluation_results.csv,integer,ex266|high-cost_bit_replacement_over_current_wordmux_source|current_cofactor_word-mux_low_bits_with_q4/q3_shared_multiple_comparators|preserve_existing_low_quotient_word-mux_sharing_and_replace_only_high_quotient_bits|synth_preset_d18|abc_xf_official_evaluate|r72_wordmux_q43_replace
ex240,ex240_r72_normfield_shell_abs,OK,1,11250,35,393750,student/work/frontend_source_parallel_round72_20260613_1338/sub-fp8-addhyp-r72/ex240/verilog/ex240_r72_normfield_shell_abs.v,student/work/frontend_source_parallel_round72_20260613_1338/sub-fp8-addhyp-r72/ex240/aigs/ex240_r72_normfield_shell_abs.aig,student/work/frontend_source_parallel_round72_20260613_1338/sub-fp8-addhyp-r72/ex240/logs/ex240_r72_normfield_shell_abs.evaluate.py.log,sub-fp8-addhyp-r72,official evaluate.py OK; synth_sec=17.651; eval_sec=0.880; frontend_best=26230; current=21046; reference=13299,OK,student/work/frontend_source_parallel_round72_20260613_1338/sub-fp8-addhyp-r72/ex240/official_output/ex240_r72_normfield_shell_abs,student/work/frontend_source_parallel_round72_20260613_1338/sub-fp8-addhyp-r72/ex240/logs/ex240_r72_normfield_shell_abs.evaluate.py.log,0.880,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1338/agent_shards/sub-fp8-addhyp-r72/evaluation_results.csv,float_fp8,ex240|E4M3FN packed add|normalize-and-add field shell with absolute exp/mant residual|shared sorted decode and same/diff active key; residual LUT emits normalized exponent and mantissa fields|repo_yosys_frontend_default|official_evaluate|normfield_abs_exp_mant
ex240,ex240_r72_normcarry_rel,OK,1,7994,40,319760,student/work/frontend_source_parallel_round72_20260613_1338/sub-fp8-addhyp-r72/ex240/verilog/ex240_r72_normcarry_rel.v,student/work/frontend_source_parallel_round72_20260613_1338/sub-fp8-addhyp-r72/ex240/aigs/ex240_r72_normcarry_rel.aig,student/work/frontend_source_parallel_round72_20260613_1338/sub-fp8-addhyp-r72/ex240/logs/ex240_r72_normcarry_rel.evaluate.py.log,sub-fp8-addhyp-r72,official evaluate.py OK; synth_sec=14.760; eval_sec=0.845; frontend_best=26230; current=21046; reference=13299,OK,student/work/frontend_source_parallel_round72_20260613_1338/sub-fp8-addhyp-r72/ex240/official_output/ex240_r72_normcarry_rel,student/work/frontend_source_parallel_round72_20260613_1338/sub-fp8-addhyp-r72/ex240/logs/ex240_r72_normcarry_rel.evaluate.py.log,0.845,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1338/agent_shards/sub-fp8-addhyp-r72/evaluation_results.csv,float_fp8,"ex240|E4M3FN packed add|normalize-and-add carry sharing with relative exponent residual|shared max exponent carry path; LUT emits signed exponent adjust, subnormal flag, and mantissa residual|repo_yosys_frontend_default|official_evaluate|normcarry_relative_exp"
