case,target_degree,basis_mask,basis_popcount,terms,actual_degree,degree_hist,notes
ex286,1,0x1fff,13,13,1,d1:13,output XOR coordinate in nullspace of high-degree ANF coefficients
ex286,2,0x1555,7,25,2,d1:3;d2:22,output XOR coordinate in nullspace of high-degree ANF coefficients
ex286,2,0xaaa,6,32,2,d1:10;d2:22,output XOR coordinate in nullspace of high-degree ANF coefficients
ex286,3,0x1999,7,51,3,d1:5;d2:34;d3:12,output XOR coordinate in nullspace of high-degree ANF coefficients
ex286,3,0xaaa,6,32,2,d1:10;d2:22,output XOR coordinate in nullspace of high-degree ANF coefficients
ex286,3,0xccc,6,38,3,d1:6;d2:20;d3:12,output XOR coordinate in nullspace of high-degree ANF coefficients
ex286,4,0x1111,4,74,4,d1:1;d2:16;d3:40;d4:17,output XOR coordinate in nullspace of high-degree ANF coefficients
ex286,4,0x222,3,95,4,d1:6;d2:32;d3:40;d4:17,output XOR coordinate in nullspace of high-degree ANF coefficients
ex286,4,0x444,3,67,4,d1:2;d2:8;d3:40;d4:17,output XOR coordinate in nullspace of high-degree ANF coefficients
ex286,4,0x888,3,85,4,d1:4;d2:24;d3:40;d4:17,output XOR coordinate in nullspace of high-degree ANF coefficients
ex287,1,0x3fff,14,14,1,d1:14,output XOR coordinate in nullspace of high-degree ANF coefficients
ex287,2,0x1555,7,29,2,d1:2;d2:27,output XOR coordinate in nullspace of high-degree ANF coefficients
ex287,2,0x2aaa,7,39,2,d1:12;d2:27,output XOR coordinate in nullspace of high-degree ANF coefficients
ex287,3,0x1999,7,61,3,d1:6;d2:43;d3:12,output XOR coordinate in nullspace of high-degree ANF coefficients
ex287,3,0x2aaa,7,39,2,d1:12;d2:27,output XOR coordinate in nullspace of high-degree ANF coefficients
ex287,3,0xccc,6,38,3,d1:6;d2:20;d3:12,output XOR coordinate in nullspace of high-degree ANF coefficients
ex287,4,0x1111,4,80,4,d1:1;d2:20;d3:42;d4:17,output XOR coordinate in nullspace of high-degree ANF coefficients
ex287,4,0x2222,4,102,4,d1:7;d2:36;d3:42;d4:17,output XOR coordinate in nullspace of high-degree ANF coefficients
ex287,4,0x444,3,71,4,d1:1;d2:11;d3:42;d4:17,output XOR coordinate in nullspace of high-degree ANF coefficients
ex287,4,0x888,3,91,4,d1:5;d2:27;d3:42;d4:17,output XOR coordinate in nullspace of high-degree ANF coefficients
ex288,1,0x7fff,15,15,1,d1:15,output XOR coordinate in nullspace of high-degree ANF coefficients
ex288,2,0x5555,8,30,2,d1:3;d2:27,output XOR coordinate in nullspace of high-degree ANF coefficients
ex288,2,0x2aaa,7,39,2,d1:12;d2:27,output XOR coordinate in nullspace of high-degree ANF coefficients
ex288,3,0x1999,7,73,3,d1:6;d2:43;d3:24,output XOR coordinate in nullspace of high-degree ANF coefficients
ex288,3,0x2aaa,7,39,2,d1:12;d2:27,output XOR coordinate in nullspace of high-degree ANF coefficients
ex288,3,0x4ccc,7,57,3,d1:5;d2:28;d3:24,output XOR coordinate in nullspace of high-degree ANF coefficients
ex288,4,0x1111,4,88,4,d1:2;d2:16;d3:53;d4:17,output XOR coordinate in nullspace of high-degree ANF coefficients
ex288,4,0x2222,4,114,4,d1:8;d2:40;d3:49;d4:17,output XOR coordinate in nullspace of high-degree ANF coefficients
ex288,4,0x4444,4,88,4,d1:1;d2:17;d3:53;d4:17,output XOR coordinate in nullspace of high-degree ANF coefficients
ex288,4,0x888,3,99,4,d1:4;d2:29;d3:49;d4:17,output XOR coordinate in nullspace of high-degree ANF coefficients
ex289,1,0xffff,16,16,1,d1:16,output XOR coordinate in nullspace of high-degree ANF coefficients
ex289,2,0x5555,8,34,2,d1:2;d2:32,output XOR coordinate in nullspace of high-degree ANF coefficients
ex289,2,0xaaaa,8,46,2,d1:14;d2:32,output XOR coordinate in nullspace of high-degree ANF coefficients
ex289,3,0x9999,8,76,3,d1:4;d2:56;d3:16,output XOR coordinate in nullspace of high-degree ANF coefficients
ex289,3,0xaaaa,8,46,2,d1:14;d2:32,output XOR coordinate in nullspace of high-degree ANF coefficients
ex289,3,0xcccc,8,50,3,d1:6;d2:28;d3:16,output XOR coordinate in nullspace of high-degree ANF coefficients
ex289,4,0x1111,4,108,4,d2:22;d3:60;d4:26,output XOR coordinate in nullspace of high-degree ANF coefficients
ex289,4,0x2222,4,154,4,d1:10;d2:50;d3:68;d4:26,output XOR coordinate in nullspace of high-degree ANF coefficients
ex289,4,0x4444,4,98,4,d1:2;d2:10;d3:60;d4:26,output XOR coordinate in nullspace of high-degree ANF coefficients
ex289,4,0x8888,4,132,4,d1:4;d2:34;d3:68;d4:26,output XOR coordinate in nullspace of high-degree ANF coefficients
