case,candidate_id,area,delay,adp,reference_adp,adp_ratio_to_reference,current_best_adp,delta_vs_current,beats_current,variant,items,notes
ex280,ex280_prefix_parity_full_clamp_simplified_rank_abc_g_aig,196,30,5880,2415,2.434783,4712,1168,0,abc_g_aig,,Yosys abc gate set aig
ex284,ex284_prefix_parity_reduce_full_clamp_simplified_rank_abc_g_aig,257,36,9252,4240,2.182075,7800,1452,0,abc_g_aig,,Yosys abc gate set aig
