case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes
ex286,ex286_unknown_lane_parity_repair_low,unknown_lane_parity_repair,low,student/work/ex286_frontend_lane_parity_repair_smoke_20260609_1858/ex286/verilog/ex286_unknown_lane_parity_repair_low.v,student/work/ex286_frontend_lane_parity_repair_smoke_20260609_1858/ex286/aigs/ex286_unknown_lane_parity_repair_low.aig,1,1,1,2041,22,44902,1.416,skip_style=low; skipped_bits=0:1:2:3; lane_masks=0x1111:0x222:0x444:0x888; lane_terms=74:95:67:85; unique_monomials=115; base=ex286_interleave_f00_k4_abc_g_aig; hash=6e0b7706549f,lane parity degree<=4 repair wrapper over current best
ex286,ex286_unknown_lane_parity_repair_high,unknown_lane_parity_repair,high,student/work/ex286_frontend_lane_parity_repair_smoke_20260609_1858/ex286/verilog/ex286_unknown_lane_parity_repair_high.v,student/work/ex286_frontend_lane_parity_repair_smoke_20260609_1858/ex286/aigs/ex286_unknown_lane_parity_repair_high.aig,1,1,1,2070,23,47610,1.383,skip_style=high; skipped_bits=12:9:10:11; lane_masks=0x1111:0x222:0x444:0x888; lane_terms=74:95:67:85; unique_monomials=115; base=ex286_interleave_f00_k4_abc_g_aig; hash=1dc428d30d67,lane parity degree<=4 repair wrapper over current best
ex286,ex286_unknown_lane_parity_repair_middle,unknown_lane_parity_repair,middle,student/work/ex286_frontend_lane_parity_repair_smoke_20260609_1858/ex286/verilog/ex286_unknown_lane_parity_repair_middle.v,student/work/ex286_frontend_lane_parity_repair_smoke_20260609_1858/ex286/aigs/ex286_unknown_lane_parity_repair_middle.aig,1,1,1,2040,22,44880,1.381,skip_style=middle; skipped_bits=8:5:6:7; lane_masks=0x1111:0x222:0x444:0x888; lane_terms=74:95:67:85; unique_monomials=115; base=ex286_interleave_f00_k4_abc_g_aig; hash=3879b42f7e4f,lane parity degree<=4 repair wrapper over current best
