case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex260,ex260_smul_baugh_wooley_wallace_rev_rhcla4_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_rhcla4+abc_g_aig,student/work/ex260_ex264_frontend_smul_order_hybrid_expand_20260609_0559/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_rhcla4.v,student/work/ex260_ex264_frontend_smul_order_hybrid_expand_20260609_0559/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_rhcla4_abc_g_aig.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.233,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_rhcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_rhcla4_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_rhcla4+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_order_hybrid_expand_20260609_0559/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_rhcla4.v,student/work/ex260_ex264_frontend_smul_order_hybrid_expand_20260609_0559/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_rhcla4_wreduce_abc_g_aig.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.204,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_rhcla4; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_rhcla4_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_rev_rhcla4+synth_preset_d13,student/work/ex260_ex264_frontend_smul_order_hybrid_expand_20260609_0559/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_rhcla4.v,student/work/ex260_ex264_frontend_smul_order_hybrid_expand_20260609_0559/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_rhcla4_synth_preset_d13.aig,1,1,1,87,14,1218,657,1.853881,0,0,0.267,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_rhcla4; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_rev_rhcla5_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_rhcla5+abc_g_aig,student/work/ex260_ex264_frontend_smul_order_hybrid_expand_20260609_0559/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_rhcla5.v,student/work/ex260_ex264_frontend_smul_order_hybrid_expand_20260609_0559/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_rhcla5_abc_g_aig.aig,1,1,1,87,16,1392,657,2.118721,0,0,0.200,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_rhcla5; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_rhcla5_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_rhcla5+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_order_hybrid_expand_20260609_0559/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_rhcla5.v,student/work/ex260_ex264_frontend_smul_order_hybrid_expand_20260609_0559/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_rhcla5_wreduce_abc_g_aig.aig,1,1,1,87,16,1392,657,2.118721,0,0,0.216,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_rhcla5; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_rhcla5_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_rev_rhcla5+synth_preset_d13,student/work/ex260_ex264_frontend_smul_order_hybrid_expand_20260609_0559/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_rhcla5.v,student/work/ex260_ex264_frontend_smul_order_hybrid_expand_20260609_0559/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_rhcla5_synth_preset_d13.aig,1,1,1,87,16,1392,657,2.118721,0,0,0.263,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_rhcla5; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_outside_rhcla3_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_outside_rhcla3+abc_g_aig,student/work/ex260_ex264_frontend_smul_order_hybrid_expand_20260609_0559/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_rhcla3.v,student/work/ex260_ex264_frontend_smul_order_hybrid_expand_20260609_0559/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_rhcla3_abc_g_aig.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.200,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_rhcla3; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_outside_rhcla3_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_outside_rhcla3+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_order_hybrid_expand_20260609_0559/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_rhcla3.v,student/work/ex260_ex264_frontend_smul_order_hybrid_expand_20260609_0559/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_rhcla3_wreduce_abc_g_aig.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.202,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_rhcla3; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_outside_rhcla3_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_outside_rhcla3+synth_preset_d13,student/work/ex260_ex264_frontend_smul_order_hybrid_expand_20260609_0559/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_rhcla3.v,student/work/ex260_ex264_frontend_smul_order_hybrid_expand_20260609_0559/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_rhcla3_synth_preset_d13.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.261,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_rhcla3; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_outside_rhcla4_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_outside_rhcla4+abc_g_aig,student/work/ex260_ex264_frontend_smul_order_hybrid_expand_20260609_0559/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_rhcla4.v,student/work/ex260_ex264_frontend_smul_order_hybrid_expand_20260609_0559/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_rhcla4_abc_g_aig.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.198,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_rhcla4; flow=abc_g_aig
