domain,case,attempts,official_ok,non_ok,campaign_best_candidate,campaign_best_area,campaign_best_delay,campaign_best_adp,clean_baseline_adp,delta_vs_clean_baseline,improved_vs_clean_baseline,frontend_best_after_adp,reference_adp,ratio_to_reference_after,verilog_path,aig_path,log_path,agent_id,method_signature
float_fp8,ex245,3,3,0,ex245_deep_truth_bdd_fieldorder_abc_g_aig,1497,23,34431,22971,-11460,0,23834,11050,2.156923,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/float-fp8-agent/ex245/verilog/ex245_deep_truth_bdd_fieldorder.v,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/float-fp8-agent/ex245/aigs/ex245_deep_truth_bdd_fieldorder_abc_g_aig.aig,student/runs/float_fp8/ex223_ex299_frontend_parallel_deep_20260614_0943/float-fp8-agent/ex245/official_eval_logs/ex245_deep_truth_bdd_fieldorder_abc_g_aig.evaluate.py.log,float-fp8-agent,ex245|E5M2FN packed add high byte plus low byte|shared truth-derived decision graph with E5M2 field-major variable order|shared ROBDD nodes across all output bits|yosys_abc_g_aig|official_evaluate|decision_graph_full_word
float_fp8,ex246,4,4,0,ex246_deep_sigprodcode_seed12_abc_g_aig,377,21,7917,7502,-415,0,7502,2805,2.674510,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/float-fp8-agent/ex246/verilog/ex246_deep_sigprodcode_seed12.v,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/float-fp8-agent/ex246/aigs/ex246_deep_sigprodcode_seed12_abc_g_aig.aig,student/runs/float_fp8/ex223_ex299_frontend_parallel_deep_20260614_0943/float-fp8-agent/ex246/official_eval_logs/ex246_deep_sigprodcode_seed12_abc_g_aig.evaluate.py.log,float-fp8-agent,ex246|E5M2FN packed multiply high byte times low byte|significand product-code table with seed12 unreachable completion|shared sign xor exponent sum and product-code boundary reassembly|yosys_abc_g_aig|official_evaluate|grouped_exp_mant_magnitude
float_fp8,ex247,4,4,0,ex247_deep_qclass_smallpat_nested_abc_g_aig,339,30,10170,7291,-2879,0,8349,2975,2.806387,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/float-fp8-agent/ex247/verilog/ex247_deep_qclass_smallpat_nested.v,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/float-fp8-agent/ex247/aigs/ex247_deep_qclass_smallpat_nested_abc_g_aig.aig,student/runs/float_fp8/ex223_ex299_frontend_parallel_deep_20260614_0943/float-fp8-agent/ex247/official_eval_logs/ex247_deep_qclass_smallpat_nested_abc_g_aig.evaluate.py.log,float-fp8-agent,ex247|E5M2FN packed low-over-high division|denominator-nested quotient-class small residual pattern|shared denominator decode and quotient-class low-pattern decoder|yosys_abc_g_aig|official_evaluate|nested_quotient_class
float_fp8,ex248,4,4,0,ex248_deep_periodic_formula_norm_abc_g_aig,286,35,10010,7938,-2072,0,7938,4180,1.899043,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/float-fp8-agent/ex248/verilog/ex248_deep_periodic_formula_norm.v,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/float-fp8-agent/ex248/aigs/ex248_deep_periodic_formula_norm_abc_g_aig.aig,student/runs/float_fp8/ex223_ex299_frontend_parallel_deep_20260614_0943/float-fp8-agent/ex248/official_eval_logs/ex248_deep_periodic_formula_norm_abc_g_aig.evaluate.py.log,float-fp8-agent,ex248|E5M2FN packed fmod low mod high|periodic remainder with formula normalizer|shared divisor-period remainder and formula normalization path|yosys_abc_g_aig|official_evaluate|formula_normalizer_full_output
float_fp8,ex249,3,3,0,ex249_deep_threshold_case_delta_abc_g_aig,177,30,5310,4368,-942,0,4368,2079,2.101010,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/float-fp8-agent/ex249/verilog/ex249_deep_threshold_case_delta.v,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/float-fp8-agent/ex249/aigs/ex249_deep_threshold_case_delta_abc_g_aig.aig,student/runs/float_fp8/ex223_ex299_frontend_parallel_deep_20260614_0943/float-fp8-agent/ex249/official_eval_logs/ex249_deep_threshold_case_delta_abc_g_aig.evaluate.py.log,float-fp8-agent,"ex249|E5M2FN hypot abs high low|threshold-case delta classification keyed by active gap and significands|shared max/min decode, active-gap, and saturation guard|yosys_abc_g_aig|official_evaluate|threshold_delta_predicate_bits"
integer,ex260,8,8,0,ex260_smul_bw4_center_rhcla2_abc_g_aig,92,12,1104,1131,27,1,1104,657,1.680365,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/integer-agent/ex260/verilog/ex260_smul_bw4_center_rhcla2.v,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/integer-agent/ex260/aigs/ex260_smul_bw4_center_rhcla2_abc_g_aig.aig,student/runs/integer/ex223_ex299_frontend_parallel_deep_20260614_0943/integer-agent/ex260/official_eval/ex260_smul_bw4_center_rhcla2_abc_g_aig/ex260_smul_bw4_center_rhcla2_abc_g_aig.evaluate.py.log,integer-agent,ex260|signed_multiplier_compressor_sharing|Baugh_Wooley_four_input_counter_columns_with_center_order_and_reverse_hCLA2_merge|signed_partial_products_compressed_by_wider_counters_before_a_short_high_carry_merge|abc_g_aig|signed_low4_high4_multiply|full_product_word
integer,ex266,3,3,0,ex266_udiv_bhi2_a4_case_wordmux_synth_preset_d10,147,11,1617,1480,-137,0,1480,848,1.745283,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/integer-agent/ex266/verilog/ex266_udiv_bhi2_a4_case_wordmux.v,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/integer-agent/ex266/aigs/ex266_udiv_bhi2_a4_case_wordmux_synth_preset_d10.aig,student/runs/integer/ex223_ex299_frontend_parallel_deep_20260614_0943/integer-agent/ex266/official_eval/ex266_udiv_bhi2_a4_case_wordmux_synth_preset_d10/ex266_udiv_bhi2_a4_case_wordmux_synth_preset_d10.evaluate.py.log,integer-agent,ex266|divider_local_cofactor_recut|current_b_4_3_a_4_selector_but_local_word_truth_cases_instead_of_local_bit_BDDs|one_shared_cofactor_word_mux_local_quotient_words_emitted_together|synth_preset_d10|unsigned_low5_high5_divide_dbz_sat|quotient_word_by_magnitude_cofactor
integer,ex270,4,4,0,ex270_wallace_square_outside_csel5_abc_g_aig_d12,191,17,3247,3230,-17,0,3230,2076,1.555877,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/integer-agent/ex270/verilog/ex270_wallace_square_outside_csel5.v,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/integer-agent/ex270/aigs/ex270_wallace_square_outside_csel5_abc_g_aig_d12.aig,student/runs/integer/ex223_ex299_frontend_parallel_deep_20260614_0943/integer-agent/ex270/official_eval/ex270_wallace_square_outside_csel5_abc_g_aig_d12/ex270_wallace_square_outside_csel5_abc_g_aig_d12.evaluate.py.log,integer-agent,ex270|small_square_final_carry_flow_recut|triangular_square_Wallace_outside_columns_with_csel5_final_merge|one_cross_term_per_symmetric_pair_and_carry_select_final_word_merge|abc_g_aig_d12|unsigned_8_square|full_square_word
integer,ex273,4,4,0,ex273_hybrid_cmptop4_trunc_synth_preset,802,33,26466,26301,-165,0,26301,15078,1.744329,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/integer-agent/ex273/verilog/ex273_hybrid_cmptop4_trunc.v,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/integer-agent/ex273/aigs/ex273_hybrid_cmptop4_trunc_synth_preset.aig,student/runs/integer/ex223_ex299_frontend_parallel_deep_20260614_0943/integer-agent/ex273/official_eval/ex273_hybrid_cmptop4_trunc_synth_preset/ex273_hybrid_cmptop4_trunc_synth_preset.evaluate.py.log,integer-agent,ex273|large_square_comparator_top_recut|top4_comparator_range_bits_with_truncated_lower_square|selected_high_output_predicates_share_the_truncated_lower_arithmetic_network|synth_preset|unsigned_14_square|top4_comparator_plus_lower_arithmetic
integer,ex274,4,4,0,ex274_hybrid_cmptop2_trunc_abc_g_aig,986,42,41412,41370,-42,0,41370,21630,1.912621,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/integer-agent/ex274/verilog/ex274_hybrid_cmptop2_trunc.v,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/integer-agent/ex274/aigs/ex274_hybrid_cmptop2_trunc_abc_g_aig.aig,student/runs/integer/ex223_ex299_frontend_parallel_deep_20260614_0943/integer-agent/ex274/official_eval/ex274_hybrid_cmptop2_trunc_abc_g_aig/ex274_hybrid_cmptop2_trunc_abc_g_aig.evaluate.py.log,integer-agent,ex274|wide_square_comparator_top_recut|top2_comparator_range_bits_with_truncated_lower_square|selected_high_output_predicates_share_the_truncated_lower_arithmetic_network|abc_g_aig|unsigned_16_square|top2_comparator_plus_lower_arithmetic
