agent_id,domain,case,candidate,method_signature,sim_status,log_path,source_csv,notes,candidate_id,status,aig_path,run_id,simulator,vector_count,simulation_status,simulation_log
unknown-ex286-agent,unknown,ex286,ex286_bucket_count_cover_sop_selectors_first,,,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/unknown-ex286-agent/ex286/diagnostics/ex286_bucket_descriptor_summary.csv,student/frontend_campaigns/campaigns/ex223_ex299_frontend_parallel_deep_20260614_0943/agent_shards/unknown-ex286-agent/simulation_results.csv,descriptor exact over 8192 rows,ex286_bucket_count_cover_sop_selectors_first,semantic_model_exact,,,,,,
unknown-ex286-agent,unknown,ex286,ex286_bucket_class_mtbdd_selectors_then_counts,,,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/unknown-ex286-agent/ex286/diagnostics/ex286_bucket_descriptor_summary.csv,student/frontend_campaigns/campaigns/ex223_ex299_frontend_parallel_deep_20260614_0943/agent_shards/unknown-ex286-agent/simulation_results.csv,descriptor exact over 8192 rows,ex286_bucket_class_mtbdd_selectors_then_counts,semantic_model_exact,,,,,,
float-fp8-agent,float_fp8,ex240,ex240_deep_diff_grs_formula,,,,student/frontend_campaigns/campaigns/ex223_ex299_frontend_parallel_deep_20260614_0943/agent_shards/float-fp8-agent/simulation_results.csv,official evaluate.py used for acceptance; iverilog skipped for deterministic generated RTL,ex240_deep_diff_grs_formula,not_run,,,,,,
float-fp8-agent,float_fp8,ex240,ex240_deep_truth_bdd_fieldorder,,,,student/frontend_campaigns/campaigns/ex223_ex299_frontend_parallel_deep_20260614_0943/agent_shards/float-fp8-agent/simulation_results.csv,official evaluate.py used for acceptance; iverilog skipped for deterministic generated RTL,ex240_deep_truth_bdd_fieldorder,not_run,,,,,,
float-fp8-agent,float_fp8,ex241,ex241_deep_product_param_exception,,,,student/frontend_campaigns/campaigns/ex223_ex299_frontend_parallel_deep_20260614_0943/agent_shards/float-fp8-agent/simulation_results.csv,official evaluate.py used for acceptance; iverilog skipped for deterministic generated RTL,ex241_deep_product_param_exception,not_run,,,,,,
float-fp8-agent,float_fp8,ex241,ex241_deep_truth_bdd_fieldorder,,,,student/frontend_campaigns/campaigns/ex223_ex299_frontend_parallel_deep_20260614_0943/agent_shards/float-fp8-agent/simulation_results.csv,official evaluate.py used for acceptance; iverilog skipped for deterministic generated RTL,ex241_deep_truth_bdd_fieldorder,not_run,,,,,,
float-fp8-agent,float_fp8,ex244,ex244_deep_maxeff_delta_sigfirst,,,,student/frontend_campaigns/campaigns/ex223_ex299_frontend_parallel_deep_20260614_0943/agent_shards/float-fp8-agent/simulation_results.csv,official evaluate.py used for acceptance; iverilog skipped for deterministic generated RTL,ex244_deep_maxeff_delta_sigfirst,not_run,,,,,,
float-fp8-agent,float_fp8,ex244,ex244_deep_threshold_maxeff_pack,,,,student/frontend_campaigns/campaigns/ex223_ex299_frontend_parallel_deep_20260614_0943/agent_shards/float-fp8-agent/simulation_results.csv,official evaluate.py used for acceptance; iverilog skipped for deterministic generated RTL,ex244_deep_threshold_maxeff_pack,not_run,,,,,,
float-fp8-agent,float_fp8,ex245,ex245_deep_gap4_local_norm,,,,student/frontend_campaigns/campaigns/ex223_ex299_frontend_parallel_deep_20260614_0943/agent_shards/float-fp8-agent/simulation_results.csv,official evaluate.py used for acceptance; iverilog skipped for deterministic generated RTL,ex245_deep_gap4_local_norm,not_run,,,,,,
float-fp8-agent,float_fp8,ex245,ex245_deep_truth_bdd_fieldorder,,,,student/frontend_campaigns/campaigns/ex223_ex299_frontend_parallel_deep_20260614_0943/agent_shards/float-fp8-agent/simulation_results.csv,official evaluate.py used for acceptance; iverilog skipped for deterministic generated RTL,ex245_deep_truth_bdd_fieldorder,not_run,,,,,,
