case,domain,agent_id,candidate_id,simulation_pass,log_path,notes
ex297,unknown,local-unknown-source-r58,ex297_ex297_symbol_plane_default_function_default_raw,not_run,,official evaluate.py used for final verification
ex297,unknown,local-unknown-source-r58,ex297_ex297_symbol_plane_default_function_extra_share_raw,not_run,,official evaluate.py used for final verification
ex297,unknown,local-unknown-source-r58,ex297_ex297_symbol_plane_default_function_abc_g_aig_raw,not_run,,official evaluate.py used for final verification
ex297,unknown,local-unknown-source-r58,ex297_ex297_symbol_plane_default_function_synth_preset_raw,not_run,,official evaluate.py used for final verification
ex297,unknown,local-unknown-source-r58,ex297_ex297_symbol_plane_case_attrs_default_raw,not_run,,official evaluate.py used for final verification
ex297,unknown,local-unknown-source-r58,ex297_ex297_symbol_plane_case_attrs_extra_share_raw,not_run,,official evaluate.py used for final verification
ex297,unknown,local-unknown-source-r58,ex297_ex297_symbol_plane_case_attrs_abc_g_aig_raw,not_run,,official evaluate.py used for final verification
ex297,unknown,local-unknown-source-r58,ex297_ex297_symbol_plane_case_attrs_synth_preset_raw,not_run,,official evaluate.py used for final verification
ex297,unknown,local-unknown-source-r58,ex297_ex297_symbol_plane_default_function_case_attrs_default_raw,not_run,,official evaluate.py used for final verification
ex297,unknown,local-unknown-source-r58,ex297_ex297_symbol_plane_default_function_case_attrs_extra_share_raw,not_run,,official evaluate.py used for final verification
ex297,unknown,local-unknown-source-r58,ex297_ex297_symbol_plane_default_function_case_attrs_abc_g_aig_raw,not_run,,official evaluate.py used for final verification
ex297,unknown,local-unknown-source-r58,ex297_ex297_symbol_plane_default_function_case_attrs_synth_preset_raw,not_run,,official evaluate.py used for final verification
