case,variant,notes
ex235,open_low8_hi5,"special_const=33; special_full=1; special_items=1057; low_width=8; nested_hi=5; classes=0,1; b14:runs=31,max=2,const=29; b13:runs=32,max=2,const=28; b12:runs=34,max=2,const=26; b11:runs=38,max=2,const=22; b10:runs=45,max=2,const=15; b9:runs=60,max=3,const=15; b8:runs=90,max=4,const=0"
ex235,open_low9_hi5,"special_const=33; special_full=1; special_items=1057; low_width=9; nested_hi=5; classes=0,1; b14:runs=31,max=2,const=29; b13:runs=32,max=2,const=28; b12:runs=34,max=2,const=26; b11:runs=38,max=2,const=22; b10:runs=45,max=2,const=15; b9:runs=60,max=3,const=15"
ex235,open_low10_hi5,"special_const=33; special_full=1; special_items=1057; low_width=10; nested_hi=5; classes=0,1; b14:runs=31,max=2,const=29; b13:runs=32,max=2,const=28; b12:runs=34,max=2,const=26; b11:runs=38,max=2,const=22; b10:runs=45,max=2,const=15"
ex235,open_low11_hi5,"special_const=33; special_full=1; special_items=1057; low_width=11; nested_hi=5; classes=0,1; b14:runs=31,max=2,const=29; b13:runs=32,max=2,const=28; b12:runs=34,max=2,const=26; b11:runs=38,max=2,const=22"
ex235,open_low12_hi5,"special_const=33; special_full=1; special_items=1057; low_width=12; nested_hi=5; classes=0,1; b14:runs=31,max=2,const=29; b13:runs=32,max=2,const=28; b12:runs=34,max=2,const=26"
ex235,open_low10_hi6,"special_const=33; special_full=1; special_items=1057; low_width=10; nested_hi=6; classes=0,1; b14:runs=31,max=2,const=29; b13:runs=32,max=2,const=28; b12:runs=34,max=2,const=26; b11:runs=38,max=2,const=22; b10:runs=45,max=2,const=15"
ex235,open_low12_hi6,"special_const=33; special_full=1; special_items=1057; low_width=12; nested_hi=6; classes=0,1; b14:runs=31,max=2,const=29; b13:runs=32,max=2,const=28; b12:runs=34,max=2,const=26"
ex236,open_low8_hi5,"special_const=40; special_full=6; special_items=6184; low_width=8; nested_hi=5; classes=0; b14:runs=10,max=2,const=8; b13:runs=11,max=2,const=7; b12:runs=14,max=2,const=4; b11:runs=18,max=2,const=0; b10:runs=27,max=3,const=0; b9:runs=54,max=6,const=0; b8:runs=108,max=12,const=0"
ex236,open_low9_hi5,"special_const=40; special_full=6; special_items=6184; low_width=9; nested_hi=5; classes=0; b14:runs=10,max=2,const=8; b13:runs=11,max=2,const=7; b12:runs=14,max=2,const=4; b11:runs=18,max=2,const=0; b10:runs=27,max=3,const=0; b9:runs=54,max=6,const=0"
ex236,open_low10_hi5,"special_const=40; special_full=6; special_items=6184; low_width=10; nested_hi=5; classes=0; b14:runs=10,max=2,const=8; b13:runs=11,max=2,const=7; b12:runs=14,max=2,const=4; b11:runs=18,max=2,const=0; b10:runs=27,max=3,const=0"
ex236,open_low11_hi5,"special_const=40; special_full=6; special_items=6184; low_width=11; nested_hi=5; classes=0; b14:runs=10,max=2,const=8; b13:runs=11,max=2,const=7; b12:runs=14,max=2,const=4; b11:runs=18,max=2,const=0"
ex236,open_low12_hi5,"special_const=40; special_full=6; special_items=6184; low_width=12; nested_hi=5; classes=0; b14:runs=10,max=2,const=8; b13:runs=11,max=2,const=7; b12:runs=14,max=2,const=4"
