case,candidate_id,hypothesis,variant,verilog_path,aig_path,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,notes
ex255,ex255_umul_csa_prefix_abc_g_aig,unsigned low4_high4:a*b,csa_prefix+abc_g_aig,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex255/verilog/ex255_umul_csa_prefix.v,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex255/aigs/ex255_umul_csa_prefix_abc_g_aig.aig,87,14,1218,836,1.456938,1,0,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=csa_prefix; flow=abc_g_aig
ex256,ex256_umul_csa_prefix_synth_preset,unsigned low5_high5:a*b,csa_prefix+synth_preset,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex256/verilog/ex256_umul_csa_prefix.v,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex256/aigs/ex256_umul_csa_prefix_synth_preset.aig,161,20,3220,1911,1.684982,0,0,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=csa_prefix; flow=synth_preset
ex257,ex257_umul_csa_prefix_abc_g_aig,unsigned low6_high6:a*b,csa_prefix+abc_g_aig,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex257/verilog/ex257_umul_csa_prefix.v,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex257/aigs/ex257_umul_csa_prefix_abc_g_aig.aig,238,25,5950,3952,1.505567,0,0,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=csa_prefix; flow=abc_g_aig
ex258,ex258_umul_csa_prefix_synth_preset,unsigned low7_high7:a*b,csa_prefix+synth_preset,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex258/verilog/ex258_umul_csa_prefix.v,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex258/aigs/ex258_umul_csa_prefix_synth_preset.aig,344,31,10664,6289,1.695659,0,0,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; source=csa_prefix; flow=synth_preset
ex259,ex259_umul_csa_prefix_abc_g_aig,unsigned low8_high8:a*b,csa_prefix+abc_g_aig,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex259/verilog/ex259_umul_csa_prefix.v,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex259/aigs/ex259_umul_csa_prefix_abc_g_aig.aig,469,34,15946,10000,1.594600,0,0,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; source=csa_prefix; flow=abc_g_aig
