case,best_area,best_delay,best_adp,reference_adp,ratio_to_reference,within_1p5_reference,beats_reference,candidate_id,notes
ex255,87,14,1218,836,1.456938,1,0,ex255_umul_csa_prefix_abc_g_aig,exact unsigned low4 * high4 over 256 inputs; source=csa_prefix; flow=abc_g_aig
ex256,161,20,3220,1911,1.684982,0,0,ex256_umul_csa_prefix_synth_preset,exact unsigned low5 * high5 over 1024 inputs; source=csa_prefix; flow=synth_preset
ex257,238,25,5950,3952,1.505567,0,0,ex257_umul_csa_prefix_abc_g_aig,exact unsigned low6 * high6 over 4096 inputs; source=csa_prefix; flow=abc_g_aig
ex258,344,31,10664,6289,1.695659,0,0,ex258_umul_csa_prefix_synth_preset,exact unsigned low7 * high7 over 16384 inputs; source=csa_prefix; flow=synth_preset
ex259,469,34,15946,10000,1.594600,0,0,ex259_umul_csa_prefix_abc_g_aig,exact unsigned low8 * high8 over 65536 inputs; source=csa_prefix; flow=abc_g_aig
