case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex255,ex255_umul_csa_prefix_default,unsigned low4_high4:a*b,csa_prefix+default,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex255/verilog/ex255_umul_csa_prefix.v,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex255/aigs/ex255_umul_csa_prefix_default.aig,1,1,1,115,14,1610,836,1.925837,0,0,0.216,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=csa_prefix; flow=default
ex255,ex255_umul_csa_prefix_wreduce_default,unsigned low4_high4:a*b,csa_prefix+wreduce_default,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex255/verilog/ex255_umul_csa_prefix.v,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex255/aigs/ex255_umul_csa_prefix_wreduce_default.aig,1,1,1,110,14,1540,836,1.842105,0,0,0.220,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=csa_prefix; flow=wreduce_default
ex255,ex255_umul_csa_prefix_abc_g_aig,unsigned low4_high4:a*b,csa_prefix+abc_g_aig,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex255/verilog/ex255_umul_csa_prefix.v,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex255/aigs/ex255_umul_csa_prefix_abc_g_aig.aig,1,1,1,87,14,1218,836,1.456938,1,0,0.215,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=csa_prefix; flow=abc_g_aig
ex255,ex255_umul_csa_prefix_wreduce_abc_g_aig,unsigned low4_high4:a*b,csa_prefix+wreduce_abc_g_aig,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex255/verilog/ex255_umul_csa_prefix.v,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex255/aigs/ex255_umul_csa_prefix_wreduce_abc_g_aig.aig,1,1,1,87,14,1218,836,1.456938,1,0,0.241,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=csa_prefix; flow=wreduce_abc_g_aig
ex255,ex255_umul_csa_prefix_arith_wreduce_aig,unsigned low4_high4:a*b,csa_prefix+arith_wreduce_aig,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex255/verilog/ex255_umul_csa_prefix.v,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex255/aigs/ex255_umul_csa_prefix_arith_wreduce_aig.aig,1,1,1,87,14,1218,836,1.456938,1,0,0.220,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=csa_prefix; flow=arith_wreduce_aig
ex255,ex255_umul_csa_prefix_synth_preset,unsigned low4_high4:a*b,csa_prefix+synth_preset,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex255/verilog/ex255_umul_csa_prefix.v,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex255/aigs/ex255_umul_csa_prefix_synth_preset.aig,1,1,1,87,14,1218,836,1.456938,1,0,0.282,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=csa_prefix; flow=synth_preset
ex256,ex256_umul_csa_prefix_default,unsigned low5_high5:a*b,csa_prefix+default,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex256/verilog/ex256_umul_csa_prefix.v,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex256/aigs/ex256_umul_csa_prefix_default.aig,1,1,1,193,20,3860,1911,2.019885,0,0,0.240,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=csa_prefix; flow=default
ex256,ex256_umul_csa_prefix_wreduce_default,unsigned low5_high5:a*b,csa_prefix+wreduce_default,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex256/verilog/ex256_umul_csa_prefix.v,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex256/aigs/ex256_umul_csa_prefix_wreduce_default.aig,1,1,1,199,21,4179,1911,2.186813,0,0,0.244,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=csa_prefix; flow=wreduce_default
ex256,ex256_umul_csa_prefix_abc_g_aig,unsigned low5_high5:a*b,csa_prefix+abc_g_aig,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex256/verilog/ex256_umul_csa_prefix.v,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex256/aigs/ex256_umul_csa_prefix_abc_g_aig.aig,1,1,1,163,20,3260,1911,1.705913,0,0,0.243,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=csa_prefix; flow=abc_g_aig
ex256,ex256_umul_csa_prefix_wreduce_abc_g_aig,unsigned low5_high5:a*b,csa_prefix+wreduce_abc_g_aig,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex256/verilog/ex256_umul_csa_prefix.v,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex256/aigs/ex256_umul_csa_prefix_wreduce_abc_g_aig.aig,1,1,1,163,21,3423,1911,1.791209,0,0,0.248,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=csa_prefix; flow=wreduce_abc_g_aig
ex256,ex256_umul_csa_prefix_arith_wreduce_aig,unsigned low5_high5:a*b,csa_prefix+arith_wreduce_aig,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex256/verilog/ex256_umul_csa_prefix.v,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex256/aigs/ex256_umul_csa_prefix_arith_wreduce_aig.aig,1,1,1,163,21,3423,1911,1.791209,0,0,0.246,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=csa_prefix; flow=arith_wreduce_aig
