case,model,bucket_order,pair_order,offset_mode,matches,total_rows,exact,bit_matches,total_fields,first_mismatch,notes
ex286,prefix_capacity,asc,asc,zero,241,8192,0,29585,57344,row=1:pred=1:0:0:0:0:0:0:target=0:0:0:1:0:0:0,buckets=8; selectors=raw3:raw10:xor6_7; capacities=2:2:2:2:2:2:1
ex286,prefix_capacity,desc,asc,zero,241,8192,0,29585,57344,row=1:pred=1:0:0:0:0:0:0:target=0:0:0:1:0:0:0,buckets=8; selectors=raw3:raw10:xor6_7; capacities=2:2:2:2:2:2:1
ex286,prefix_capacity,center,asc,zero,241,8192,0,29585,57344,row=1:pred=1:0:0:0:0:0:0:target=0:0:0:1:0:0:0,buckets=8; selectors=raw3:raw10:xor6_7; capacities=2:2:2:2:2:2:1
ex286,prefix_capacity,outside,asc,zero,241,8192,0,29585,57344,row=1:pred=1:0:0:0:0:0:0:target=0:0:0:1:0:0:0,buckets=8; selectors=raw3:raw10:xor6_7; capacities=2:2:2:2:2:2:1
ex286,prefix_capacity,asc,asc_rot2,selsum,229,8192,0,28945,57344,row=1:pred=0:0:1:0:0:0:0:target=0:0:0:1:0:0:0,buckets=8; selectors=raw3:raw10:xor6_7; capacities=2:2:2:2:2:2:1
ex286,prefix_capacity,desc,asc_rot2,selsum,229,8192,0,28945,57344,row=1:pred=0:0:1:0:0:0:0:target=0:0:0:1:0:0:0,buckets=8; selectors=raw3:raw10:xor6_7; capacities=2:2:2:2:2:2:1
ex286,prefix_capacity,center,asc_rot2,selsum,229,8192,0,28945,57344,row=1:pred=0:0:1:0:0:0:0:target=0:0:0:1:0:0:0,buckets=8; selectors=raw3:raw10:xor6_7; capacities=2:2:2:2:2:2:1
ex286,prefix_capacity,outside,asc_rot2,selsum,229,8192,0,28945,57344,row=1:pred=0:0:1:0:0:0:0:target=0:0:0:1:0:0:0,buckets=8; selectors=raw3:raw10:xor6_7; capacities=2:2:2:2:2:2:1
ex286,prefix_capacity,asc,center,selxor,228,8192,0,29001,57344,row=2:pred=0:0:0:1:0:0:0:target=0:0:1:0:0:0:0,buckets=8; selectors=raw3:raw10:xor6_7; capacities=2:2:2:2:2:2:1
ex286,prefix_capacity,desc,center,selxor,228,8192,0,29001,57344,row=2:pred=0:0:0:1:0:0:0:target=0:0:1:0:0:0:0,buckets=8; selectors=raw3:raw10:xor6_7; capacities=2:2:2:2:2:2:1
ex286,prefix_capacity,center,center,selxor,228,8192,0,29001,57344,row=2:pred=0:0:0:1:0:0:0:target=0:0:1:0:0:0:0,buckets=8; selectors=raw3:raw10:xor6_7; capacities=2:2:2:2:2:2:1
ex286,prefix_capacity,outside,center,selxor,228,8192,0,29001,57344,row=2:pred=0:0:0:1:0:0:0:target=0:0:1:0:0:0:0,buckets=8; selectors=raw3:raw10:xor6_7; capacities=2:2:2:2:2:2:1
ex286,prefix_capacity,asc,asc_rot2,selbits,227,8192,0,28717,57344,row=1:pred=0:0:1:0:0:0:0:target=0:0:0:1:0:0:0,buckets=8; selectors=raw3:raw10:xor6_7; capacities=2:2:2:2:2:2:1
