case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex275,ex275_isqrt_prefix4_delta_synth_preset_d10,unsigned_floor_isqrt,prefix4_delta+synth_preset_d10,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/verilog/ex275_isqrt_prefix4_delta.v,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/aigs/ex275_isqrt_prefix4_delta_synth_preset_d10.aig,1,1,1,51,7,357,204,1.750000,0,0,0.287,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_delta; flow=synth_preset_d10
ex275,ex275_isqrt_prefix5_delta_abc_g_aig,unsigned_floor_isqrt,prefix5_delta+abc_g_aig,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/verilog/ex275_isqrt_prefix5_delta.v,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/aigs/ex275_isqrt_prefix5_delta_abc_g_aig.aig,1,1,1,61,8,488,204,2.392157,0,0,0.258,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_delta; flow=abc_g_aig
ex275,ex275_isqrt_prefix5_delta_wreduce_abc_g_aig,unsigned_floor_isqrt,prefix5_delta+wreduce_abc_g_aig,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/verilog/ex275_isqrt_prefix5_delta.v,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/aigs/ex275_isqrt_prefix5_delta_wreduce_abc_g_aig.aig,1,1,1,64,8,512,204,2.509804,0,0,0.267,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_delta; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_prefix5_delta_arith_wreduce_aig,unsigned_floor_isqrt,prefix5_delta+arith_wreduce_aig,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/verilog/ex275_isqrt_prefix5_delta.v,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/aigs/ex275_isqrt_prefix5_delta_arith_wreduce_aig.aig,1,1,1,49,8,392,204,1.921569,0,0,0.264,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_delta; flow=arith_wreduce_aig
ex275,ex275_isqrt_prefix5_delta_synth_preset,unsigned_floor_isqrt,prefix5_delta+synth_preset,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/verilog/ex275_isqrt_prefix5_delta.v,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/aigs/ex275_isqrt_prefix5_delta_synth_preset.aig,1,1,1,63,8,504,204,2.470588,0,0,0.319,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_delta; flow=synth_preset
ex275,ex275_isqrt_prefix5_delta_synth_preset_d8,unsigned_floor_isqrt,prefix5_delta+synth_preset_d8,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/verilog/ex275_isqrt_prefix5_delta.v,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/aigs/ex275_isqrt_prefix5_delta_synth_preset_d8.aig,1,1,1,63,8,504,204,2.470588,0,0,0.279,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_delta; flow=synth_preset_d8
ex275,ex275_isqrt_prefix5_delta_synth_preset_d10,unsigned_floor_isqrt,prefix5_delta+synth_preset_d10,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/verilog/ex275_isqrt_prefix5_delta.v,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/aigs/ex275_isqrt_prefix5_delta_synth_preset_d10.aig,1,1,1,63,8,504,204,2.470588,0,0,0.279,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_delta; flow=synth_preset_d10
ex275,ex275_isqrt_prefix4_bitwise_abc_g_aig,unsigned_floor_isqrt,prefix4_bitwise+abc_g_aig,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/verilog/ex275_isqrt_prefix4_bitwise.v,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/aigs/ex275_isqrt_prefix4_bitwise_abc_g_aig.aig,1,1,1,48,7,336,204,1.647059,0,0,0.223,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_bitwise; flow=abc_g_aig
ex275,ex275_isqrt_prefix4_bitwise_wreduce_abc_g_aig,unsigned_floor_isqrt,prefix4_bitwise+wreduce_abc_g_aig,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/verilog/ex275_isqrt_prefix4_bitwise.v,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/aigs/ex275_isqrt_prefix4_bitwise_wreduce_abc_g_aig.aig,1,1,1,48,7,336,204,1.647059,0,0,0.230,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_bitwise; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_prefix4_bitwise_arith_wreduce_aig,unsigned_floor_isqrt,prefix4_bitwise+arith_wreduce_aig,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/verilog/ex275_isqrt_prefix4_bitwise.v,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/aigs/ex275_isqrt_prefix4_bitwise_arith_wreduce_aig.aig,1,1,1,47,9,423,204,2.073529,0,0,0.257,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_bitwise; flow=arith_wreduce_aig
