case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex274,ex274_square_hybrid_bddrel1_synth_preset,unsigned_square_x_times_x,hybrid_bddrel1+synth_preset,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/verilog/ex274_square_hybrid_bddrel1.v,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/aigs/ex274_square_hybrid_bddrel1_synth_preset.aig,1,1,1,991,43,42613,21630,1.970088,0,0,3.602,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddrel1; flow=synth_preset
ex274,ex274_square_hybrid_bddrel2_abc_g_aig,unsigned_square_x_times_x,hybrid_bddrel2+abc_g_aig,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/verilog/ex274_square_hybrid_bddrel2.v,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/aigs/ex274_square_hybrid_bddrel2_abc_g_aig.aig,1,1,1,1026,46,47196,21630,2.181969,0,0,3.398,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddrel2; flow=abc_g_aig
ex274,ex274_square_hybrid_bddrel2_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddrel2+wreduce_abc_g_aig,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/verilog/ex274_square_hybrid_bddrel2.v,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/aigs/ex274_square_hybrid_bddrel2_wreduce_abc_g_aig.aig,1,1,1,1026,46,47196,21630,2.181969,0,0,3.410,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddrel2; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_bddrel2_synth_preset,unsigned_square_x_times_x,hybrid_bddrel2+synth_preset,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/verilog/ex274_square_hybrid_bddrel2.v,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/aigs/ex274_square_hybrid_bddrel2_synth_preset.aig,1,1,1,1017,46,46782,21630,2.162829,0,0,3.663,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddrel2; flow=synth_preset
ex274,ex274_square_hybrid_bddrel3_abc_g_aig,unsigned_square_x_times_x,hybrid_bddrel3+abc_g_aig,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/verilog/ex274_square_hybrid_bddrel3.v,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/aigs/ex274_square_hybrid_bddrel3_abc_g_aig.aig,1,1,1,1074,46,49404,21630,2.284050,0,0,3.470,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddrel3; flow=abc_g_aig
ex274,ex274_square_hybrid_bddrel3_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddrel3+wreduce_abc_g_aig,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/verilog/ex274_square_hybrid_bddrel3.v,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/aigs/ex274_square_hybrid_bddrel3_wreduce_abc_g_aig.aig,1,1,1,1074,46,49404,21630,2.284050,0,0,3.502,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddrel3; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_bddrel3_synth_preset,unsigned_square_x_times_x,hybrid_bddrel3+synth_preset,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/verilog/ex274_square_hybrid_bddrel3.v,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/aigs/ex274_square_hybrid_bddrel3_synth_preset.aig,1,1,1,1069,45,48105,21630,2.223994,0,0,3.698,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddrel3; flow=synth_preset
ex274,ex274_square_hybrid_bddrel02_abc_g_aig,unsigned_square_x_times_x,hybrid_bddrel02+abc_g_aig,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/verilog/ex274_square_hybrid_bddrel02.v,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/aigs/ex274_square_hybrid_bddrel02_abc_g_aig.aig,1,1,1,1028,46,47288,21630,2.186223,0,0,3.409,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddrel02; flow=abc_g_aig
ex274,ex274_square_hybrid_bddrel02_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddrel02+wreduce_abc_g_aig,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/verilog/ex274_square_hybrid_bddrel02.v,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/aigs/ex274_square_hybrid_bddrel02_wreduce_abc_g_aig.aig,1,1,1,1029,46,47334,21630,2.188350,0,0,3.428,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddrel02; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_bddrel02_synth_preset,unsigned_square_x_times_x,hybrid_bddrel02+synth_preset,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/verilog/ex274_square_hybrid_bddrel02.v,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/aigs/ex274_square_hybrid_bddrel02_synth_preset.aig,1,1,1,1024,45,46080,21630,2.130374,0,0,4.351,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddrel02; flow=synth_preset
ex274,ex274_square_hybrid_bddrel03_abc_g_aig,unsigned_square_x_times_x,hybrid_bddrel03+abc_g_aig,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/verilog/ex274_square_hybrid_bddrel03.v,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/aigs/ex274_square_hybrid_bddrel03_abc_g_aig.aig,1,1,1,1081,45,48645,21630,2.248960,0,0,5.385,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddrel03; flow=abc_g_aig
ex274,ex274_square_hybrid_bddrel03_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddrel03+wreduce_abc_g_aig,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/verilog/ex274_square_hybrid_bddrel03.v,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/aigs/ex274_square_hybrid_bddrel03_wreduce_abc_g_aig.aig,1,1,1,1081,45,48645,21630,2.248960,0,0,4.564,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddrel03; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_bddrel03_synth_preset,unsigned_square_x_times_x,hybrid_bddrel03+synth_preset,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/verilog/ex274_square_hybrid_bddrel03.v,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/aigs/ex274_square_hybrid_bddrel03_synth_preset.aig,1,1,1,1071,45,48195,21630,2.228155,0,0,4.701,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddrel03; flow=synth_preset
ex274,ex274_square_hybrid_bddrel12_abc_g_aig,unsigned_square_x_times_x,hybrid_bddrel12+abc_g_aig,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/verilog/ex274_square_hybrid_bddrel12.v,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/aigs/ex274_square_hybrid_bddrel12_abc_g_aig.aig,1,1,1,1029,44,45276,21630,2.093204,0,0,3.429,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddrel12; flow=abc_g_aig
ex274,ex274_square_hybrid_bddrel12_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddrel12+wreduce_abc_g_aig,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/verilog/ex274_square_hybrid_bddrel12.v,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/aigs/ex274_square_hybrid_bddrel12_wreduce_abc_g_aig.aig,1,1,1,1029,44,45276,21630,2.093204,0,0,3.451,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddrel12; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_bddrel12_synth_preset,unsigned_square_x_times_x,hybrid_bddrel12+synth_preset,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/verilog/ex274_square_hybrid_bddrel12.v,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/aigs/ex274_square_hybrid_bddrel12_synth_preset.aig,1,1,1,1026,43,44118,21630,2.039667,0,0,3.416,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddrel12; flow=synth_preset
ex274,ex274_square_hybrid_bddrel13_abc_g_aig,unsigned_square_x_times_x,hybrid_bddrel13+abc_g_aig,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/verilog/ex274_square_hybrid_bddrel13.v,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/aigs/ex274_square_hybrid_bddrel13_abc_g_aig.aig,1,1,1,1075,44,47300,21630,2.186778,0,0,3.341,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddrel13; flow=abc_g_aig
ex274,ex274_square_hybrid_bddrel13_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddrel13+wreduce_abc_g_aig,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/verilog/ex274_square_hybrid_bddrel13.v,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/aigs/ex274_square_hybrid_bddrel13_wreduce_abc_g_aig.aig,1,1,1,1075,44,47300,21630,2.186778,0,0,3.459,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddrel13; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_bddrel13_synth_preset,unsigned_square_x_times_x,hybrid_bddrel13+synth_preset,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/verilog/ex274_square_hybrid_bddrel13.v,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/aigs/ex274_square_hybrid_bddrel13_synth_preset.aig,1,1,1,1067,43,45881,21630,2.121174,0,0,3.659,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddrel13; flow=synth_preset
ex274,ex274_square_hybrid_bddrel23_abc_g_aig,unsigned_square_x_times_x,hybrid_bddrel23+abc_g_aig,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/verilog/ex274_square_hybrid_bddrel23.v,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/aigs/ex274_square_hybrid_bddrel23_abc_g_aig.aig,1,1,1,1088,45,48960,21630,2.263523,0,0,3.412,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddrel23; flow=abc_g_aig
ex274,ex274_square_hybrid_bddrel23_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddrel23+wreduce_abc_g_aig,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/verilog/ex274_square_hybrid_bddrel23.v,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/aigs/ex274_square_hybrid_bddrel23_wreduce_abc_g_aig.aig,1,1,1,1092,43,46956,21630,2.170874,0,0,3.455,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddrel23; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_bddrel23_synth_preset,unsigned_square_x_times_x,hybrid_bddrel23+synth_preset,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/verilog/ex274_square_hybrid_bddrel23.v,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/aigs/ex274_square_hybrid_bddrel23_synth_preset.aig,1,1,1,1087,41,44567,21630,2.060425,0,0,3.685,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddrel23; flow=synth_preset
ex274,ex274_square_hybrid_bddrel013_abc_g_aig,unsigned_square_x_times_x,hybrid_bddrel013+abc_g_aig,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/verilog/ex274_square_hybrid_bddrel013.v,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/aigs/ex274_square_hybrid_bddrel013_abc_g_aig.aig,1,1,1,1074,44,47256,21630,2.184743,0,0,3.415,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddrel013; flow=abc_g_aig
ex274,ex274_square_hybrid_bddrel013_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddrel013+wreduce_abc_g_aig,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/verilog/ex274_square_hybrid_bddrel013.v,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/aigs/ex274_square_hybrid_bddrel013_wreduce_abc_g_aig.aig,1,1,1,1067,46,49082,21630,2.269163,0,0,3.451,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddrel013; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_bddrel013_synth_preset,unsigned_square_x_times_x,hybrid_bddrel013+synth_preset,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/verilog/ex274_square_hybrid_bddrel013.v,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/aigs/ex274_square_hybrid_bddrel013_synth_preset.aig,1,1,1,1070,43,46010,21630,2.127138,0,0,3.665,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddrel013; flow=synth_preset
ex274,ex274_square_hybrid_bddrel023_abc_g_aig,unsigned_square_x_times_x,hybrid_bddrel023+abc_g_aig,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/verilog/ex274_square_hybrid_bddrel023.v,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/aigs/ex274_square_hybrid_bddrel023_abc_g_aig.aig,1,1,1,1092,42,45864,21630,2.120388,0,0,3.436,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddrel023; flow=abc_g_aig
ex274,ex274_square_hybrid_bddrel023_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddrel023+wreduce_abc_g_aig,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/verilog/ex274_square_hybrid_bddrel023.v,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/aigs/ex274_square_hybrid_bddrel023_wreduce_abc_g_aig.aig,1,1,1,1093,42,45906,21630,2.122330,0,0,3.486,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddrel023; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_bddrel023_synth_preset,unsigned_square_x_times_x,hybrid_bddrel023+synth_preset,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/verilog/ex274_square_hybrid_bddrel023.v,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/aigs/ex274_square_hybrid_bddrel023_synth_preset.aig,1,1,1,1083,45,48735,21630,2.253121,0,0,3.656,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddrel023; flow=synth_preset
ex274,ex274_square_hybrid_bddrel123_abc_g_aig,unsigned_square_x_times_x,hybrid_bddrel123+abc_g_aig,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/verilog/ex274_square_hybrid_bddrel123.v,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/aigs/ex274_square_hybrid_bddrel123_abc_g_aig.aig,1,1,1,1090,41,44690,21630,2.066112,0,0,3.454,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddrel123; flow=abc_g_aig
ex274,ex274_square_hybrid_bddrel123_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddrel123+wreduce_abc_g_aig,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/verilog/ex274_square_hybrid_bddrel123.v,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/aigs/ex274_square_hybrid_bddrel123_wreduce_abc_g_aig.aig,1,1,1,1090,41,44690,21630,2.066112,0,0,3.516,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddrel123; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_bddrel123_synth_preset,unsigned_square_x_times_x,hybrid_bddrel123+synth_preset,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/verilog/ex274_square_hybrid_bddrel123.v,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/aigs/ex274_square_hybrid_bddrel123_synth_preset.aig,1,1,1,1087,41,44567,21630,2.060425,0,0,3.674,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddrel123; flow=synth_preset
ex274,ex274_square_wallace_square_outside_csel6_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel6+abc_g_aig,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/verilog/ex274_square_wallace_square_outside_csel6.v,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/aigs/ex274_square_wallace_square_outside_csel6_abc_g_aig.aig,1,1,1,967,44,42548,21630,1.967083,0,0,3.366,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=wallace_square_outside_csel6; flow=abc_g_aig
ex274,ex274_square_wallace_square_outside_csel6_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel6+wreduce_abc_g_aig,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/verilog/ex274_square_wallace_square_outside_csel6.v,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/aigs/ex274_square_wallace_square_outside_csel6_wreduce_abc_g_aig.aig,1,1,1,970,44,42680,21630,1.973185,0,0,3.394,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=wallace_square_outside_csel6; flow=wreduce_abc_g_aig
ex274,ex274_square_wallace_square_outside_csel6_synth_preset,unsigned_square_x_times_x,wallace_square_outside_csel6+synth_preset,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/verilog/ex274_square_wallace_square_outside_csel6.v,student/work/ex274_frontend_square_hybrid_bddrel_20260609_1240/ex274/aigs/ex274_square_wallace_square_outside_csel6_synth_preset.aig,1,1,1,964,44,42416,21630,1.960980,0,0,3.595,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=wallace_square_outside_csel6; flow=synth_preset
