case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,notes
ex223,ex223_log_nested_low11_hi5_abc_g_aig,fp16_log,log_nested_low11_hi5,student/seeds/fp16/ex223_ex225_frontend_fp16_log_nested_current_20260607_2140/ex223/verilog/ex223_log_nested_low11_hi5.v,student/seeds/fp16/ex223_ex225_frontend_fp16_log_nested_current_20260607_2140/ex223/aigs/ex223_log_nested_low11_hi5_abc_g_aig.aig,1,1,10753,19,204307,120549,1.694805,0,0,semantic_structural_exact,positive-normal exp-group high-bit run trees plus nested low11 hi5 LUT; official evaluate.py OK
ex224,ex224_log_nested_low12_hi6_abc_g_aig,fp16_log2,log_nested_low12_hi6,student/seeds/fp16/ex223_ex225_frontend_fp16_log_nested_current_20260607_2140/ex224/verilog/ex224_log_nested_low12_hi6.v,student/seeds/fp16/ex223_ex225_frontend_fp16_log_nested_current_20260607_2140/ex224/aigs/ex224_log_nested_low12_hi6_abc_g_aig.aig,1,1,6014,16,96224,64708,1.487050,1,0,semantic_structural_exact,positive-normal exp-group high-bit run trees plus nested low12 hi6 LUT; official evaluate.py OK
ex225,ex225_log_nested_low12_hi5_abc_g_aig,fp16_log10,log_nested_low12_hi5,student/seeds/fp16/ex223_ex225_frontend_fp16_log_nested_current_20260607_2140/ex225/verilog/ex225_log_nested_low12_hi5.v,student/seeds/fp16/ex223_ex225_frontend_fp16_log_nested_current_20260607_2140/ex225/aigs/ex225_log_nested_low12_hi5_abc_g_aig.aig,1,1,11533,19,219127,116676,1.878081,0,0,semantic_structural_exact,positive-normal exp-group high-bit run trees plus nested low12 hi5 LUT; official evaluate.py OK
