case,hypothesis/function_guess,input_width,output_width,constant_bits,support_bits,output_zero,output_subnormal,output_normal,output_inf,output_nan,sign_relation_best,sign_relation_matches,identity_matches,abs_matches,sign_flip_input_matches,global_default,global_default_matches,sign_exp_full_default_groups,positive_exp_full_default_groups,sample_zero,sample_neg_zero,sample_one,sample_neg_one,sample_two,sample_pos_inf,sample_neg_inf,sample_nan,notes
ex225,fp16_log10,16,16,,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",1,0,30719,2049,32767,nan,31744,2,3,1,nan,32767,33,1,0xfc00,0xfc00,0x0000,0x7e00,0x34d1,0x7c00,0x7e00,0x7e00,hypothesis inferred by ex220-ex239 order and FP16 shape
ex226,fp16_sin,16,16,,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",2052,0,61436,0,2048,sign_flip_pos,31744,19341,9672,1,input,19341,4,2,0x0000,0x8000,0x3abb,0xbabb,0x3b46,0x7e00,0x7e00,0x7e00,hypothesis inferred by ex220-ex239 order and FP16 shape
ex227,fp16_tan,16,16,,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",2052,0,61434,2,2048,sign_flip_pos,31744,18359,9181,1,input,18359,4,2,0x0000,0x8000,0x3e3b,0xbe3b,0xc05f,0x7e00,0x7e00,0x7e00,hypothesis inferred by ex220-ex239 order and FP16 shape
ex228,fp16_sinh,16,16,,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",2048,0,35786,25656,2046,sign_flip_pos,31745,19343,9673,1,sign_inf,25656,26,13,0x0000,0x8000,0x3cb3,0xbcb3,0x4341,0x7c00,0xfc00,0x7e00,hypothesis inferred by ex220-ex239 order and FP16 shape
ex229,fp16_tanh,16,16,,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",2048,0,61442,0,2046,sign_flip_pos,31745,18357,9180,1,input,18357,28,14,0x0000,0x8000,0x3a18,0xba18,0x3bb6,0x3c00,0xbc00,0x7e00,hypothesis inferred by ex220-ex239 order and FP16 shape
