case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes
ex280,ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_0_1_2_3_8_first_onehot_endpoint_rev,unknown_key_canonical_cofactor_bdd,prefix_parity_reduce_bits_0_1_2_3_8_first_onehot_endpoint_rev,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_0_1_2_3_8_first_onehot_endpoint_rev.v,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/aigs/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_0_1_2_3_8_first_onehot_endpoint_rev.aig,1,1,1,1527,25,38175,1.262,transform=prefix_parity_reduce; outer_bits=0:1:2:3:8; inner_bits=4:5:6:7:9:10:11; class_encoding=first; outer_states=32; class_count=32; unique_reps=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; rep_by_outer=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; mux_style=onehot; inner_order_style=endpoint_rev; old_group_bdd_nodes=2204; unique_group_bdd_nodes=2259; group_bdd_nodes=37:85:76:87:56:94:68:82:39:87:77:89:57:95:69:83:30:79:73:86:56:90:60:76:34:75:68:82:53:87:57:72; hash=2d5846c00179,unknown canonical prefix-key cofactor-BDD Verilog seed
ex280,ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_2_3_7_9_10_first_case_endpoint,unknown_key_canonical_cofactor_bdd,prefix_parity_reduce_bits_2_3_7_9_10_first_case_endpoint,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_2_3_7_9_10_first_case_endpoint.v,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/aigs/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_2_3_7_9_10_first_case_endpoint.aig,1,1,1,2279,25,56975,1.362,transform=prefix_parity_reduce; outer_bits=2:3:7:9:10; inner_bits=0:1:4:5:6:8:11; class_encoding=first; outer_states=32; class_count=32; unique_reps=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; rep_by_outer=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; mux_style=case; inner_order_style=endpoint; old_group_bdd_nodes=2223; unique_group_bdd_nodes=2223; group_bdd_nodes=55:80:66:67:53:85:69:63:71:72:73:68:76:77:78:71:61:71:74:57:59:75:77:54:62:76:65:72:68:81:70:77; hash=4f78745881c3,unknown canonical prefix-key cofactor-BDD Verilog seed
ex280,ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_2_3_7_9_10_first_case_endpoint_rev,unknown_key_canonical_cofactor_bdd,prefix_parity_reduce_bits_2_3_7_9_10_first_case_endpoint_rev,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_2_3_7_9_10_first_case_endpoint_rev.v,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/aigs/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_2_3_7_9_10_first_case_endpoint_rev.aig,1,1,1,2355,24,56520,1.482,transform=prefix_parity_reduce; outer_bits=2:3:7:9:10; inner_bits=0:1:4:5:6:8:11; class_encoding=first; outer_states=32; class_count=32; unique_reps=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; rep_by_outer=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; mux_style=case; inner_order_style=endpoint_rev; old_group_bdd_nodes=2223; unique_group_bdd_nodes=2543; group_bdd_nodes=61:90:75:76:59:95:78:72:79:81:82:78:84:86:87:81:71:81:85:67:69:85:88:64:73:89:77:85:79:94:82:90; hash=d2653ee47eac,unknown canonical prefix-key cofactor-BDD Verilog seed
ex280,ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_2_3_7_9_10_first_onehot_endpoint,unknown_key_canonical_cofactor_bdd,prefix_parity_reduce_bits_2_3_7_9_10_first_onehot_endpoint,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_2_3_7_9_10_first_onehot_endpoint.v,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/aigs/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_2_3_7_9_10_first_onehot_endpoint.aig,1,1,1,2290,26,59540,1.432,transform=prefix_parity_reduce; outer_bits=2:3:7:9:10; inner_bits=0:1:4:5:6:8:11; class_encoding=first; outer_states=32; class_count=32; unique_reps=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; rep_by_outer=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; mux_style=onehot; inner_order_style=endpoint; old_group_bdd_nodes=2223; unique_group_bdd_nodes=2223; group_bdd_nodes=55:80:66:67:53:85:69:63:71:72:73:68:76:77:78:71:61:71:74:57:59:75:77:54:62:76:65:72:68:81:70:77; hash=b2d31a8d0773,unknown canonical prefix-key cofactor-BDD Verilog seed
ex280,ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_2_3_7_9_10_first_onehot_endpoint_rev,unknown_key_canonical_cofactor_bdd,prefix_parity_reduce_bits_2_3_7_9_10_first_onehot_endpoint_rev,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_2_3_7_9_10_first_onehot_endpoint_rev.v,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/aigs/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_2_3_7_9_10_first_onehot_endpoint_rev.aig,1,1,1,2376,25,59400,1.538,transform=prefix_parity_reduce; outer_bits=2:3:7:9:10; inner_bits=0:1:4:5:6:8:11; class_encoding=first; outer_states=32; class_count=32; unique_reps=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; rep_by_outer=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; mux_style=onehot; inner_order_style=endpoint_rev; old_group_bdd_nodes=2223; unique_group_bdd_nodes=2543; group_bdd_nodes=61:90:75:76:59:95:78:72:79:81:82:78:84:86:87:81:71:81:85:67:69:85:88:64:73:89:77:85:79:94:82:90; hash=8309a68443c1,unknown canonical prefix-key cofactor-BDD Verilog seed
ex280,ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_0_1_3_7_9_first_case_endpoint,unknown_key_canonical_cofactor_bdd,prefix_parity_reduce_bits_0_1_3_7_9_first_case_endpoint,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_0_1_3_7_9_first_case_endpoint.v,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/aigs/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_0_1_3_7_9_first_case_endpoint.aig,1,1,1,1986,24,47664,1.351,transform=prefix_parity_reduce; outer_bits=0:1:3:7:9; inner_bits=2:4:5:6:8:10:11; class_encoding=first; outer_states=32; class_count=32; unique_reps=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; rep_by_outer=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; mux_style=case; inner_order_style=endpoint; old_group_bdd_nodes=2262; unique_group_bdd_nodes=2262; group_bdd_nodes=48:92:64:72:43:89:63:71:52:99:68:79:48:94:66:77:46:91:69:72:43:88:69:72:49:97:75:78:46:93:73:76; hash=34c6c7e9bcdb,unknown canonical prefix-key cofactor-BDD Verilog seed
ex280,ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_0_1_3_7_9_first_case_endpoint_rev,unknown_key_canonical_cofactor_bdd,prefix_parity_reduce_bits_0_1_3_7_9_first_case_endpoint_rev,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_0_1_3_7_9_first_case_endpoint_rev.v,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/aigs/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_0_1_3_7_9_first_case_endpoint_rev.aig,1,1,1,1980,24,47520,1.357,transform=prefix_parity_reduce; outer_bits=0:1:3:7:9; inner_bits=2:4:5:6:8:10:11; class_encoding=first; outer_states=32; class_count=32; unique_reps=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; rep_by_outer=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; mux_style=case; inner_order_style=endpoint_rev; old_group_bdd_nodes=2262; unique_group_bdd_nodes=2262; group_bdd_nodes=48:92:64:72:43:89:63:71:52:99:68:79:48:94:66:77:46:91:69:72:43:88:69:72:49:97:75:78:46:93:73:76; hash=a4e03c939a11,unknown canonical prefix-key cofactor-BDD Verilog seed
ex280,ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_0_1_3_7_9_first_onehot_endpoint,unknown_key_canonical_cofactor_bdd,prefix_parity_reduce_bits_0_1_3_7_9_first_onehot_endpoint,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_0_1_3_7_9_first_onehot_endpoint.v,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/aigs/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_0_1_3_7_9_first_onehot_endpoint.aig,1,1,1,1934,24,46416,1.402,transform=prefix_parity_reduce; outer_bits=0:1:3:7:9; inner_bits=2:4:5:6:8:10:11; class_encoding=first; outer_states=32; class_count=32; unique_reps=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; rep_by_outer=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; mux_style=onehot; inner_order_style=endpoint; old_group_bdd_nodes=2262; unique_group_bdd_nodes=2262; group_bdd_nodes=48:92:64:72:43:89:63:71:52:99:68:79:48:94:66:77:46:91:69:72:43:88:69:72:49:97:75:78:46:93:73:76; hash=18eac9862bf3,unknown canonical prefix-key cofactor-BDD Verilog seed
ex280,ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_0_1_3_7_9_first_onehot_endpoint_rev,unknown_key_canonical_cofactor_bdd,prefix_parity_reduce_bits_0_1_3_7_9_first_onehot_endpoint_rev,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_0_1_3_7_9_first_onehot_endpoint_rev.v,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/aigs/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_0_1_3_7_9_first_onehot_endpoint_rev.aig,1,1,1,1981,25,49525,1.389,transform=prefix_parity_reduce; outer_bits=0:1:3:7:9; inner_bits=2:4:5:6:8:10:11; class_encoding=first; outer_states=32; class_count=32; unique_reps=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; rep_by_outer=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; mux_style=onehot; inner_order_style=endpoint_rev; old_group_bdd_nodes=2262; unique_group_bdd_nodes=2262; group_bdd_nodes=48:92:64:72:43:89:63:71:52:99:68:79:48:94:66:77:46:91:69:72:43:88:69:72:49:97:75:78:46:93:73:76; hash=0df7d42acb4f,unknown canonical prefix-key cofactor-BDD Verilog seed
ex280,ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_0_2_3_7_9_first_case_endpoint,unknown_key_canonical_cofactor_bdd,prefix_parity_reduce_bits_0_2_3_7_9_first_case_endpoint,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_0_2_3_7_9_first_case_endpoint.v,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/aigs/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_0_2_3_7_9_first_case_endpoint.aig,1,1,1,2317,25,57925,3.479,transform=prefix_parity_reduce; outer_bits=0:2:3:7:9; inner_bits=1:4:5:6:8:10:11; class_encoding=first; outer_states=32; class_count=32; unique_reps=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; rep_by_outer=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; mux_style=case; inner_order_style=endpoint; old_group_bdd_nodes=2273; unique_group_bdd_nodes=2273; group_bdd_nodes=47:76:68:90:57:86:54:80:45:74:74:99:64:94:51:75:55:78:60:85:55:80:57:81:58:84:65:90:60:85:60:86; hash=7e213dd91c22,unknown canonical prefix-key cofactor-BDD Verilog seed
ex280,ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_0_2_3_7_9_first_case_endpoint_rev,unknown_key_canonical_cofactor_bdd,prefix_parity_reduce_bits_0_2_3_7_9_first_case_endpoint_rev,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_0_2_3_7_9_first_case_endpoint_rev.v,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/aigs/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_0_2_3_7_9_first_case_endpoint_rev.aig,1,1,1,2336,25,58400,1.773,transform=prefix_parity_reduce; outer_bits=0:2:3:7:9; inner_bits=1:4:5:6:8:10:11; class_encoding=first; outer_states=32; class_count=32; unique_reps=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; rep_by_outer=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; mux_style=case; inner_order_style=endpoint_rev; old_group_bdd_nodes=2273; unique_group_bdd_nodes=2271; group_bdd_nodes=49:73:65:89:59:84:54:77:47:71:71:98:65:91:51:74:55:79:61:84:56:83:59:82:58:86:66:89:61:88:61:85; hash=8732d73d2d32,unknown canonical prefix-key cofactor-BDD Verilog seed
ex280,ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_0_2_3_7_9_first_onehot_endpoint,unknown_key_canonical_cofactor_bdd,prefix_parity_reduce_bits_0_2_3_7_9_first_onehot_endpoint,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_0_2_3_7_9_first_onehot_endpoint.v,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/aigs/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_0_2_3_7_9_first_onehot_endpoint.aig,1,1,1,2320,25,58000,1.895,transform=prefix_parity_reduce; outer_bits=0:2:3:7:9; inner_bits=1:4:5:6:8:10:11; class_encoding=first; outer_states=32; class_count=32; unique_reps=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; rep_by_outer=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; mux_style=onehot; inner_order_style=endpoint; old_group_bdd_nodes=2273; unique_group_bdd_nodes=2273; group_bdd_nodes=47:76:68:90:57:86:54:80:45:74:74:99:64:94:51:75:55:78:60:85:55:80:57:81:58:84:65:90:60:85:60:86; hash=474456316d4a,unknown canonical prefix-key cofactor-BDD Verilog seed
ex280,ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_0_2_3_7_9_first_onehot_endpoint_rev,unknown_key_canonical_cofactor_bdd,prefix_parity_reduce_bits_0_2_3_7_9_first_onehot_endpoint_rev,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_0_2_3_7_9_first_onehot_endpoint_rev.v,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/aigs/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_0_2_3_7_9_first_onehot_endpoint_rev.aig,1,1,1,2368,25,59200,1.509,transform=prefix_parity_reduce; outer_bits=0:2:3:7:9; inner_bits=1:4:5:6:8:10:11; class_encoding=first; outer_states=32; class_count=32; unique_reps=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; rep_by_outer=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; mux_style=onehot; inner_order_style=endpoint_rev; old_group_bdd_nodes=2273; unique_group_bdd_nodes=2271; group_bdd_nodes=49:73:65:89:59:84:54:77:47:71:71:98:65:91:51:74:55:79:61:84:56:83:59:82:58:86:66:89:61:88:61:85; hash=c958f77358d6,unknown canonical prefix-key cofactor-BDD Verilog seed
ex280,ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_0_1_2_7_8_first_case_endpoint,unknown_key_canonical_cofactor_bdd,prefix_parity_reduce_bits_0_1_2_7_8_first_case_endpoint,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_0_1_2_7_8_first_case_endpoint.v,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/aigs/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_0_1_2_7_8_first_case_endpoint.aig,1,1,1,1635,26,42510,1.278,transform=prefix_parity_reduce; outer_bits=0:1:2:7:8; inner_bits=3:4:5:6:9:10:11; class_encoding=first; outer_states=32; class_count=32; unique_reps=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; rep_by_outer=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; mux_style=case; inner_order_style=endpoint; old_group_bdd_nodes=2301; unique_group_bdd_nodes=2301; group_bdd_nodes=34:81:71:82:49:84:60:72:39:93:82:95:60:96:71:84:31:77:73:86:54:87:57:70:37:88:84:99:63:98:65:79; hash=d62c79c866dd,unknown canonical prefix-key cofactor-BDD Verilog seed
ex280,ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_0_1_2_7_8_first_case_endpoint_rev,unknown_key_canonical_cofactor_bdd,prefix_parity_reduce_bits_0_1_2_7_8_first_case_endpoint_rev,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_0_1_2_7_8_first_case_endpoint_rev.v,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/aigs/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_0_1_2_7_8_first_case_endpoint_rev.aig,1,1,1,1709,26,44434,1.292,transform=prefix_parity_reduce; outer_bits=0:1:2:7:8; inner_bits=3:4:5:6:9:10:11; class_encoding=first; outer_states=32; class_count=32; unique_reps=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; rep_by_outer=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; mux_style=case; inner_order_style=endpoint_rev; old_group_bdd_nodes=2301; unique_group_bdd_nodes=2301; group_bdd_nodes=34:81:71:82:49:84:60:72:39:93:82:95:60:96:71:84:31:77:73:86:54:87:57:70:37:88:84:99:63:98:65:79; hash=f02d095cc8eb,unknown canonical prefix-key cofactor-BDD Verilog seed
ex280,ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_0_1_2_7_8_first_onehot_endpoint,unknown_key_canonical_cofactor_bdd,prefix_parity_reduce_bits_0_1_2_7_8_first_onehot_endpoint,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_0_1_2_7_8_first_onehot_endpoint.v,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/aigs/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_0_1_2_7_8_first_onehot_endpoint.aig,1,1,1,1701,23,39123,1.315,transform=prefix_parity_reduce; outer_bits=0:1:2:7:8; inner_bits=3:4:5:6:9:10:11; class_encoding=first; outer_states=32; class_count=32; unique_reps=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; rep_by_outer=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; mux_style=onehot; inner_order_style=endpoint; old_group_bdd_nodes=2301; unique_group_bdd_nodes=2301; group_bdd_nodes=34:81:71:82:49:84:60:72:39:93:82:95:60:96:71:84:31:77:73:86:54:87:57:70:37:88:84:99:63:98:65:79; hash=b0465eb15407,unknown canonical prefix-key cofactor-BDD Verilog seed
ex280,ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_0_1_2_7_8_first_onehot_endpoint_rev,unknown_key_canonical_cofactor_bdd,prefix_parity_reduce_bits_0_1_2_7_8_first_onehot_endpoint_rev,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_0_1_2_7_8_first_onehot_endpoint_rev.v,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/aigs/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_0_1_2_7_8_first_onehot_endpoint_rev.aig,1,1,1,1728,24,41472,1.317,transform=prefix_parity_reduce; outer_bits=0:1:2:7:8; inner_bits=3:4:5:6:9:10:11; class_encoding=first; outer_states=32; class_count=32; unique_reps=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; rep_by_outer=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; mux_style=onehot; inner_order_style=endpoint_rev; old_group_bdd_nodes=2301; unique_group_bdd_nodes=2301; group_bdd_nodes=34:81:71:82:49:84:60:72:39:93:82:95:60:96:71:84:31:77:73:86:54:87:57:70:37:88:84:99:63:98:65:79; hash=1ee54e45a28a,unknown canonical prefix-key cofactor-BDD Verilog seed
ex280,ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_1_2_3_7_9_first_case_endpoint,unknown_key_canonical_cofactor_bdd,prefix_parity_reduce_bits_1_2_3_7_9_first_case_endpoint,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_1_2_3_7_9_first_case_endpoint.v,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/aigs/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_1_2_3_7_9_first_case_endpoint.aig,1,1,1,1980,25,49500,1.393,transform=prefix_parity_reduce; outer_bits=1:2:3:7:9; inner_bits=0:4:5:6:8:10:11; class_encoding=first; outer_states=32; class_count=32; unique_reps=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; rep_by_outer=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; mux_style=case; inner_order_style=endpoint; old_group_bdd_nodes=2312; unique_group_bdd_nodes=2312; group_bdd_nodes=68:62:85:77:79:71:72:66:66:60:92:86:85:79:67:62:69:65:76:71:70:63:73:69:72:68:79:74:73:66:75:72; hash=e3d5eec06cf1,unknown canonical prefix-key cofactor-BDD Verilog seed
ex280,ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_1_2_3_7_9_first_case_endpoint_rev,unknown_key_canonical_cofactor_bdd,prefix_parity_reduce_bits_1_2_3_7_9_first_case_endpoint_rev,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_1_2_3_7_9_first_case_endpoint_rev.v,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/aigs/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_1_2_3_7_9_first_case_endpoint_rev.aig,1,1,1,2115,25,52875,1.451,transform=prefix_parity_reduce; outer_bits=1:2:3:7:9; inner_bits=0:4:5:6:8:10:11; class_encoding=first; outer_states=32; class_count=32; unique_reps=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; rep_by_outer=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; mux_style=case; inner_order_style=endpoint_rev; old_group_bdd_nodes=2312; unique_group_bdd_nodes=2578; group_bdd_nodes=78:69:95:85:88:78:83:74:76:67:102:94:94:86:78:70:77:71:85:79:78:70:82:77:80:74:88:82:81:73:84:80; hash=c7efa7194dc9,unknown canonical prefix-key cofactor-BDD Verilog seed
