case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,items,runtime_sec,notes,evaluate_py_ok,evaluate_py_adp,evaluate_py_returncode,evaluate_py_notes
ex296,ex296_unknown_split_refine_rotate0_low12,arbitrary_width_split_default,rotate0_low12,student/work/ex296_ex298_frontend_split_refine_20260608_1210/ex296/verilog/ex296_unknown_split_refine_rotate0_low12.v,student/work/ex296_ex298_frontend_split_refine_20260608_1210/ex296/aigs/ex296_unknown_split_refine_rotate0_low12.aig,1,1,1,19945,18,359010,104025,3.451190,0,0,structural_exact,rotate=0; outer=low; outer_bits=12; inner_bits=1; full_default_groups=895; exceptions=3201; hash=4f671243e1f0,41.909,unknown arbitrary split/default Verilog seed,1,359010,0,
ex296,ex296_unknown_split_refine_rotate11_low12,arbitrary_width_split_default,rotate11_low12,student/work/ex296_ex298_frontend_split_refine_20260608_1210/ex296/verilog/ex296_unknown_split_refine_rotate11_low12.v,student/work/ex296_ex298_frontend_split_refine_20260608_1210/ex296/aigs/ex296_unknown_split_refine_rotate11_low12.aig,1,1,1,15543,18,279774,104025,2.689488,0,0,structural_exact,rotate=11; outer=low; outer_bits=12; inner_bits=1; full_default_groups=1528; exceptions=2568; hash=02efd54fe31c,31.775,unknown arbitrary split/default Verilog seed,1,279774,0,
ex296,ex296_unknown_split_refine_rotate12_high12,arbitrary_width_split_default,rotate12_high12,student/work/ex296_ex298_frontend_split_refine_20260608_1210/ex296/verilog/ex296_unknown_split_refine_rotate12_high12.v,student/work/ex296_ex298_frontend_split_refine_20260608_1210/ex296/aigs/ex296_unknown_split_refine_rotate12_high12.aig,1,1,1,15543,18,279774,104025,2.689488,0,0,structural_exact,rotate=12; outer=high; outer_bits=12; inner_bits=1; full_default_groups=1528; exceptions=2568; hash=9176a5015c6f,32.042,unknown arbitrary split/default Verilog seed,1,279774,0,
ex298,ex298_unknown_split_refine_rotate11_low14,arbitrary_width_split_default,rotate11_low14,student/work/ex296_ex298_frontend_split_refine_20260608_1210/ex298/verilog/ex298_unknown_split_refine_rotate11_low14.v,student/work/ex296_ex298_frontend_split_refine_20260608_1210/ex298/aigs/ex298_unknown_split_refine_rotate11_low14.aig,1,1,1,65395,21,1373295,442296,3.104923,0,0,structural_exact,rotate=11; outer=low; outer_bits=14; inner_bits=1; full_default_groups=3699; exceptions=12685; hash=c0ac6004a78d,490.080,unknown arbitrary split/default Verilog seed,1,1373295,0,
ex298,ex298_unknown_split_refine_rotate13_low14,arbitrary_width_split_default,rotate13_low14,student/work/ex296_ex298_frontend_split_refine_20260608_1210/ex298/verilog/ex298_unknown_split_refine_rotate13_low14.v,student/work/ex296_ex298_frontend_split_refine_20260608_1210/ex298/aigs/ex298_unknown_split_refine_rotate13_low14.aig,1,1,1,58114,21,1220394,442296,2.759225,0,0,structural_exact,rotate=13; outer=low; outer_bits=14; inner_bits=1; full_default_groups=6253; exceptions=10131; hash=3c300c9ea056,382.765,unknown arbitrary split/default Verilog seed,1,1220394,0,
ex298,ex298_unknown_split_refine_rotate14_high14,arbitrary_width_split_default,rotate14_high14,student/work/ex296_ex298_frontend_split_refine_20260608_1210/ex298/verilog/ex298_unknown_split_refine_rotate14_high14.v,student/work/ex296_ex298_frontend_split_refine_20260608_1210/ex298/aigs/ex298_unknown_split_refine_rotate14_high14.aig,1,1,1,58114,21,1220394,442296,2.759225,0,0,structural_exact,rotate=14; outer=high; outer_bits=14; inner_bits=1; full_default_groups=6253; exceptions=10131; hash=3d258585b020,387.916,unknown arbitrary split/default Verilog seed,1,1220394,0,
