case,hypothesis/function_guess,candidate_count,verified_truth_count,synthesized_count,equivalent_count,semantic_exact_count,semantic_hybrid_count,structural_exact_count,best_candidate_id,best_variant,best_classification,best_area,best_delay,best_adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,top5,notes
ex296,arbitrary_width_split_default,3,3,3,3,0,0,3,ex296_unknown_split_refine_rotate11_low12,rotate11_low12,structural_exact,15543,18,279774,104025,2.689488,0,0,rotate11_low12:279774; rotate12_high12:279774; rotate0_low12:359010,
ex298,arbitrary_width_split_default,3,3,3,3,0,0,3,ex298_unknown_split_refine_rotate13_low14,rotate13_low14,structural_exact,58114,21,1220394,442296,2.759225,0,0,rotate13_low14:1220394; rotate14_high14:1220394; rotate11_low14:1373295,
