case,candidate_id,parent_id,source,tool_chain,aig_path,area,delay,adp,equivalent,runtime_sec,notes
ex280,ex280_seed_best_verilog,,seed,seed,student/archive/cleanup_20260605/ex280_backend_intermediate/best_aigs/ex280_abc_delay_search_round1.aig,823,21,17283,1,0.125,current best ex280 Verilog seed AIG
ex280,ex280_seed_best_verilog_abc_bal_rw_1,ex280_seed_best_verilog,abc,abc_bal_rw,student/archive/cleanup_20260605/ex280_backend_intermediate/work/ex280_backend_search_post_delay_mock/ex280/round_1/abc_bal_rw/ex280_ex280_seed_best_verilog_abc_bal_rw.aig,823,21,17283,1,0.196,ex280 backend ABC search
ex280,ex280_seed_best_verilog_abc_resyn_1,ex280_seed_best_verilog,abc,abc_resyn,student/archive/cleanup_20260605/ex280_backend_intermediate/work/ex280_backend_search_post_delay_mock/ex280/round_1/abc_resyn/ex280_ex280_seed_best_verilog_abc_resyn.aig,823,21,17283,1,0.198,ex280 backend ABC search
ex280,ex280_seed_best_verilog_abc_resyn2_1,ex280_seed_best_verilog,abc,abc_resyn2,student/archive/cleanup_20260605/ex280_backend_intermediate/work/ex280_backend_search_post_delay_mock/ex280/round_1/abc_resyn2/ex280_ex280_seed_best_verilog_abc_resyn2.aig,823,21,17283,1,0.208,ex280 backend ABC search
ex280,ex280_seed_best_verilog_abc_resyn2a_1,ex280_seed_best_verilog,abc,abc_resyn2a,student/archive/cleanup_20260605/ex280_backend_intermediate/work/ex280_backend_search_post_delay_mock/ex280/round_1/abc_resyn2a/ex280_ex280_seed_best_verilog_abc_resyn2a.aig,823,21,17283,1,0.198,ex280 backend ABC search
ex280,ex280_seed_best_verilog_abc_resyn3_1,ex280_seed_best_verilog,abc,abc_resyn3,student/archive/cleanup_20260605/ex280_backend_intermediate/work/ex280_backend_search_post_delay_mock/ex280/round_1/abc_resyn3/ex280_ex280_seed_best_verilog_abc_resyn3.aig,823,21,17283,1,0.185,ex280 backend ABC search
ex280,ex280_seed_best_verilog_abc_compress2_1,ex280_seed_best_verilog,abc,abc_compress2,student/archive/cleanup_20260605/ex280_backend_intermediate/work/ex280_backend_search_post_delay_mock/ex280/round_1/abc_compress2/ex280_ex280_seed_best_verilog_abc_compress2.aig,823,22,18106,1,0.232,ex280 backend ABC search
ex280,ex280_seed_best_verilog_abc_resyn2rs_1,ex280_seed_best_verilog,abc,abc_resyn2rs,student/archive/cleanup_20260605/ex280_backend_intermediate/work/ex280_backend_search_post_delay_mock/ex280/round_1/abc_resyn2rs/ex280_ex280_seed_best_verilog_abc_resyn2rs.aig,823,21,17283,1,0.647,ex280 backend ABC search
ex280,ex280_seed_best_verilog_abc_compress2rs_1,ex280_seed_best_verilog,abc,abc_compress2rs,student/archive/cleanup_20260605/ex280_backend_intermediate/work/ex280_backend_search_post_delay_mock/ex280/round_1/abc_compress2rs/ex280_ex280_seed_best_verilog_abc_compress2rs.aig,818,22,17996,1,0.346,ex280 backend ABC search
ex280,ex280_seed_best_verilog_abc_dc2_1,ex280_seed_best_verilog,abc,abc_dc2,student/archive/cleanup_20260605/ex280_backend_intermediate/work/ex280_backend_search_post_delay_mock/ex280/round_1/abc_dc2/ex280_ex280_seed_best_verilog_abc_dc2.aig,821,22,18062,1,0.229,ex280 backend ABC search
ex280,ex280_seed_best_verilog_abc_dch_1,ex280_seed_best_verilog,abc,abc_dch,student/archive/cleanup_20260605/ex280_backend_intermediate/work/ex280_backend_search_post_delay_mock/ex280/round_1/abc_dch/ex280_ex280_seed_best_verilog_abc_dch.aig,823,21,17283,1,0.242,ex280 backend ABC search
ex280,ex280_seed_best_verilog_abc_dc2_dch_1,ex280_seed_best_verilog,abc,abc_dc2_dch,student/archive/cleanup_20260605/ex280_backend_intermediate/work/ex280_backend_search_post_delay_mock/ex280/round_1/abc_dc2_dch/ex280_ex280_seed_best_verilog_abc_dc2_dch.aig,821,21,17241,1,0.350,ex280 backend ABC search
ex280,ex280_seed_best_verilog_abc_dch_dc2_1,ex280_seed_best_verilog,abc,abc_dch_dc2,student/archive/cleanup_20260605/ex280_backend_intermediate/work/ex280_backend_search_post_delay_mock/ex280/round_1/abc_dch_dc2/ex280_ex280_seed_best_verilog_abc_dch_dc2.aig,823,22,18106,1,0.243,ex280 backend ABC search
ex280,ex280_seed_best_verilog_abc_dc2_rw_1,ex280_seed_best_verilog,abc,abc_dc2_rw,student/archive/cleanup_20260605/ex280_backend_intermediate/work/ex280_backend_search_post_delay_mock/ex280/round_1/abc_dc2_rw/ex280_ex280_seed_best_verilog_abc_dc2_rw.aig,821,22,18062,1,0.228,ex280 backend ABC search
ex280,ex280_seed_best_verilog_abc_dch_rw_1,ex280_seed_best_verilog,abc,abc_dch_rw,student/archive/cleanup_20260605/ex280_backend_intermediate/work/ex280_backend_search_post_delay_mock/ex280/round_1/abc_dch_rw/ex280_ex280_seed_best_verilog_abc_dch_rw.aig,823,21,17283,1,0.227,ex280 backend ABC search
ex280,ex280_seed_best_verilog_abc_src_rw_1,ex280_seed_best_verilog,abc,abc_src_rw,student/archive/cleanup_20260605/ex280_backend_intermediate/work/ex280_backend_search_post_delay_mock/ex280/round_1/abc_src_rw/ex280_ex280_seed_best_verilog_abc_src_rw.aig,823,25,20575,1,0.196,ex280 backend ABC search
