case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex274,ex274_square_hybrid_bddtop2_trunc_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_trunc+abc_g_aig,student/work/ex274_frontend_square_hybrid_bddtop_trunc_csel_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop2_trunc.v,student/work/ex274_frontend_square_hybrid_bddtop_trunc_csel_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop2_trunc_abc_g_aig.aig,1,1,1,991,43,42613,21630,1.970088,0,0,3.440,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_trunc; flow=abc_g_aig
ex274,ex274_square_hybrid_bddtop2_trunc_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_trunc+wreduce_abc_g_aig,student/work/ex274_frontend_square_hybrid_bddtop_trunc_csel_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop2_trunc.v,student/work/ex274_frontend_square_hybrid_bddtop_trunc_csel_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop2_trunc_wreduce_abc_g_aig.aig,1,1,1,989,43,42527,21630,1.966112,0,0,3.424,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_trunc; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_bddtop2_trunc_synth_preset,unsigned_square_x_times_x,hybrid_bddtop2_trunc+synth_preset,student/work/ex274_frontend_square_hybrid_bddtop_trunc_csel_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop2_trunc.v,student/work/ex274_frontend_square_hybrid_bddtop_trunc_csel_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop2_trunc_synth_preset.aig,1,1,1,985,42,41370,21630,1.912621,0,0,3.733,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_trunc; flow=synth_preset
ex274,ex274_square_hybrid_bddtop2_trunc_synth_preset_d20,unsigned_square_x_times_x,hybrid_bddtop2_trunc+synth_preset_d20,student/work/ex274_frontend_square_hybrid_bddtop_trunc_csel_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop2_trunc.v,student/work/ex274_frontend_square_hybrid_bddtop_trunc_csel_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop2_trunc_synth_preset_d20.aig,1,1,1,985,42,41370,21630,1.912621,0,0,3.657,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_trunc; flow=synth_preset_d20
ex274,ex274_square_hybrid_bddtop2_trunc_csel5_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_trunc_csel5+abc_g_aig,student/work/ex274_frontend_square_hybrid_bddtop_trunc_csel_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop2_trunc_csel5.v,student/work/ex274_frontend_square_hybrid_bddtop_trunc_csel_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop2_trunc_csel5_abc_g_aig.aig,1,1,1,989,44,43516,21630,2.011835,0,0,3.507,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_trunc_csel5; flow=abc_g_aig
ex274,ex274_square_hybrid_bddtop2_trunc_csel5_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_trunc_csel5+wreduce_abc_g_aig,student/work/ex274_frontend_square_hybrid_bddtop_trunc_csel_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop2_trunc_csel5.v,student/work/ex274_frontend_square_hybrid_bddtop_trunc_csel_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop2_trunc_csel5_wreduce_abc_g_aig.aig,1,1,1,987,44,43428,21630,2.007767,0,0,3.548,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_trunc_csel5; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_bddtop2_trunc_csel5_synth_preset,unsigned_square_x_times_x,hybrid_bddtop2_trunc_csel5+synth_preset,student/work/ex274_frontend_square_hybrid_bddtop_trunc_csel_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop2_trunc_csel5.v,student/work/ex274_frontend_square_hybrid_bddtop_trunc_csel_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop2_trunc_csel5_synth_preset.aig,1,1,1,985,44,43340,21630,2.003699,0,0,3.641,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_trunc_csel5; flow=synth_preset
ex274,ex274_square_hybrid_bddtop2_trunc_csel5_synth_preset_d20,unsigned_square_x_times_x,hybrid_bddtop2_trunc_csel5+synth_preset_d20,student/work/ex274_frontend_square_hybrid_bddtop_trunc_csel_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop2_trunc_csel5.v,student/work/ex274_frontend_square_hybrid_bddtop_trunc_csel_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop2_trunc_csel5_synth_preset_d20.aig,1,1,1,985,44,43340,21630,2.003699,0,0,4.458,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_trunc_csel5; flow=synth_preset_d20
ex274,ex274_square_hybrid_bddtop2_trunc_csel7_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_trunc_csel7+abc_g_aig,student/work/ex274_frontend_square_hybrid_bddtop_trunc_csel_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop2_trunc_csel7.v,student/work/ex274_frontend_square_hybrid_bddtop_trunc_csel_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop2_trunc_csel7_abc_g_aig.aig,1,1,1,986,47,46342,21630,2.142487,0,0,4.341,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_trunc_csel7; flow=abc_g_aig
ex274,ex274_square_hybrid_bddtop2_trunc_csel7_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_trunc_csel7+wreduce_abc_g_aig,student/work/ex274_frontend_square_hybrid_bddtop_trunc_csel_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop2_trunc_csel7.v,student/work/ex274_frontend_square_hybrid_bddtop_trunc_csel_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop2_trunc_csel7_wreduce_abc_g_aig.aig,1,1,1,984,45,44280,21630,2.047157,0,0,3.997,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_trunc_csel7; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_bddtop2_trunc_csel7_synth_preset,unsigned_square_x_times_x,hybrid_bddtop2_trunc_csel7+synth_preset,student/work/ex274_frontend_square_hybrid_bddtop_trunc_csel_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop2_trunc_csel7.v,student/work/ex274_frontend_square_hybrid_bddtop_trunc_csel_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop2_trunc_csel7_synth_preset.aig,1,1,1,978,45,44010,21630,2.034674,0,0,4.961,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_trunc_csel7; flow=synth_preset
