case,domain,agent_id,candidate_id,equivalent,area,delay,adp,verilog_path,aig_path,evaluate_log,notes
ex246,float_fp8,local-fp8-source-r57,ex246_ex246_semantic_mul_product_dc_seed12_default_raw,1,355,24,8520,student/work/ex246_ex247_frontend_source_only_round57_20260613_1105/local-fp8-source-r57/ex246/ex246_semantic_mul_product_dc_seed12/verilog/ex246_semantic_mul_product_dc_seed12.v,student/work/ex246_ex247_frontend_source_only_round57_20260613_1105/local-fp8-source-r57/ex246/ex246_semantic_mul_product_dc_seed12/aigs/ex246_ex246_semantic_mul_product_dc_seed12_default_raw.aig,student/work/ex246_ex247_frontend_source_only_round57_20260613_1105/local-fp8-source-r57/ex246/ex246_semantic_mul_product_dc_seed12/logs/ex246_ex246_semantic_mul_product_dc_seed12_default_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex246_ex247_frontend_source_only_round57_20260613_1105/local-fp8-source-r57/ex246/ex246_semantic_mul_product_dc_seed12/logs/ex246_semantic_mul_product_dc_seed12_default.yosys.log; abc_log=student/work/ex246_ex247_frontend_source_only_round57_20260613_1105/local-fp8-source-r57/ex246/ex246_semantic_mul_product_dc_seed12/logs/ex246_ex246_semantic_mul_product_dc_seed12_default_raw.abc.log; synth_sec=0.551; abc_sec=0.000; eval_sec=0.514
ex246,float_fp8,local-fp8-source-r57,ex246_ex246_semantic_mul_product_dc_seed12_extra_share_raw,1,355,24,8520,student/work/ex246_ex247_frontend_source_only_round57_20260613_1105/local-fp8-source-r57/ex246/ex246_semantic_mul_product_dc_seed12/verilog/ex246_semantic_mul_product_dc_seed12.v,student/work/ex246_ex247_frontend_source_only_round57_20260613_1105/local-fp8-source-r57/ex246/ex246_semantic_mul_product_dc_seed12/aigs/ex246_ex246_semantic_mul_product_dc_seed12_extra_share_raw.aig,student/work/ex246_ex247_frontend_source_only_round57_20260613_1105/local-fp8-source-r57/ex246/ex246_semantic_mul_product_dc_seed12/logs/ex246_ex246_semantic_mul_product_dc_seed12_extra_share_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex246_ex247_frontend_source_only_round57_20260613_1105/local-fp8-source-r57/ex246/ex246_semantic_mul_product_dc_seed12/logs/ex246_semantic_mul_product_dc_seed12_extra_share.yosys.log; abc_log=student/work/ex246_ex247_frontend_source_only_round57_20260613_1105/local-fp8-source-r57/ex246/ex246_semantic_mul_product_dc_seed12/logs/ex246_ex246_semantic_mul_product_dc_seed12_extra_share_raw.abc.log; synth_sec=0.585; abc_sec=0.000; eval_sec=0.530
ex246,float_fp8,local-fp8-source-r57,ex246_ex246_semantic_mul_product_dc_seed12_abc_g_aig_raw,1,354,24,8496,student/work/ex246_ex247_frontend_source_only_round57_20260613_1105/local-fp8-source-r57/ex246/ex246_semantic_mul_product_dc_seed12/verilog/ex246_semantic_mul_product_dc_seed12.v,student/work/ex246_ex247_frontend_source_only_round57_20260613_1105/local-fp8-source-r57/ex246/ex246_semantic_mul_product_dc_seed12/aigs/ex246_ex246_semantic_mul_product_dc_seed12_abc_g_aig_raw.aig,student/work/ex246_ex247_frontend_source_only_round57_20260613_1105/local-fp8-source-r57/ex246/ex246_semantic_mul_product_dc_seed12/logs/ex246_ex246_semantic_mul_product_dc_seed12_abc_g_aig_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex246_ex247_frontend_source_only_round57_20260613_1105/local-fp8-source-r57/ex246/ex246_semantic_mul_product_dc_seed12/logs/ex246_semantic_mul_product_dc_seed12_abc_g_aig.yosys.log; abc_log=student/work/ex246_ex247_frontend_source_only_round57_20260613_1105/local-fp8-source-r57/ex246/ex246_semantic_mul_product_dc_seed12/logs/ex246_ex246_semantic_mul_product_dc_seed12_abc_g_aig_raw.abc.log; synth_sec=0.561; abc_sec=0.000; eval_sec=0.505
ex246,float_fp8,local-fp8-source-r57,ex246_ex246_semantic_mul_product_dc_seed12_synth_preset_raw,1,343,23,7889,student/work/ex246_ex247_frontend_source_only_round57_20260613_1105/local-fp8-source-r57/ex246/ex246_semantic_mul_product_dc_seed12/verilog/ex246_semantic_mul_product_dc_seed12.v,student/work/ex246_ex247_frontend_source_only_round57_20260613_1105/local-fp8-source-r57/ex246/ex246_semantic_mul_product_dc_seed12/aigs/ex246_ex246_semantic_mul_product_dc_seed12_synth_preset_raw.aig,student/work/ex246_ex247_frontend_source_only_round57_20260613_1105/local-fp8-source-r57/ex246/ex246_semantic_mul_product_dc_seed12/logs/ex246_ex246_semantic_mul_product_dc_seed12_synth_preset_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex246_ex247_frontend_source_only_round57_20260613_1105/local-fp8-source-r57/ex246/ex246_semantic_mul_product_dc_seed12/logs/ex246_semantic_mul_product_dc_seed12_synth_preset.yosys.log; abc_log=student/work/ex246_ex247_frontend_source_only_round57_20260613_1105/local-fp8-source-r57/ex246/ex246_semantic_mul_product_dc_seed12/logs/ex246_ex246_semantic_mul_product_dc_seed12_synth_preset_raw.abc.log; synth_sec=0.772; abc_sec=0.000; eval_sec=0.518
ex246,float_fp8,local-fp8-source-r57,ex246_ex246_semantic_mul_product_dc_seed228_default_raw,1,359,24,8616,student/work/ex246_ex247_frontend_source_only_round57_20260613_1105/local-fp8-source-r57/ex246/ex246_semantic_mul_product_dc_seed228/verilog/ex246_semantic_mul_product_dc_seed228.v,student/work/ex246_ex247_frontend_source_only_round57_20260613_1105/local-fp8-source-r57/ex246/ex246_semantic_mul_product_dc_seed228/aigs/ex246_ex246_semantic_mul_product_dc_seed228_default_raw.aig,student/work/ex246_ex247_frontend_source_only_round57_20260613_1105/local-fp8-source-r57/ex246/ex246_semantic_mul_product_dc_seed228/logs/ex246_ex246_semantic_mul_product_dc_seed228_default_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex246_ex247_frontend_source_only_round57_20260613_1105/local-fp8-source-r57/ex246/ex246_semantic_mul_product_dc_seed228/logs/ex246_semantic_mul_product_dc_seed228_default.yosys.log; abc_log=student/work/ex246_ex247_frontend_source_only_round57_20260613_1105/local-fp8-source-r57/ex246/ex246_semantic_mul_product_dc_seed228/logs/ex246_ex246_semantic_mul_product_dc_seed228_default_raw.abc.log; synth_sec=0.572; abc_sec=0.000; eval_sec=0.518
ex246,float_fp8,local-fp8-source-r57,ex246_ex246_semantic_mul_product_dc_seed228_extra_share_raw,1,354,24,8496,student/work/ex246_ex247_frontend_source_only_round57_20260613_1105/local-fp8-source-r57/ex246/ex246_semantic_mul_product_dc_seed228/verilog/ex246_semantic_mul_product_dc_seed228.v,student/work/ex246_ex247_frontend_source_only_round57_20260613_1105/local-fp8-source-r57/ex246/ex246_semantic_mul_product_dc_seed228/aigs/ex246_ex246_semantic_mul_product_dc_seed228_extra_share_raw.aig,student/work/ex246_ex247_frontend_source_only_round57_20260613_1105/local-fp8-source-r57/ex246/ex246_semantic_mul_product_dc_seed228/logs/ex246_ex246_semantic_mul_product_dc_seed228_extra_share_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex246_ex247_frontend_source_only_round57_20260613_1105/local-fp8-source-r57/ex246/ex246_semantic_mul_product_dc_seed228/logs/ex246_semantic_mul_product_dc_seed228_extra_share.yosys.log; abc_log=student/work/ex246_ex247_frontend_source_only_round57_20260613_1105/local-fp8-source-r57/ex246/ex246_semantic_mul_product_dc_seed228/logs/ex246_ex246_semantic_mul_product_dc_seed228_extra_share_raw.abc.log; synth_sec=0.573; abc_sec=0.000; eval_sec=0.511
ex246,float_fp8,local-fp8-source-r57,ex246_ex246_semantic_mul_product_dc_seed228_abc_g_aig_raw,1,355,24,8520,student/work/ex246_ex247_frontend_source_only_round57_20260613_1105/local-fp8-source-r57/ex246/ex246_semantic_mul_product_dc_seed228/verilog/ex246_semantic_mul_product_dc_seed228.v,student/work/ex246_ex247_frontend_source_only_round57_20260613_1105/local-fp8-source-r57/ex246/ex246_semantic_mul_product_dc_seed228/aigs/ex246_ex246_semantic_mul_product_dc_seed228_abc_g_aig_raw.aig,student/work/ex246_ex247_frontend_source_only_round57_20260613_1105/local-fp8-source-r57/ex246/ex246_semantic_mul_product_dc_seed228/logs/ex246_ex246_semantic_mul_product_dc_seed228_abc_g_aig_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex246_ex247_frontend_source_only_round57_20260613_1105/local-fp8-source-r57/ex246/ex246_semantic_mul_product_dc_seed228/logs/ex246_semantic_mul_product_dc_seed228_abc_g_aig.yosys.log; abc_log=student/work/ex246_ex247_frontend_source_only_round57_20260613_1105/local-fp8-source-r57/ex246/ex246_semantic_mul_product_dc_seed228/logs/ex246_ex246_semantic_mul_product_dc_seed228_abc_g_aig_raw.abc.log; synth_sec=0.568; abc_sec=0.000; eval_sec=0.514
ex246,float_fp8,local-fp8-source-r57,ex246_ex246_semantic_mul_product_dc_seed228_synth_preset_raw,1,346,24,8304,student/work/ex246_ex247_frontend_source_only_round57_20260613_1105/local-fp8-source-r57/ex246/ex246_semantic_mul_product_dc_seed228/verilog/ex246_semantic_mul_product_dc_seed228.v,student/work/ex246_ex247_frontend_source_only_round57_20260613_1105/local-fp8-source-r57/ex246/ex246_semantic_mul_product_dc_seed228/aigs/ex246_ex246_semantic_mul_product_dc_seed228_synth_preset_raw.aig,student/work/ex246_ex247_frontend_source_only_round57_20260613_1105/local-fp8-source-r57/ex246/ex246_semantic_mul_product_dc_seed228/logs/ex246_ex246_semantic_mul_product_dc_seed228_synth_preset_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex246_ex247_frontend_source_only_round57_20260613_1105/local-fp8-source-r57/ex246/ex246_semantic_mul_product_dc_seed228/logs/ex246_semantic_mul_product_dc_seed228_synth_preset.yosys.log; abc_log=student/work/ex246_ex247_frontend_source_only_round57_20260613_1105/local-fp8-source-r57/ex246/ex246_semantic_mul_product_dc_seed228/logs/ex246_ex246_semantic_mul_product_dc_seed228_synth_preset_raw.abc.log; synth_sec=0.756; abc_sec=0.000; eval_sec=0.472
ex246,float_fp8,local-fp8-source-r57,ex246_ex246_semantic_mul_sigprodcode_seed12_direct_decode_default_raw,1,380,23,8740,student/work/ex246_ex247_frontend_source_only_round57_20260613_1105/local-fp8-source-r57/ex246/ex246_semantic_mul_sigprodcode_seed12_direct_decode/verilog/ex246_semantic_mul_sigprodcode_seed12_direct_decode.v,student/work/ex246_ex247_frontend_source_only_round57_20260613_1105/local-fp8-source-r57/ex246/ex246_semantic_mul_sigprodcode_seed12_direct_decode/aigs/ex246_ex246_semantic_mul_sigprodcode_seed12_direct_decode_default_raw.aig,student/work/ex246_ex247_frontend_source_only_round57_20260613_1105/local-fp8-source-r57/ex246/ex246_semantic_mul_sigprodcode_seed12_direct_decode/logs/ex246_ex246_semantic_mul_sigprodcode_seed12_direct_decode_default_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex246_ex247_frontend_source_only_round57_20260613_1105/local-fp8-source-r57/ex246/ex246_semantic_mul_sigprodcode_seed12_direct_decode/logs/ex246_semantic_mul_sigprodcode_seed12_direct_decode_default.yosys.log; abc_log=student/work/ex246_ex247_frontend_source_only_round57_20260613_1105/local-fp8-source-r57/ex246/ex246_semantic_mul_sigprodcode_seed12_direct_decode/logs/ex246_ex246_semantic_mul_sigprodcode_seed12_direct_decode_default_raw.abc.log; synth_sec=0.620; abc_sec=0.000; eval_sec=0.512
ex246,float_fp8,local-fp8-source-r57,ex246_ex246_semantic_mul_sigprodcode_seed12_direct_decode_extra_share_raw,1,375,23,8625,student/work/ex246_ex247_frontend_source_only_round57_20260613_1105/local-fp8-source-r57/ex246/ex246_semantic_mul_sigprodcode_seed12_direct_decode/verilog/ex246_semantic_mul_sigprodcode_seed12_direct_decode.v,student/work/ex246_ex247_frontend_source_only_round57_20260613_1105/local-fp8-source-r57/ex246/ex246_semantic_mul_sigprodcode_seed12_direct_decode/aigs/ex246_ex246_semantic_mul_sigprodcode_seed12_direct_decode_extra_share_raw.aig,student/work/ex246_ex247_frontend_source_only_round57_20260613_1105/local-fp8-source-r57/ex246/ex246_semantic_mul_sigprodcode_seed12_direct_decode/logs/ex246_ex246_semantic_mul_sigprodcode_seed12_direct_decode_extra_share_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex246_ex247_frontend_source_only_round57_20260613_1105/local-fp8-source-r57/ex246/ex246_semantic_mul_sigprodcode_seed12_direct_decode/logs/ex246_semantic_mul_sigprodcode_seed12_direct_decode_extra_share.yosys.log; abc_log=student/work/ex246_ex247_frontend_source_only_round57_20260613_1105/local-fp8-source-r57/ex246/ex246_semantic_mul_sigprodcode_seed12_direct_decode/logs/ex246_ex246_semantic_mul_sigprodcode_seed12_direct_decode_extra_share_raw.abc.log; synth_sec=0.560; abc_sec=0.000; eval_sec=0.526
