case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex266,ex266_udiv_bdd_interleave_msb_abc_g_aig_d8,unsigned low5_high5:a/b dbz=max,bdd_interleave_msb+abc_g_aig_d8,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex266/verilog/ex266_udiv_bdd_interleave_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex266/aigs/ex266_udiv_bdd_interleave_msb_abc_g_aig_d8.aig,1,1,1,152,14,2128,848,2.509434,0,0,0.224,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_interleave_msb; flow=abc_g_aig_d8
ex266,ex266_udiv_bdd_interleave_msb_abc_g_aig_d10,unsigned low5_high5:a/b dbz=max,bdd_interleave_msb+abc_g_aig_d10,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex266/verilog/ex266_udiv_bdd_interleave_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex266/aigs/ex266_udiv_bdd_interleave_msb_abc_g_aig_d10.aig,1,1,1,152,14,2128,848,2.509434,0,0,0.221,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_interleave_msb; flow=abc_g_aig_d10
ex266,ex266_udiv_bdd_interleave_msb_abc_g_aig_d12,unsigned low5_high5:a/b dbz=max,bdd_interleave_msb+abc_g_aig_d12,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex266/verilog/ex266_udiv_bdd_interleave_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex266/aigs/ex266_udiv_bdd_interleave_msb_abc_g_aig_d12.aig,1,1,1,152,14,2128,848,2.509434,0,0,0.220,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_interleave_msb; flow=abc_g_aig_d12
ex266,ex266_udiv_bdd_interleave_msb_synth_preset_d8,unsigned low5_high5:a/b dbz=max,bdd_interleave_msb+synth_preset_d8,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex266/verilog/ex266_udiv_bdd_interleave_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex266/aigs/ex266_udiv_bdd_interleave_msb_synth_preset_d8.aig,1,1,1,152,12,1824,848,2.150943,0,0,0.290,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_interleave_msb; flow=synth_preset_d8
ex266,ex266_udiv_bdd_interleave_msb_synth_preset_d10,unsigned low5_high5:a/b dbz=max,bdd_interleave_msb+synth_preset_d10,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex266/verilog/ex266_udiv_bdd_interleave_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex266/aigs/ex266_udiv_bdd_interleave_msb_synth_preset_d10.aig,1,1,1,152,12,1824,848,2.150943,0,0,0.291,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_interleave_msb; flow=synth_preset_d10
ex266,ex266_udiv_bdd_interleave_msb_synth_preset_d12,unsigned low5_high5:a/b dbz=max,bdd_interleave_msb+synth_preset_d12,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex266/verilog/ex266_udiv_bdd_interleave_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex266/aigs/ex266_udiv_bdd_interleave_msb_synth_preset_d12.aig,1,1,1,152,12,1824,848,2.150943,0,0,0.290,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_interleave_msb; flow=synth_preset_d12
ex266,ex266_udiv_bdd_greedy_interleave_msb_abc_g_aig_d8,unsigned low5_high5:a/b dbz=max,bdd_greedy_interleave_msb+abc_g_aig_d8,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex266/verilog/ex266_udiv_bdd_greedy_interleave_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex266/aigs/ex266_udiv_bdd_greedy_interleave_msb_abc_g_aig_d8.aig,1,1,1,157,13,2041,848,2.406840,0,0,0.221,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_greedy_interleave_msb; flow=abc_g_aig_d8
ex266,ex266_udiv_bdd_greedy_interleave_msb_abc_g_aig_d10,unsigned low5_high5:a/b dbz=max,bdd_greedy_interleave_msb+abc_g_aig_d10,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex266/verilog/ex266_udiv_bdd_greedy_interleave_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex266/aigs/ex266_udiv_bdd_greedy_interleave_msb_abc_g_aig_d10.aig,1,1,1,157,13,2041,848,2.406840,0,0,0.220,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_greedy_interleave_msb; flow=abc_g_aig_d10
ex266,ex266_udiv_bdd_greedy_interleave_msb_abc_g_aig_d12,unsigned low5_high5:a/b dbz=max,bdd_greedy_interleave_msb+abc_g_aig_d12,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex266/verilog/ex266_udiv_bdd_greedy_interleave_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex266/aigs/ex266_udiv_bdd_greedy_interleave_msb_abc_g_aig_d12.aig,1,1,1,157,13,2041,848,2.406840,0,0,0.220,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_greedy_interleave_msb; flow=abc_g_aig_d12
ex266,ex266_udiv_bdd_greedy_interleave_msb_synth_preset_d8,unsigned low5_high5:a/b dbz=max,bdd_greedy_interleave_msb+synth_preset_d8,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex266/verilog/ex266_udiv_bdd_greedy_interleave_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex266/aigs/ex266_udiv_bdd_greedy_interleave_msb_synth_preset_d8.aig,1,1,1,146,13,1898,848,2.238208,0,0,0.312,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_greedy_interleave_msb; flow=synth_preset_d8
ex266,ex266_udiv_bdd_greedy_interleave_msb_synth_preset_d10,unsigned low5_high5:a/b dbz=max,bdd_greedy_interleave_msb+synth_preset_d10,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex266/verilog/ex266_udiv_bdd_greedy_interleave_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex266/aigs/ex266_udiv_bdd_greedy_interleave_msb_synth_preset_d10.aig,1,1,1,146,13,1898,848,2.238208,0,0,0.310,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_greedy_interleave_msb; flow=synth_preset_d10
