case,candidate_id,hypothesis,variant,verilog_path,aig_path,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,notes
ex266,ex266_udiv_bdd_interleave_msb_synth_preset_d10,unsigned low5_high5:a/b dbz=max,bdd_interleave_msb+synth_preset_d10,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex266/verilog/ex266_udiv_bdd_interleave_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex266/aigs/ex266_udiv_bdd_interleave_msb_synth_preset_d10.aig,152,12,1824,848,2.150943,0,0,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_interleave_msb; flow=synth_preset_d10
ex267,ex267_udiv_bdd_greedy_interleave_msb_abc_g_aig_d10,unsigned low6_high6:a/b dbz=max,bdd_greedy_interleave_msb+abc_g_aig_d10,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex267/verilog/ex267_udiv_bdd_greedy_interleave_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex267/aigs/ex267_udiv_bdd_greedy_interleave_msb_abc_g_aig_d10.aig,329,16,5264,2651,1.985666,0,0,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=bdd_greedy_interleave_msb; flow=abc_g_aig_d10
ex269,ex269_udiv_radix4_shift_subtract_abc_g_aig_d10,unsigned low8_high8:a/b dbz=max,radix4_shift_subtract+abc_g_aig_d10,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex269/verilog/ex269_udiv_radix4_shift_subtract.v,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex269/aigs/ex269_udiv_radix4_shift_subtract_abc_g_aig_d10.aig,378,45,17010,11760,1.446429,1,0,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=radix4_shift_subtract; flow=abc_g_aig_d10
