case,degree,relation_index,term_count,relation,notes
ex286,3,0,6,y0*y9 ^ y1*y8 ^ y0*y1*y8 ^ y0*y1*y9 ^ y0*y8*y9 ^ y1*y8*y9,relation evaluates to zero on every unique output image value
ex286,3,1,6,y2*y7 ^ y3*y6 ^ y2*y3*y6 ^ y2*y3*y7 ^ y2*y6*y7 ^ y3*y6*y7,relation evaluates to zero on every unique output image value
ex286,3,2,6,y2*y11 ^ y3*y10 ^ y2*y3*y10 ^ y2*y3*y11 ^ y2*y10*y11 ^ y3*y10*y11,relation evaluates to zero on every unique output image value
ex286,3,3,6,y6*y11 ^ y7*y10 ^ y6*y7*y10 ^ y6*y7*y11 ^ y6*y10*y11 ^ y7*y10*y11,relation evaluates to zero on every unique output image value
ex287,3,0,6,y0*y3 ^ y1*y2 ^ y0*y1*y2 ^ y0*y1*y3 ^ y0*y2*y3 ^ y1*y2*y3,relation evaluates to zero on every unique output image value
ex287,3,1,6,y0*y5 ^ y1*y4 ^ y0*y1*y4 ^ y0*y1*y5 ^ y0*y4*y5 ^ y1*y4*y5,relation evaluates to zero on every unique output image value
ex287,3,2,6,y0*y7 ^ y1*y6 ^ y0*y1*y6 ^ y0*y1*y7 ^ y0*y6*y7 ^ y1*y6*y7,relation evaluates to zero on every unique output image value
ex287,3,3,6,y0*y9 ^ y1*y8 ^ y0*y1*y8 ^ y0*y1*y9 ^ y0*y8*y9 ^ y1*y8*y9,relation evaluates to zero on every unique output image value
ex287,3,4,6,y0*y11 ^ y1*y10 ^ y0*y1*y10 ^ y0*y1*y11 ^ y0*y10*y11 ^ y1*y10*y11,relation evaluates to zero on every unique output image value
ex287,3,5,6,y0*y13 ^ y1*y12 ^ y0*y1*y12 ^ y0*y1*y13 ^ y0*y12*y13 ^ y1*y12*y13,relation evaluates to zero on every unique output image value
ex287,3,6,6,y2*y5 ^ y3*y4 ^ y2*y3*y4 ^ y2*y3*y5 ^ y2*y4*y5 ^ y3*y4*y5,relation evaluates to zero on every unique output image value
ex287,3,7,6,y2*y7 ^ y3*y6 ^ y2*y3*y6 ^ y2*y3*y7 ^ y2*y6*y7 ^ y3*y6*y7,relation evaluates to zero on every unique output image value
ex287,3,8,6,y2*y9 ^ y3*y8 ^ y2*y3*y8 ^ y2*y3*y9 ^ y2*y8*y9 ^ y3*y8*y9,relation evaluates to zero on every unique output image value
ex287,3,9,6,y2*y11 ^ y3*y10 ^ y2*y3*y10 ^ y2*y3*y11 ^ y2*y10*y11 ^ y3*y10*y11,relation evaluates to zero on every unique output image value
ex287,3,10,6,y2*y13 ^ y3*y12 ^ y2*y3*y12 ^ y2*y3*y13 ^ y2*y12*y13 ^ y3*y12*y13,relation evaluates to zero on every unique output image value
ex287,3,11,6,y4*y7 ^ y5*y6 ^ y4*y5*y6 ^ y4*y5*y7 ^ y4*y6*y7 ^ y5*y6*y7,relation evaluates to zero on every unique output image value
ex287,3,12,6,y4*y9 ^ y5*y8 ^ y4*y5*y8 ^ y4*y5*y9 ^ y4*y8*y9 ^ y5*y8*y9,relation evaluates to zero on every unique output image value
ex287,3,13,6,y4*y11 ^ y5*y10 ^ y4*y5*y10 ^ y4*y5*y11 ^ y4*y10*y11 ^ y5*y10*y11,relation evaluates to zero on every unique output image value
ex287,3,14,6,y4*y13 ^ y5*y12 ^ y4*y5*y12 ^ y4*y5*y13 ^ y4*y12*y13 ^ y5*y12*y13,relation evaluates to zero on every unique output image value
ex287,3,15,6,y6*y9 ^ y7*y8 ^ y6*y7*y8 ^ y6*y7*y9 ^ y6*y8*y9 ^ y7*y8*y9,relation evaluates to zero on every unique output image value
ex287,3,16,6,y6*y11 ^ y7*y10 ^ y6*y7*y10 ^ y6*y7*y11 ^ y6*y10*y11 ^ y7*y10*y11,relation evaluates to zero on every unique output image value
ex287,3,17,6,y6*y13 ^ y7*y12 ^ y6*y7*y12 ^ y6*y7*y13 ^ y6*y12*y13 ^ y7*y12*y13,relation evaluates to zero on every unique output image value
ex287,3,18,6,y8*y11 ^ y9*y10 ^ y8*y9*y10 ^ y8*y9*y11 ^ y8*y10*y11 ^ y9*y10*y11,relation evaluates to zero on every unique output image value
ex287,3,19,6,y8*y13 ^ y9*y12 ^ y8*y9*y12 ^ y8*y9*y13 ^ y8*y12*y13 ^ y9*y12*y13,relation evaluates to zero on every unique output image value
ex288,3,0,6,y0*y9 ^ y1*y8 ^ y0*y1*y8 ^ y0*y1*y9 ^ y0*y8*y9 ^ y1*y8*y9,relation evaluates to zero on every unique output image value
ex288,3,1,6,y2*y11 ^ y3*y10 ^ y2*y3*y10 ^ y2*y3*y11 ^ y2*y10*y11 ^ y3*y10*y11,relation evaluates to zero on every unique output image value
ex288,3,2,6,y4*y13 ^ y5*y12 ^ y4*y5*y12 ^ y4*y5*y13 ^ y4*y12*y13 ^ y5*y12*y13,relation evaluates to zero on every unique output image value
ex289,3,0,6,y0*y3 ^ y1*y2 ^ y0*y1*y2 ^ y0*y1*y3 ^ y0*y2*y3 ^ y1*y2*y3,relation evaluates to zero on every unique output image value
ex289,3,1,6,y0*y5 ^ y1*y4 ^ y0*y1*y4 ^ y0*y1*y5 ^ y0*y4*y5 ^ y1*y4*y5,relation evaluates to zero on every unique output image value
ex289,3,2,6,y0*y7 ^ y1*y6 ^ y0*y1*y6 ^ y0*y1*y7 ^ y0*y6*y7 ^ y1*y6*y7,relation evaluates to zero on every unique output image value
ex289,3,3,6,y0*y9 ^ y1*y8 ^ y0*y1*y8 ^ y0*y1*y9 ^ y0*y8*y9 ^ y1*y8*y9,relation evaluates to zero on every unique output image value
ex289,3,4,6,y0*y11 ^ y1*y10 ^ y0*y1*y10 ^ y0*y1*y11 ^ y0*y10*y11 ^ y1*y10*y11,relation evaluates to zero on every unique output image value
ex289,3,5,6,y0*y13 ^ y1*y12 ^ y0*y1*y12 ^ y0*y1*y13 ^ y0*y12*y13 ^ y1*y12*y13,relation evaluates to zero on every unique output image value
ex289,3,6,6,y0*y15 ^ y1*y14 ^ y0*y1*y14 ^ y0*y1*y15 ^ y0*y14*y15 ^ y1*y14*y15,relation evaluates to zero on every unique output image value
ex289,3,7,6,y2*y5 ^ y3*y4 ^ y2*y3*y4 ^ y2*y3*y5 ^ y2*y4*y5 ^ y3*y4*y5,relation evaluates to zero on every unique output image value
ex289,3,8,6,y2*y7 ^ y3*y6 ^ y2*y3*y6 ^ y2*y3*y7 ^ y2*y6*y7 ^ y3*y6*y7,relation evaluates to zero on every unique output image value
ex289,3,9,6,y2*y9 ^ y3*y8 ^ y2*y3*y8 ^ y2*y3*y9 ^ y2*y8*y9 ^ y3*y8*y9,relation evaluates to zero on every unique output image value
ex289,3,10,6,y2*y11 ^ y3*y10 ^ y2*y3*y10 ^ y2*y3*y11 ^ y2*y10*y11 ^ y3*y10*y11,relation evaluates to zero on every unique output image value
ex289,3,11,6,y2*y13 ^ y3*y12 ^ y2*y3*y12 ^ y2*y3*y13 ^ y2*y12*y13 ^ y3*y12*y13,relation evaluates to zero on every unique output image value
ex289,3,12,6,y2*y15 ^ y3*y14 ^ y2*y3*y14 ^ y2*y3*y15 ^ y2*y14*y15 ^ y3*y14*y15,relation evaluates to zero on every unique output image value
ex289,3,13,6,y4*y7 ^ y5*y6 ^ y4*y5*y6 ^ y4*y5*y7 ^ y4*y6*y7 ^ y5*y6*y7,relation evaluates to zero on every unique output image value
ex289,3,14,6,y4*y9 ^ y5*y8 ^ y4*y5*y8 ^ y4*y5*y9 ^ y4*y8*y9 ^ y5*y8*y9,relation evaluates to zero on every unique output image value
ex289,3,15,6,y4*y11 ^ y5*y10 ^ y4*y5*y10 ^ y4*y5*y11 ^ y4*y10*y11 ^ y5*y10*y11,relation evaluates to zero on every unique output image value
ex289,3,16,6,y4*y13 ^ y5*y12 ^ y4*y5*y12 ^ y4*y5*y13 ^ y4*y12*y13 ^ y5*y12*y13,relation evaluates to zero on every unique output image value
ex289,3,17,6,y4*y15 ^ y5*y14 ^ y4*y5*y14 ^ y4*y5*y15 ^ y4*y14*y15 ^ y5*y14*y15,relation evaluates to zero on every unique output image value
ex289,3,18,6,y6*y9 ^ y7*y8 ^ y6*y7*y8 ^ y6*y7*y9 ^ y6*y8*y9 ^ y7*y8*y9,relation evaluates to zero on every unique output image value
ex289,3,19,6,y6*y11 ^ y7*y10 ^ y6*y7*y10 ^ y6*y7*y11 ^ y6*y10*y11 ^ y7*y10*y11,relation evaluates to zero on every unique output image value
