case,domain,agent_id,candidate_id,simulation_pass,log_path,notes
ex240,float_fp8,local-fp8-source-r55,ex240_ex240_gapcase_constant_shifts_default_raw,not_run,,official evaluate.py used for final verification
ex240,float_fp8,local-fp8-source-r55,ex240_ex240_gapcase_constant_shifts_extra_share_raw,not_run,,official evaluate.py used for final verification
ex240,float_fp8,local-fp8-source-r55,ex240_ex240_gapcase_constant_shifts_abc_g_aig_raw,not_run,,official evaluate.py used for final verification
ex240,float_fp8,local-fp8-source-r55,ex240_ex240_gapcase_constant_shifts_synth_preset_raw,not_run,,official evaluate.py used for final verification
ex240,float_fp8,local-fp8-source-r55,ex240_ex240_split_norm_param_tables_default_raw,not_run,,official evaluate.py used for final verification
ex240,float_fp8,local-fp8-source-r55,ex240_ex240_split_norm_param_tables_extra_share_raw,not_run,,official evaluate.py used for final verification
ex240,float_fp8,local-fp8-source-r55,ex240_ex240_split_norm_param_tables_abc_g_aig_raw,not_run,,official evaluate.py used for final verification
ex240,float_fp8,local-fp8-source-r55,ex240_ex240_split_norm_param_tables_synth_preset_raw,not_run,,official evaluate.py used for final verification
ex240,float_fp8,local-fp8-source-r55,ex240_ex240_gapcase_split_norm_default_raw,not_run,,official evaluate.py used for final verification
ex240,float_fp8,local-fp8-source-r55,ex240_ex240_gapcase_split_norm_extra_share_raw,not_run,,official evaluate.py used for final verification
ex240,float_fp8,local-fp8-source-r55,ex240_ex240_gapcase_split_norm_abc_g_aig_raw,not_run,,official evaluate.py used for final verification
ex240,float_fp8,local-fp8-source-r55,ex240_ex240_gapcase_split_norm_synth_preset_raw,not_run,,official evaluate.py used for final verification
ex244,float_fp8,local-fp8-source-r55,ex244_ex244_field_compare_decode_default_raw,not_run,,official evaluate.py used for final verification
ex244,float_fp8,local-fp8-source-r55,ex244_ex244_field_compare_decode_extra_share_raw,not_run,,official evaluate.py used for final verification
ex244,float_fp8,local-fp8-source-r55,ex244_ex244_field_compare_decode_abc_g_aig_raw,not_run,,official evaluate.py used for final verification
ex244,float_fp8,local-fp8-source-r55,ex244_ex244_field_compare_decode_synth_preset_raw,not_run,,official evaluate.py used for final verification
ex244,float_fp8,local-fp8-source-r55,ex244_ex244_smallgap_key_gated_default_raw,not_run,,official evaluate.py used for final verification
ex244,float_fp8,local-fp8-source-r55,ex244_ex244_smallgap_key_gated_extra_share_raw,not_run,,official evaluate.py used for final verification
ex244,float_fp8,local-fp8-source-r55,ex244_ex244_smallgap_key_gated_abc_g_aig_raw,not_run,,official evaluate.py used for final verification
ex244,float_fp8,local-fp8-source-r55,ex244_ex244_smallgap_key_gated_synth_preset_raw,not_run,,official evaluate.py used for final verification
ex244,float_fp8,local-fp8-source-r55,ex244_ex244_case_increment_tail_default_raw,not_run,,official evaluate.py used for final verification
ex244,float_fp8,local-fp8-source-r55,ex244_ex244_case_increment_tail_extra_share_raw,not_run,,official evaluate.py used for final verification
ex244,float_fp8,local-fp8-source-r55,ex244_ex244_case_increment_tail_abc_g_aig_raw,not_run,,official evaluate.py used for final verification
ex244,float_fp8,local-fp8-source-r55,ex244_ex244_case_increment_tail_synth_preset_raw,not_run,,official evaluate.py used for final verification
ex244,float_fp8,local-fp8-source-r55,ex244_ex244_field_compare_key_gated_default_raw,not_run,,official evaluate.py used for final verification
ex244,float_fp8,local-fp8-source-r55,ex244_ex244_field_compare_key_gated_extra_share_raw,not_run,,official evaluate.py used for final verification
ex244,float_fp8,local-fp8-source-r55,ex244_ex244_field_compare_key_gated_abc_g_aig_raw,not_run,,official evaluate.py used for final verification
ex244,float_fp8,local-fp8-source-r55,ex244_ex244_field_compare_key_gated_synth_preset_raw,not_run,,official evaluate.py used for final verification
ex244,float_fp8,local-fp8-source-r55,ex244_ex244_field_compare_case_increment_default_raw,not_run,,official evaluate.py used for final verification
ex244,float_fp8,local-fp8-source-r55,ex244_ex244_field_compare_case_increment_extra_share_raw,not_run,,official evaluate.py used for final verification
ex244,float_fp8,local-fp8-source-r55,ex244_ex244_field_compare_case_increment_abc_g_aig_raw,not_run,,official evaluate.py used for final verification
ex244,float_fp8,local-fp8-source-r55,ex244_ex244_field_compare_case_increment_synth_preset_raw,not_run,,official evaluate.py used for final verification
ex244,float_fp8,local-fp8-source-r55,ex244_ex244_field_key_gated_case_increment_default_raw,not_run,,official evaluate.py used for final verification
ex244,float_fp8,local-fp8-source-r55,ex244_ex244_field_key_gated_case_increment_extra_share_raw,not_run,,official evaluate.py used for final verification
ex244,float_fp8,local-fp8-source-r55,ex244_ex244_field_key_gated_case_increment_abc_g_aig_raw,not_run,,official evaluate.py used for final verification
ex244,float_fp8,local-fp8-source-r55,ex244_ex244_field_key_gated_case_increment_synth_preset_raw,not_run,,official evaluate.py used for final verification
