case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex256,ex256_umul_dadda_bits_abc_g_aig,unsigned low5_high5:a*b,dadda_bits+abc_g_aig,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex256/verilog/ex256_umul_dadda_bits.v,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex256/aigs/ex256_umul_dadda_bits_abc_g_aig.aig,1,1,1,157,23,3611,1911,1.889587,0,0,0.211,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=dadda_bits; flow=abc_g_aig
ex256,ex256_umul_dadda_bits_synth_preset,unsigned low5_high5:a*b,dadda_bits+synth_preset,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex256/verilog/ex256_umul_dadda_bits.v,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex256/aigs/ex256_umul_dadda_bits_synth_preset.aig,1,1,1,155,23,3565,1911,1.865515,0,0,0.279,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=dadda_bits; flow=synth_preset
ex256,ex256_umul_dadda_bits_abc_g_aig_d20,unsigned low5_high5:a*b,dadda_bits+abc_g_aig_d20,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex256/verilog/ex256_umul_dadda_bits.v,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex256/aigs/ex256_umul_dadda_bits_abc_g_aig_d20.aig,1,1,1,157,23,3611,1911,1.889587,0,0,0.210,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=dadda_bits; flow=abc_g_aig_d20
ex256,ex256_umul_dadda_bits_synth_preset_d20,unsigned low5_high5:a*b,dadda_bits+synth_preset_d20,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex256/verilog/ex256_umul_dadda_bits.v,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex256/aigs/ex256_umul_dadda_bits_synth_preset_d20.aig,1,1,1,155,23,3565,1911,1.865515,0,0,0.302,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=dadda_bits; flow=synth_preset_d20
ex256,ex256_umul_dadda_bits_prefix_default,unsigned low5_high5:a*b,dadda_bits_prefix+default,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex256/verilog/ex256_umul_dadda_bits_prefix.v,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex256/aigs/ex256_umul_dadda_bits_prefix_default.aig,1,1,1,204,22,4488,1911,2.348509,0,0,0.244,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=dadda_bits_prefix; flow=default
ex256,ex256_umul_dadda_bits_prefix_abc_g_aig,unsigned low5_high5:a*b,dadda_bits_prefix+abc_g_aig,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex256/verilog/ex256_umul_dadda_bits_prefix.v,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex256/aigs/ex256_umul_dadda_bits_prefix_abc_g_aig.aig,1,1,1,168,22,3696,1911,1.934066,0,0,0.214,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=dadda_bits_prefix; flow=abc_g_aig
ex256,ex256_umul_dadda_bits_prefix_synth_preset,unsigned low5_high5:a*b,dadda_bits_prefix+synth_preset,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex256/verilog/ex256_umul_dadda_bits_prefix.v,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex256/aigs/ex256_umul_dadda_bits_prefix_synth_preset.aig,1,1,1,166,21,3486,1911,1.824176,0,0,0.323,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=dadda_bits_prefix; flow=synth_preset
ex256,ex256_umul_dadda_bits_prefix_abc_g_aig_d20,unsigned low5_high5:a*b,dadda_bits_prefix+abc_g_aig_d20,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex256/verilog/ex256_umul_dadda_bits_prefix.v,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex256/aigs/ex256_umul_dadda_bits_prefix_abc_g_aig_d20.aig,1,1,1,168,22,3696,1911,1.934066,0,0,0.213,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=dadda_bits_prefix; flow=abc_g_aig_d20
ex256,ex256_umul_dadda_bits_prefix_synth_preset_d20,unsigned low5_high5:a*b,dadda_bits_prefix+synth_preset_d20,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex256/verilog/ex256_umul_dadda_bits_prefix.v,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex256/aigs/ex256_umul_dadda_bits_prefix_synth_preset_d20.aig,1,1,1,166,21,3486,1911,1.824176,0,0,0.289,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=dadda_bits_prefix; flow=synth_preset_d20
ex257,ex257_umul_dadda_bits_default,unsigned low6_high6:a*b,dadda_bits+default,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex257/verilog/ex257_umul_dadda_bits.v,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex257/aigs/ex257_umul_dadda_bits_default.aig,1,1,1,308,31,9548,3952,2.415992,0,0,0.273,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=dadda_bits; flow=default
