case,candidate_id,hypothesis,variant,verilog_path,aig_path,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,notes
ex255,ex255_umul_dadda_bits_prefix_synth_preset,unsigned low4_high4:a*b,dadda_bits_prefix+synth_preset,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex255/verilog/ex255_umul_dadda_bits_prefix.v,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex255/aigs/ex255_umul_dadda_bits_prefix_synth_preset.aig,93,14,1302,836,1.557416,0,0,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=dadda_bits_prefix; flow=synth_preset
ex256,ex256_umul_dadda_bits_prefix_synth_preset,unsigned low5_high5:a*b,dadda_bits_prefix+synth_preset,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex256/verilog/ex256_umul_dadda_bits_prefix.v,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex256/aigs/ex256_umul_dadda_bits_prefix_synth_preset.aig,166,21,3486,1911,1.824176,0,0,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=dadda_bits_prefix; flow=synth_preset
ex257,ex257_umul_dadda_bits_prefix_synth_preset,unsigned low6_high6:a*b,dadda_bits_prefix+synth_preset,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex257/verilog/ex257_umul_dadda_bits_prefix.v,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex257/aigs/ex257_umul_dadda_bits_prefix_synth_preset.aig,274,27,7398,3952,1.871964,0,0,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=dadda_bits_prefix; flow=synth_preset
