case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex255,ex255_umul_dadda_bits_default,1,106,16,1696,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex255/aigs/ex255_umul_dadda_bits_default.aig,exact unsigned low4 * high4 over 256 inputs; source=dadda_bits; flow=default
ex255,ex255_umul_dadda_bits_abc_g_aig,1,90,16,1440,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex255/aigs/ex255_umul_dadda_bits_abc_g_aig.aig,exact unsigned low4 * high4 over 256 inputs; source=dadda_bits; flow=abc_g_aig
ex255,ex255_umul_dadda_bits_synth_preset,1,89,16,1424,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex255/aigs/ex255_umul_dadda_bits_synth_preset.aig,exact unsigned low4 * high4 over 256 inputs; source=dadda_bits; flow=synth_preset
ex255,ex255_umul_dadda_bits_abc_g_aig_d20,1,90,16,1440,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex255/aigs/ex255_umul_dadda_bits_abc_g_aig_d20.aig,exact unsigned low4 * high4 over 256 inputs; source=dadda_bits; flow=abc_g_aig_d20
ex255,ex255_umul_dadda_bits_synth_preset_d20,1,89,16,1424,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex255/aigs/ex255_umul_dadda_bits_synth_preset_d20.aig,exact unsigned low4 * high4 over 256 inputs; source=dadda_bits; flow=synth_preset_d20
ex255,ex255_umul_dadda_bits_prefix_default,1,108,14,1512,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex255/aigs/ex255_umul_dadda_bits_prefix_default.aig,exact unsigned low4 * high4 over 256 inputs; source=dadda_bits_prefix; flow=default
ex255,ex255_umul_dadda_bits_prefix_abc_g_aig,1,95,14,1330,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex255/aigs/ex255_umul_dadda_bits_prefix_abc_g_aig.aig,exact unsigned low4 * high4 over 256 inputs; source=dadda_bits_prefix; flow=abc_g_aig
ex255,ex255_umul_dadda_bits_prefix_synth_preset,1,93,14,1302,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex255/aigs/ex255_umul_dadda_bits_prefix_synth_preset.aig,exact unsigned low4 * high4 over 256 inputs; source=dadda_bits_prefix; flow=synth_preset
ex255,ex255_umul_dadda_bits_prefix_abc_g_aig_d20,1,95,14,1330,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex255/aigs/ex255_umul_dadda_bits_prefix_abc_g_aig_d20.aig,exact unsigned low4 * high4 over 256 inputs; source=dadda_bits_prefix; flow=abc_g_aig_d20
ex255,ex255_umul_dadda_bits_prefix_synth_preset_d20,1,93,14,1302,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex255/aigs/ex255_umul_dadda_bits_prefix_synth_preset_d20.aig,exact unsigned low4 * high4 over 256 inputs; source=dadda_bits_prefix; flow=synth_preset_d20
ex256,ex256_umul_dadda_bits_default,1,188,23,4324,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex256/aigs/ex256_umul_dadda_bits_default.aig,exact unsigned low5 * high5 over 1024 inputs; source=dadda_bits; flow=default
ex256,ex256_umul_dadda_bits_abc_g_aig,1,157,23,3611,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex256/aigs/ex256_umul_dadda_bits_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; source=dadda_bits; flow=abc_g_aig
ex256,ex256_umul_dadda_bits_synth_preset,1,155,23,3565,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex256/aigs/ex256_umul_dadda_bits_synth_preset.aig,exact unsigned low5 * high5 over 1024 inputs; source=dadda_bits; flow=synth_preset
ex256,ex256_umul_dadda_bits_abc_g_aig_d20,1,157,23,3611,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex256/aigs/ex256_umul_dadda_bits_abc_g_aig_d20.aig,exact unsigned low5 * high5 over 1024 inputs; source=dadda_bits; flow=abc_g_aig_d20
ex256,ex256_umul_dadda_bits_synth_preset_d20,1,155,23,3565,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex256/aigs/ex256_umul_dadda_bits_synth_preset_d20.aig,exact unsigned low5 * high5 over 1024 inputs; source=dadda_bits; flow=synth_preset_d20
ex256,ex256_umul_dadda_bits_prefix_default,1,204,22,4488,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex256/aigs/ex256_umul_dadda_bits_prefix_default.aig,exact unsigned low5 * high5 over 1024 inputs; source=dadda_bits_prefix; flow=default
ex256,ex256_umul_dadda_bits_prefix_abc_g_aig,1,168,22,3696,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex256/aigs/ex256_umul_dadda_bits_prefix_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; source=dadda_bits_prefix; flow=abc_g_aig
ex256,ex256_umul_dadda_bits_prefix_synth_preset,1,166,21,3486,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex256/aigs/ex256_umul_dadda_bits_prefix_synth_preset.aig,exact unsigned low5 * high5 over 1024 inputs; source=dadda_bits_prefix; flow=synth_preset
ex256,ex256_umul_dadda_bits_prefix_abc_g_aig_d20,1,168,22,3696,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex256/aigs/ex256_umul_dadda_bits_prefix_abc_g_aig_d20.aig,exact unsigned low5 * high5 over 1024 inputs; source=dadda_bits_prefix; flow=abc_g_aig_d20
ex256,ex256_umul_dadda_bits_prefix_synth_preset_d20,1,166,21,3486,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex256/aigs/ex256_umul_dadda_bits_prefix_synth_preset_d20.aig,exact unsigned low5 * high5 over 1024 inputs; source=dadda_bits_prefix; flow=synth_preset_d20
