case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex266,ex266_udiv_lz_threshold_low2_case_abc_g_aig,unsigned low5_high5:a/b dbz=max,lz_threshold_low2_case+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex266/verilog/ex266_udiv_lz_threshold_low2_case.v,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex266/aigs/ex266_udiv_lz_threshold_low2_case_abc_g_aig.aig,1,1,1,219,19,4161,848,4.906840,0,0,0.410,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=lz_threshold_low2_case; flow=abc_g_aig
ex266,ex266_udiv_lz_threshold_low2_case_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,lz_threshold_low2_case+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex266/verilog/ex266_udiv_lz_threshold_low2_case.v,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex266/aigs/ex266_udiv_lz_threshold_low2_case_wreduce_abc_g_aig.aig,1,1,1,221,19,4199,848,4.951651,0,0,0.375,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=lz_threshold_low2_case; flow=wreduce_abc_g_aig
ex266,ex266_udiv_lz_threshold_low2_case_synth_preset,unsigned low5_high5:a/b dbz=max,lz_threshold_low2_case+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex266/verilog/ex266_udiv_lz_threshold_low2_case.v,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex266/aigs/ex266_udiv_lz_threshold_low2_case_synth_preset.aig,1,1,1,208,17,3536,848,4.169811,0,0,0.469,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=lz_threshold_low2_case; flow=synth_preset
ex266,ex266_udiv_lz_threshold_low3_case_abc_g_aig,unsigned low5_high5:a/b dbz=max,lz_threshold_low3_case+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex266/verilog/ex266_udiv_lz_threshold_low3_case.v,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex266/aigs/ex266_udiv_lz_threshold_low3_case_abc_g_aig.aig,1,1,1,173,12,2076,848,2.448113,0,0,0.483,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=lz_threshold_low3_case; flow=abc_g_aig
ex266,ex266_udiv_lz_threshold_low3_case_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,lz_threshold_low3_case+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex266/verilog/ex266_udiv_lz_threshold_low3_case.v,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex266/aigs/ex266_udiv_lz_threshold_low3_case_wreduce_abc_g_aig.aig,1,1,1,183,13,2379,848,2.805425,0,0,0.477,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=lz_threshold_low3_case; flow=wreduce_abc_g_aig
ex266,ex266_udiv_lz_threshold_low3_case_synth_preset,unsigned low5_high5:a/b dbz=max,lz_threshold_low3_case+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex266/verilog/ex266_udiv_lz_threshold_low3_case.v,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex266/aigs/ex266_udiv_lz_threshold_low3_case_synth_preset.aig,1,1,1,155,34,5270,848,6.214623,0,0,0.407,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=lz_threshold_low3_case; flow=synth_preset
ex266,ex266_udiv_lz_threshold_low4_case_abc_g_aig,unsigned low5_high5:a/b dbz=max,lz_threshold_low4_case+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex266/verilog/ex266_udiv_lz_threshold_low4_case.v,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex266/aigs/ex266_udiv_lz_threshold_low4_case_abc_g_aig.aig,1,1,1,207,12,2484,848,2.929245,0,0,0.847,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=lz_threshold_low4_case; flow=abc_g_aig
ex266,ex266_udiv_lz_threshold_low4_case_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,lz_threshold_low4_case+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex266/verilog/ex266_udiv_lz_threshold_low4_case.v,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex266/aigs/ex266_udiv_lz_threshold_low4_case_wreduce_abc_g_aig.aig,1,1,1,204,12,2448,848,2.886792,0,0,0.845,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=lz_threshold_low4_case; flow=wreduce_abc_g_aig
ex266,ex266_udiv_lz_threshold_low4_case_synth_preset,unsigned low5_high5:a/b dbz=max,lz_threshold_low4_case+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex266/verilog/ex266_udiv_lz_threshold_low4_case.v,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex266/aigs/ex266_udiv_lz_threshold_low4_case_synth_preset.aig,1,1,1,159,36,5724,848,6.750000,0,0,0.420,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=lz_threshold_low4_case; flow=synth_preset
ex267,ex267_udiv_lz_threshold_low2_case_abc_g_aig,unsigned low6_high6:a/b dbz=max,lz_threshold_low2_case+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex267/verilog/ex267_udiv_lz_threshold_low2_case.v,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex267/aigs/ex267_udiv_lz_threshold_low2_case_abc_g_aig.aig,1,1,1,596,36,21456,2651,8.093550,0,0,0.726,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=lz_threshold_low2_case; flow=abc_g_aig
ex267,ex267_udiv_lz_threshold_low2_case_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,lz_threshold_low2_case+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex267/verilog/ex267_udiv_lz_threshold_low2_case.v,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex267/aigs/ex267_udiv_lz_threshold_low2_case_wreduce_abc_g_aig.aig,1,1,1,597,35,20895,2651,7.881931,0,0,0.577,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=lz_threshold_low2_case; flow=wreduce_abc_g_aig
