case,candidate_id,hypothesis,variant,verilog_path,aig_path,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,notes
ex266,ex266_udiv_lz_threshold_low3_case_abc_g_aig,unsigned low5_high5:a/b dbz=max,lz_threshold_low3_case+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex266/verilog/ex266_udiv_lz_threshold_low3_case.v,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex266/aigs/ex266_udiv_lz_threshold_low3_case_abc_g_aig.aig,173,12,2076,848,2.448113,0,0,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=lz_threshold_low3_case; flow=abc_g_aig
ex267,ex267_udiv_lz_threshold_low4_case_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,lz_threshold_low4_case+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex267/verilog/ex267_udiv_lz_threshold_low4_case.v,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex267/aigs/ex267_udiv_lz_threshold_low4_case_wreduce_abc_g_aig.aig,395,18,7110,2651,2.682007,0,0,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=lz_threshold_low4_case; flow=wreduce_abc_g_aig
ex269,ex269_udiv_lz_threshold_low4_case_wreduce_abc_g_aig,unsigned low8_high8:a/b dbz=max,lz_threshold_low4_case+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex269/verilog/ex269_udiv_lz_threshold_low4_case.v,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex269/aigs/ex269_udiv_lz_threshold_low4_case_wreduce_abc_g_aig.aig,1305,32,41760,11760,3.551020,0,0,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=lz_threshold_low4_case; flow=wreduce_abc_g_aig
