case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex275,ex275_isqrt_prefix3_bitwise_oh_abc_g_aig,unsigned_floor_isqrt,prefix3_bitwise_oh+abc_g_aig,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/verilog/ex275_isqrt_prefix3_bitwise_oh.v,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/aigs/ex275_isqrt_prefix3_bitwise_oh_abc_g_aig.aig,1,1,1,46,8,368,204,1.803922,0,0,0.203,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix3_bitwise_oh; flow=abc_g_aig
ex275,ex275_isqrt_prefix3_bitwise_oh_wreduce_abc_g_aig,unsigned_floor_isqrt,prefix3_bitwise_oh+wreduce_abc_g_aig,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/verilog/ex275_isqrt_prefix3_bitwise_oh.v,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/aigs/ex275_isqrt_prefix3_bitwise_oh_wreduce_abc_g_aig.aig,1,1,1,46,8,368,204,1.803922,0,0,0.209,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix3_bitwise_oh; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_prefix3_bitwise_oh_arith_wreduce_aig,unsigned_floor_isqrt,prefix3_bitwise_oh+arith_wreduce_aig,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/verilog/ex275_isqrt_prefix3_bitwise_oh.v,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/aigs/ex275_isqrt_prefix3_bitwise_oh_arith_wreduce_aig.aig,1,1,1,46,8,368,204,1.803922,0,0,0.208,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix3_bitwise_oh; flow=arith_wreduce_aig
ex275,ex275_isqrt_prefix3_bitwise_oh_synth_preset,unsigned_floor_isqrt,prefix3_bitwise_oh+synth_preset,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/verilog/ex275_isqrt_prefix3_bitwise_oh.v,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/aigs/ex275_isqrt_prefix3_bitwise_oh_synth_preset.aig,1,1,1,43,8,344,204,1.686275,0,0,0.272,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix3_bitwise_oh; flow=synth_preset
ex275,ex275_isqrt_prefix3_bitwise_oh_synth_preset_d6,unsigned_floor_isqrt,prefix3_bitwise_oh+synth_preset_d6,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/verilog/ex275_isqrt_prefix3_bitwise_oh.v,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/aigs/ex275_isqrt_prefix3_bitwise_oh_synth_preset_d6.aig,1,1,1,43,8,344,204,1.686275,0,0,0.273,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix3_bitwise_oh; flow=synth_preset_d6
ex275,ex275_isqrt_prefix3_bitwise_oh_synth_preset_d8,unsigned_floor_isqrt,prefix3_bitwise_oh+synth_preset_d8,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/verilog/ex275_isqrt_prefix3_bitwise_oh.v,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/aigs/ex275_isqrt_prefix3_bitwise_oh_synth_preset_d8.aig,1,1,1,43,8,344,204,1.686275,0,0,0.284,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix3_bitwise_oh; flow=synth_preset_d8
ex275,ex275_isqrt_prefix3_bitwise_oh_synth_preset_d10,unsigned_floor_isqrt,prefix3_bitwise_oh+synth_preset_d10,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/verilog/ex275_isqrt_prefix3_bitwise_oh.v,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/aigs/ex275_isqrt_prefix3_bitwise_oh_synth_preset_d10.aig,1,1,1,43,8,344,204,1.686275,0,0,0.275,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix3_bitwise_oh; flow=synth_preset_d10
ex275,ex275_isqrt_prefix4_bitwise_oh_abc_g_aig,unsigned_floor_isqrt,prefix4_bitwise_oh+abc_g_aig,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/verilog/ex275_isqrt_prefix4_bitwise_oh.v,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/aigs/ex275_isqrt_prefix4_bitwise_oh_abc_g_aig.aig,1,1,1,50,8,400,204,1.960784,0,0,0.196,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_bitwise_oh; flow=abc_g_aig
ex275,ex275_isqrt_prefix4_bitwise_oh_wreduce_abc_g_aig,unsigned_floor_isqrt,prefix4_bitwise_oh+wreduce_abc_g_aig,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/verilog/ex275_isqrt_prefix4_bitwise_oh.v,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/aigs/ex275_isqrt_prefix4_bitwise_oh_wreduce_abc_g_aig.aig,1,1,1,50,8,400,204,1.960784,0,0,0.201,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_bitwise_oh; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_prefix4_bitwise_oh_arith_wreduce_aig,unsigned_floor_isqrt,prefix4_bitwise_oh+arith_wreduce_aig,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/verilog/ex275_isqrt_prefix4_bitwise_oh.v,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/aigs/ex275_isqrt_prefix4_bitwise_oh_arith_wreduce_aig.aig,1,1,1,50,7,350,204,1.715686,0,0,0.204,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_bitwise_oh; flow=arith_wreduce_aig
ex275,ex275_isqrt_prefix4_bitwise_oh_synth_preset,unsigned_floor_isqrt,prefix4_bitwise_oh+synth_preset,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/verilog/ex275_isqrt_prefix4_bitwise_oh.v,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/aigs/ex275_isqrt_prefix4_bitwise_oh_synth_preset.aig,1,1,1,49,7,343,204,1.681373,0,0,0.261,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_bitwise_oh; flow=synth_preset
