case,candidate_id,hypothesis,variant,verilog_path,aig_path,area,delay,adp,items,notes
ex280,ex280_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_simplified_grouped_deg2,unknown_muxcoord_anf,prefix_parity_reduce_full_clamp_simplified_grouped_deg2,student/work/ex280_ex284_frontend_muxcoord_simplified_20260609_0142/ex280/verilog/ex280_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_simplified_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_simplified_20260609_0142/ex280/aigs/ex280_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_simplified_grouped_deg2.aig,217,29,6293,transform=prefix_parity_reduce; coord_mode=full_clamp_simplified; emit_style=grouped; xor_style=prefix; group_style=high; degree=2; coord_width=17; features=154; ok_bits=0:1:2:3:4:5:6:7:8:9:10:11; inconsistent=0x0; grouped_ands=47; linear_xors=10; group_orientations=high:12:low:0; term_counts=1:3:5:7:9:11:13:19:20:24:22:22; hash=8676c0f8d17a,unknown mux-coordinate ANF Verilog seed
ex281,ex281_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_simplified_grouped_deg2,unknown_muxcoord_anf,prefix_parity_reduce_full_clamp_simplified_grouped_deg2,student/work/ex280_ex284_frontend_muxcoord_simplified_20260609_0142/ex281/verilog/ex281_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_simplified_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_simplified_20260609_0142/ex281/aigs/ex281_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_simplified_grouped_deg2.aig,234,30,7020,transform=prefix_parity_reduce; coord_mode=full_clamp_simplified; emit_style=grouped; xor_style=prefix; group_style=high; degree=2; coord_width=18; features=172; ok_bits=0:1:2:3:4:5:6:7:8:9:10:11:12; inconsistent=0x0; grouped_ands=51; linear_xors=10; group_orientations=high:13:low:0; term_counts=1:3:5:7:9:11:13:15:21:22:26:24:24; hash=2495e938b624,unknown mux-coordinate ANF Verilog seed
ex282,ex282_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_simplified_grouped_deg2,unknown_muxcoord_anf,prefix_parity_reduce_full_clamp_simplified_grouped_deg2,student/work/ex280_ex284_frontend_muxcoord_simplified_20260609_0142/ex282/verilog/ex282_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_simplified_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_simplified_20260609_0142/ex282/aigs/ex282_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_simplified_grouped_deg2.aig,260,33,8580,transform=prefix_parity_reduce; coord_mode=full_clamp_simplified; emit_style=grouped; xor_style=prefix; group_style=high; degree=2; coord_width=19; features=191; ok_bits=0:1:2:3:4:5:6:7:8:9:10:11:12:13; inconsistent=0x0; grouped_ands=55; linear_xors=10; group_orientations=high:14:low:0; term_counts=1:3:5:7:9:11:13:15:17:23:24:28:26:26; hash=ec3f9b8886f8,unknown mux-coordinate ANF Verilog seed
ex283,ex283_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_simplified_grouped_deg2,unknown_muxcoord_anf,prefix_parity_reduce_full_clamp_simplified_grouped_deg2,student/work/ex280_ex284_frontend_muxcoord_simplified_20260609_0142/ex283/verilog/ex283_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_simplified_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_simplified_20260609_0142/ex283/aigs/ex283_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_simplified_grouped_deg2.aig,260,35,9100,transform=prefix_parity_reduce; coord_mode=full_clamp_simplified; emit_style=grouped; xor_style=prefix; group_style=high; degree=2; coord_width=20; features=211; ok_bits=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14; inconsistent=0x0; grouped_ands=59; linear_xors=10; group_orientations=high:15:low:0; term_counts=1:3:5:7:9:11:13:15:17:19:25:26:30:28:28; hash=a2d4c3c25a79,unknown mux-coordinate ANF Verilog seed
ex284,ex284_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_simplified_grouped_deg2,unknown_muxcoord_anf,prefix_parity_reduce_full_clamp_simplified_grouped_deg2,student/work/ex280_ex284_frontend_muxcoord_simplified_20260609_0142/ex284/verilog/ex284_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_simplified_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_simplified_20260609_0142/ex284/aigs/ex284_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_simplified_grouped_deg2.aig,309,37,11433,transform=prefix_parity_reduce; coord_mode=full_clamp_simplified; emit_style=grouped; xor_style=prefix; group_style=high; degree=2; coord_width=21; features=232; ok_bits=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15; inconsistent=0x0; grouped_ands=63; linear_xors=10; group_orientations=high:16:low:0; term_counts=1:3:5:7:9:11:13:15:17:19:21:27:28:32:30:30; hash=546c75ac9015,unknown mux-coordinate ANF Verilog seed
