case,input_width,output_width,target_degree,high_coeff_rows,high_coeff_rank,low_degree_nullity,basis_masks,basis_term_counts,basis_actual_degrees,nonzero_coeffs_by_degree,notes
ex286,13,13,5,2070,8,5,0x1e1:0x222:0x444:0x888:0x10f0,165:95:67:85:133,5:4:4:4:5,d1:13;d2:66;d3:183;d4:330;d5:472;d6:580;d7:607;d8:500;d9:261;d10:92;d11:24;d12:5;d13:1,dimension of output-linear coordinates with ANF degree <= target_degree
ex286,13,13,6,1490,7,6,0x141:0x282:0x444:0x888:0x1050:0xa0,221:209:67:85:185:140,6:6:4:4:6:6,d1:13;d2:66;d3:183;d4:330;d5:472;d6:580;d7:607;d8:500;d9:261;d10:92;d11:24;d12:5;d13:1,dimension of output-linear coordinates with ANF degree <= target_degree
ex286,13,13,7,883,6,7,0x181:0x282:0x484:0x888:0x1090:0xa0:0xc0,333:209:195:85:301:140:148,7:6:7:4:7:6:7,d1:13;d2:66;d3:183;d4:330;d5:472;d6:580;d7:607;d8:500;d9:261;d10:92;d11:24;d12:5;d13:1,dimension of output-linear coordinates with ANF degree <= target_degree
ex286,13,13,8,383,5,8,0x101:0x202:0x404:0x808:0x1010:0x20:0x40:0x80,378:382:326:330:346:337:287:281,8:8:8:8:8:8:8:8,d1:13;d2:66;d3:183;d4:330;d5:472;d6:580;d7:607;d8:500;d9:261;d10:92;d11:24;d12:5;d13:1,dimension of output-linear coordinates with ANF degree <= target_degree
ex287,14,14,5,3990,9,5,0x21e1:0x2222:0x444:0x888:0x30f0,168:102:71:91:124,5:4:4:4:5,d1:14;d2:74;d3:208;d4:384;d5:582;d6:804;d7:923;d8:867;d9:680;d10:427;d11:208;d12:66;d13:14;d14:1,dimension of output-linear coordinates with ANF degree <= target_degree
ex287,14,14,6,3186,8,6,0x141:0x282:0x444:0x888:0x1050:0x20a0,247:283:71:91:217:243,6:6:4:4:6:6,d1:14;d2:74;d3:208;d4:384;d5:582;d6:804;d7:923;d8:867;d9:680;d10:427;d11:208;d12:66;d13:14;d14:1,dimension of output-linear coordinates with ANF degree <= target_degree
ex287,14,14,7,2263,7,7,0x181:0x282:0x484:0x888:0x1090:0x20a0:0xc0,363:283:205:91:339:243:148,7:6:7:4:7:6:7,d1:14;d2:74;d3:208;d4:384;d5:582;d6:804;d7:923;d8:867;d9:680;d10:427;d11:208;d12:66;d13:14;d14:1,dimension of output-linear coordinates with ANF degree <= target_degree
ex287,14,14,8,1396,6,8,0x101:0x202:0x404:0x808:0x1010:0x2020:0x40:0x80,416:454:330:338:394:424:287:281,8:8:8:8:8:8:8:8,d1:14;d2:74;d3:208;d4:384;d5:582;d6:804;d7:923;d8:867;d9:680;d10:427;d11:208;d12:66;d13:14;d14:1,dimension of output-linear coordinates with ANF degree <= target_degree
ex288,15,15,5,8721,10,5,0x61e1:0x2222:0x4444:0x888:0x70f0,275:114:88:99:235,5:4:4:4:5,d1:15;d2:83;d3:249;d4:511;d5:913;d6:1388;d7:1786;d8:1885;d9:1646;d10:1133;d11:580;d12:227;d13:64;d14:11;d15:1,dimension of output-linear coordinates with ANF degree <= target_degree
ex288,15,15,6,7333,9,6,0x4141:0x282:0x4444:0x888:0x5050:0x20a0,278:283:88:99:222:251,6:6:4:4:6:6,d1:15;d2:83;d3:249;d4:511;d5:913;d6:1388;d7:1786;d8:1885;d9:1646;d10:1133;d11:580;d12:227;d13:64;d14:11;d15:1,dimension of output-linear coordinates with ANF degree <= target_degree
ex288,15,15,7,5547,8,7,0x181:0x282:0x484:0x888:0x1090:0x20a0:0x40c0,497:283:371:99:471:251:359,7:6:7:4:7:6:7,d1:15;d2:83;d3:249;d4:511;d5:913;d6:1388;d7:1786;d8:1885;d9:1646;d10:1133;d11:580;d12:227;d13:64;d14:11;d15:1,dimension of output-linear coordinates with ANF degree <= target_degree
ex288,15,15,8,3662,7,8,0x101:0x202:0x404:0x808:0x1010:0x2020:0x4040:0x80,542:452:486:346:528:438:486:281,8:8:8:8:8:8:8:8,d1:15;d2:83;d3:249;d4:511;d5:913;d6:1388;d7:1786;d8:1885;d9:1646;d10:1133;d11:580;d12:227;d13:64;d14:11;d15:1,dimension of output-linear coordinates with ANF degree <= target_degree
ex289,16,16,5,13358,11,5,0xe1e1:0x2222:0x4444:0x8888:0xf0f0,212:154:98:132:132,5:4:4:4:5,d1:16;d2:96;d3:284;d4:529;d5:874;d6:1478;d7:2101;d8:2534;d9:2533;d10:2149;d11:1410;d12:752;d13:296;d14:88;d15:16;d16:1,dimension of output-linear coordinates with ANF degree <= target_degree
ex289,16,16,6,11880,10,6,0x4141:0x8282:0x4444:0x8888:0x5050:0xa0a0,322:372:98:132:250:276,6:6:4:4:6:6,d1:16;d2:96;d3:284;d4:529;d5:874;d6:1478;d7:2101;d8:2534;d9:2533;d10:2149;d11:1410;d12:752;d13:296;d14:88;d15:16;d16:1,dimension of output-linear coordinates with ANF degree <= target_degree
ex289,16,16,7,9779,9,7,0x8181:0x8282:0x8484:0x8888:0x9090:0xa0a0:0xc0c0,550:372:354:132:482:276:296,7:6:7:4:7:6:7,d1:16;d2:96;d3:284;d4:529;d5:874;d6:1478;d7:2101;d8:2534;d9:2533;d10:2149;d11:1410;d12:752;d13:296;d14:88;d15:16;d16:1,dimension of output-linear coordinates with ANF degree <= target_degree
ex289,16,16,8,7245,8,8,0x101:0x202:0x404:0x808:0x1010:0x2020:0x4040:0x8080,624:704:544:606:612:686:534:596,8:8:8:8:8:8:8:8,d1:16;d2:96;d3:284;d4:529;d5:874;d6:1478;d7:2101;d8:2534;d9:2533;d10:2149;d11:1410;d12:752;d13:296;d14:88;d15:16;d16:1,dimension of output-linear coordinates with ANF degree <= target_degree
