case,candidate_id,status,area,delay,adp,expected_adp,aig_path,notes
ex220,ex220_fp16_exp_exp_mant_pair_case,OK,10754,22,236588,236588,student/new_seeds/fp16/ex220_ex239_current/ex220/aigs/ex220_fp16_exp_exp_mant_pair_case.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex221,ex221_varying_signexp_nested_low10_hi5_abc_g_aig,OK,6811,18,122598,122598,student/new_seeds/fp16/ex220_ex239_current/ex221/aigs/ex221_varying_signexp_nested_low10_hi5_abc_g_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex222,ex222_fp16_exp10_positive_default_exp_mant_case,OK,10615,22,233530,233530,student/new_seeds/fp16/ex220_ex239_current/ex222/aigs/ex222_fp16_exp10_positive_default_exp_mant_case.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex223,ex223_catalog_source_d18_synth_preset_aig_d18,OK,10564,19,200716,200716,student/new_seeds/fp16/ex220_ex239_current/ex223/aigs/ex223_catalog_source_d18_synth_preset_aig_d18.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex224,ex224_expbase_xor_low12_hi6_synth_preset_aig,OK,5817,16,93072,93072,student/new_seeds/fp16/ex220_ex239_current/ex224/aigs/ex224_expbase_xor_low12_hi6_synth_preset_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex225,ex225_catalog_source_d18_synth_preset_aig_d18,OK,11356,19,215764,215764,student/new_seeds/fp16/ex220_ex239_current/ex225/aigs/ex225_catalog_source_d18_synth_preset_aig_d18.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex226,ex226_positive_default_exp_mant_case_abc_g_aig,OK,33356,22,733832,733832,student/new_seeds/fp16/ex220_ex239_current/ex226/aigs/ex226_positive_default_exp_mant_case_abc_g_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex227,ex227_positive_default_exp_mant_case_abc_g_aig,OK,40629,22,893838,893838,student/new_seeds/fp16/ex220_ex239_current/ex227/aigs/ex227_positive_default_exp_mant_case_abc_g_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex228,ex228_semantic_sign_exp_field_defaults_abc_g_aig,OK,6627,20,132540,132540,student/new_seeds/fp16/ex220_ex239_current/ex228/aigs/ex228_semantic_sign_exp_field_defaults_abc_g_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex229,ex229_odd_nested_low9_hi6_abc_g_aig,OK,3957,16,63312,63312,student/new_seeds/fp16/ex220_ex239_current/ex229/aigs/ex229_odd_nested_low9_hi6_abc_g_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex230,ex230_exp_mant_pair_case_abc_g_aig,OK,6969,20,139380,139380,student/new_seeds/fp16/ex220_ex239_current/ex230/aigs/ex230_exp_mant_pair_case_abc_g_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex231,ex231_abc_g_aig_abc_g_aig,OK,1163,14,16282,16282,student/new_seeds/fp16/ex220_ex239_current/ex231/aigs/ex231_abc_g_aig_abc_g_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex232,ex232_attr_abc_g_aig,OK,1240,13,16120,16120,student/new_seeds/fp16/ex220_ex239_current/ex232/aigs/ex232_attr_abc_g_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex233,ex233_abc_g_aig_abc_g_aig,OK,1530,15,22950,22950,student/new_seeds/fp16/ex220_ex239_current/ex233/aigs/ex233_abc_g_aig_abc_g_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex234,ex234_boundary_wordmode_mh5_abc_g_aig,OK,1278,14,17892,17892,student/new_seeds/fp16/ex220_ex239_current/ex234/aigs/ex234_boundary_wordmode_mh5_abc_g_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex235,ex235_direct_special_low8_hi6_synth_preset,OK,1628,14,22792,22792,student/new_seeds/fp16/ex220_ex239_current/ex235/aigs/ex235_direct_special_low8_hi6_synth_preset.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex236,ex236_core_clamp_hi6_abc_g_aig,OK,1432,15,21480,21480,student/new_seeds/fp16/ex220_ex239_current/ex236/aigs/ex236_core_clamp_hi6_abc_g_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex237,ex237_direct_special_low10_hi6_synth_preset,OK,1889,16,30224,30224,student/new_seeds/fp16/ex220_ex239_current/ex237/aigs/ex237_direct_special_low10_hi6_synth_preset.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex238,ex238_r27_core_boundary_low12_hi6_synth_preset_recheck,OK,1502,15,22530,22530,student/new_seeds/fp16/ex220_ex239_current/ex238/aigs/ex238_r27_core_boundary_low12_hi6_synth_preset_recheck.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
ex239,ex239_direct_special_low7_hi6_abc_g_aig,OK,2026,16,32416,32416,student/new_seeds/fp16/ex220_ex239_current/ex239/aigs/ex239_direct_special_low7_hi6_abc_g_aig.aig,curated from already-verified frontend candidate; path/hash checked during new_seeds curation
