case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex268,ex268_udiv_denom_lz_range_direct_abc_g_aig,1,200,53,10600,student/work/ex268_ex269_frontend_udiv_lz_range_20260609_0915/ex268/aigs/ex268_udiv_denom_lz_range_direct_abc_g_aig.aig,unsigned low7_high7:a/b dbz=max exact; source=denom_lz_range_direct; flow=abc_g_aig
ex268,ex268_udiv_denom_lz_range_direct_wreduce_abc_g_aig,1,200,53,10600,student/work/ex268_ex269_frontend_udiv_lz_range_20260609_0915/ex268/aigs/ex268_udiv_denom_lz_range_direct_wreduce_abc_g_aig.aig,unsigned low7_high7:a/b dbz=max exact; source=denom_lz_range_direct; flow=wreduce_abc_g_aig
ex268,ex268_udiv_denom_lz_range_direct_synth_preset,1,199,53,10547,student/work/ex268_ex269_frontend_udiv_lz_range_20260609_0915/ex268/aigs/ex268_udiv_denom_lz_range_direct_synth_preset.aig,unsigned low7_high7:a/b dbz=max exact; source=denom_lz_range_direct; flow=synth_preset
ex268,ex268_udiv_denom_lz_range_direct_synth_preset_d18,1,199,53,10547,student/work/ex268_ex269_frontend_udiv_lz_range_20260609_0915/ex268/aigs/ex268_udiv_denom_lz_range_direct_synth_preset_d18.aig,unsigned low7_high7:a/b dbz=max exact; source=denom_lz_range_direct; flow=synth_preset_d18
ex268,ex268_udiv_denom_lz_range_direct_synth_preset_d24,1,199,53,10547,student/work/ex268_ex269_frontend_udiv_lz_range_20260609_0915/ex268/aigs/ex268_udiv_denom_lz_range_direct_synth_preset_d24.aig,unsigned low7_high7:a/b dbz=max exact; source=denom_lz_range_direct; flow=synth_preset_d24
ex269,ex269_udiv_denom_lz_range_direct_abc_g_aig,1,290,72,20880,student/work/ex268_ex269_frontend_udiv_lz_range_20260609_0915/ex269/aigs/ex269_udiv_denom_lz_range_direct_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=denom_lz_range_direct; flow=abc_g_aig
ex269,ex269_udiv_denom_lz_range_direct_wreduce_abc_g_aig,1,290,72,20880,student/work/ex268_ex269_frontend_udiv_lz_range_20260609_0915/ex269/aigs/ex269_udiv_denom_lz_range_direct_wreduce_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=denom_lz_range_direct; flow=wreduce_abc_g_aig
ex269,ex269_udiv_denom_lz_range_direct_synth_preset,1,263,78,20514,student/work/ex268_ex269_frontend_udiv_lz_range_20260609_0915/ex269/aigs/ex269_udiv_denom_lz_range_direct_synth_preset.aig,unsigned low8_high8:a/b dbz=max exact; source=denom_lz_range_direct; flow=synth_preset
ex269,ex269_udiv_denom_lz_range_direct_synth_preset_d18,1,263,78,20514,student/work/ex268_ex269_frontend_udiv_lz_range_20260609_0915/ex269/aigs/ex269_udiv_denom_lz_range_direct_synth_preset_d18.aig,unsigned low8_high8:a/b dbz=max exact; source=denom_lz_range_direct; flow=synth_preset_d18
ex269,ex269_udiv_denom_lz_range_direct_synth_preset_d24,1,263,78,20514,student/work/ex268_ex269_frontend_udiv_lz_range_20260609_0915/ex269/aigs/ex269_udiv_denom_lz_range_direct_synth_preset_d24.aig,unsigned low8_high8:a/b dbz=max exact; source=denom_lz_range_direct; flow=synth_preset_d24
