case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex273,ex273_square_hybrid_bddtop4_synth_preset_and,unsigned_square_x_times_x,hybrid_bddtop4+synth_preset_and,student/work/ex273_ex274_frontend_square_synth_and_probe_20260609_1350/ex273/verilog/ex273_square_hybrid_bddtop4.v,student/work/ex273_ex274_frontend_square_synth_and_probe_20260609_1350/ex273/aigs/ex273_square_hybrid_bddtop4_synth_preset_and.aig,1,1,1,971,33,32043,15078,2.125149,0,0,0.993,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4; flow=synth_preset_and
ex273,ex273_square_hybrid_bddtop4_synth_preset_and_d12,unsigned_square_x_times_x,hybrid_bddtop4+synth_preset_and_d12,student/work/ex273_ex274_frontend_square_synth_and_probe_20260609_1350/ex273/verilog/ex273_square_hybrid_bddtop4.v,student/work/ex273_ex274_frontend_square_synth_and_probe_20260609_1350/ex273/aigs/ex273_square_hybrid_bddtop4_synth_preset_and_d12.aig,1,1,1,971,33,32043,15078,2.125149,0,0,0.995,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4; flow=synth_preset_and_d12
ex273,ex273_square_hybrid_bddtop4_synth_preset_and_d16,unsigned_square_x_times_x,hybrid_bddtop4+synth_preset_and_d16,student/work/ex273_ex274_frontend_square_synth_and_probe_20260609_1350/ex273/verilog/ex273_square_hybrid_bddtop4.v,student/work/ex273_ex274_frontend_square_synth_and_probe_20260609_1350/ex273/aigs/ex273_square_hybrid_bddtop4_synth_preset_and_d16.aig,1,1,1,971,33,32043,15078,2.125149,0,0,0.989,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4; flow=synth_preset_and_d16
ex273,ex273_square_hybrid_bddtop2_trunc_synth_preset_and,unsigned_square_x_times_x,hybrid_bddtop2_trunc+synth_preset_and,student/work/ex273_ex274_frontend_square_synth_and_probe_20260609_1350/ex273/verilog/ex273_square_hybrid_bddtop2_trunc.v,student/work/ex273_ex274_frontend_square_synth_and_probe_20260609_1350/ex273/aigs/ex273_square_hybrid_bddtop2_trunc_synth_preset_and.aig,1,1,1,943,36,33948,15078,2.251492,0,0,0.954,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_trunc; flow=synth_preset_and
ex273,ex273_square_hybrid_bddtop2_trunc_synth_preset_and_d12,unsigned_square_x_times_x,hybrid_bddtop2_trunc+synth_preset_and_d12,student/work/ex273_ex274_frontend_square_synth_and_probe_20260609_1350/ex273/verilog/ex273_square_hybrid_bddtop2_trunc.v,student/work/ex273_ex274_frontend_square_synth_and_probe_20260609_1350/ex273/aigs/ex273_square_hybrid_bddtop2_trunc_synth_preset_and_d12.aig,1,1,1,943,36,33948,15078,2.251492,0,0,0.953,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_trunc; flow=synth_preset_and_d12
ex273,ex273_square_hybrid_bddtop2_trunc_synth_preset_and_d16,unsigned_square_x_times_x,hybrid_bddtop2_trunc+synth_preset_and_d16,student/work/ex273_ex274_frontend_square_synth_and_probe_20260609_1350/ex273/verilog/ex273_square_hybrid_bddtop2_trunc.v,student/work/ex273_ex274_frontend_square_synth_and_probe_20260609_1350/ex273/aigs/ex273_square_hybrid_bddtop2_trunc_synth_preset_and_d16.aig,1,1,1,943,36,33948,15078,2.251492,0,0,0.969,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_trunc; flow=synth_preset_and_d16
ex273,ex273_square_hybrid_bddtop2_cmp1_trunc_synth_preset_and,unsigned_square_x_times_x,hybrid_bddtop2_cmp1_trunc+synth_preset_and,student/work/ex273_ex274_frontend_square_synth_and_probe_20260609_1350/ex273/verilog/ex273_square_hybrid_bddtop2_cmp1_trunc.v,student/work/ex273_ex274_frontend_square_synth_and_probe_20260609_1350/ex273/aigs/ex273_square_hybrid_bddtop2_cmp1_trunc_synth_preset_and.aig,1,1,1,937,35,32795,15078,2.175023,0,0,1.049,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_cmp1_trunc; flow=synth_preset_and
ex273,ex273_square_hybrid_bddtop2_cmp1_trunc_synth_preset_and_d12,unsigned_square_x_times_x,hybrid_bddtop2_cmp1_trunc+synth_preset_and_d12,student/work/ex273_ex274_frontend_square_synth_and_probe_20260609_1350/ex273/verilog/ex273_square_hybrid_bddtop2_cmp1_trunc.v,student/work/ex273_ex274_frontend_square_synth_and_probe_20260609_1350/ex273/aigs/ex273_square_hybrid_bddtop2_cmp1_trunc_synth_preset_and_d12.aig,1,1,1,937,35,32795,15078,2.175023,0,0,1.071,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_cmp1_trunc; flow=synth_preset_and_d12
ex273,ex273_square_hybrid_bddtop2_cmp1_trunc_synth_preset_and_d16,unsigned_square_x_times_x,hybrid_bddtop2_cmp1_trunc+synth_preset_and_d16,student/work/ex273_ex274_frontend_square_synth_and_probe_20260609_1350/ex273/verilog/ex273_square_hybrid_bddtop2_cmp1_trunc.v,student/work/ex273_ex274_frontend_square_synth_and_probe_20260609_1350/ex273/aigs/ex273_square_hybrid_bddtop2_cmp1_trunc_synth_preset_and_d16.aig,1,1,1,937,35,32795,15078,2.175023,0,0,1.063,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_cmp1_trunc; flow=synth_preset_and_d16
ex273,ex273_square_hybrid_rangetop2_trunc_synth_preset_and,unsigned_square_x_times_x,hybrid_rangetop2_trunc+synth_preset_and,student/work/ex273_ex274_frontend_square_synth_and_probe_20260609_1350/ex273/verilog/ex273_square_hybrid_rangetop2_trunc.v,student/work/ex273_ex274_frontend_square_synth_and_probe_20260609_1350/ex273/aigs/ex273_square_hybrid_rangetop2_trunc_synth_preset_and.aig,1,1,1,968,36,34848,15078,2.311182,0,0,1.120,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_rangetop2_trunc; flow=synth_preset_and
ex273,ex273_square_hybrid_rangetop2_trunc_synth_preset_and_d12,unsigned_square_x_times_x,hybrid_rangetop2_trunc+synth_preset_and_d12,student/work/ex273_ex274_frontend_square_synth_and_probe_20260609_1350/ex273/verilog/ex273_square_hybrid_rangetop2_trunc.v,student/work/ex273_ex274_frontend_square_synth_and_probe_20260609_1350/ex273/aigs/ex273_square_hybrid_rangetop2_trunc_synth_preset_and_d12.aig,1,1,1,968,36,34848,15078,2.311182,0,0,1.008,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_rangetop2_trunc; flow=synth_preset_and_d12
ex273,ex273_square_hybrid_rangetop2_trunc_synth_preset_and_d16,unsigned_square_x_times_x,hybrid_rangetop2_trunc+synth_preset_and_d16,student/work/ex273_ex274_frontend_square_synth_and_probe_20260609_1350/ex273/verilog/ex273_square_hybrid_rangetop2_trunc.v,student/work/ex273_ex274_frontend_square_synth_and_probe_20260609_1350/ex273/aigs/ex273_square_hybrid_rangetop2_trunc_synth_preset_and_d16.aig,1,1,1,968,36,34848,15078,2.311182,0,0,1.035,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_rangetop2_trunc; flow=synth_preset_and_d16
ex273,ex273_square_wallace_square_outside_csel6_synth_preset_and,unsigned_square_x_times_x,wallace_square_outside_csel6+synth_preset_and,student/work/ex273_ex274_frontend_square_synth_and_probe_20260609_1350/ex273/verilog/ex273_square_wallace_square_outside_csel6.v,student/work/ex273_ex274_frontend_square_synth_and_probe_20260609_1350/ex273/aigs/ex273_square_wallace_square_outside_csel6_synth_preset_and.aig,1,1,1,897,39,34983,15078,2.320135,0,0,1.129,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_outside_csel6; flow=synth_preset_and
