case,candidate_id,family_id,parent_id,parent_hash,source,tool,tool_chain,command,command_expanded,params_json,aig_path,aig_hash,verilog_path,seed_origin,area,delay,adp,parent_area,parent_delay,parent_adp,delta_area,delta_delay,delta_adp,equivalent,round,phase,tier,runtime_sec,is_pareto,is_near_pareto,is_active,is_new_pareto,duplicate_of,notes
ex200,ex200_r000_seed_seed_pcurrent_a3717_d17_adp63189_759c0927,current,,,seed,seed,seed,seed,seed,{},student/work/ex200_backend_portfolio_v1_abc_smoke_20260610_1712/ex200/seeds/ex200_r000_seed_seed_pcurrent_a3717_d17_adp63189_759c0927.aig,759c0927c8b8029d657e815faf635c93dcf22ee25cb4721f0371bcc8e03ca31d,student/seeds/bf16/ex200_ex219_current/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation.v,student/seeds/bf16/ex200_ex219_current/results/best.csv,3717,17,63189,,,,,,,1,0,seed,seed,0.642,0,1,1,,,truth table equals DAZ + exp + BF16 RNE + FTZ; semantic default-one parallel casez saturation items=3863; exact over 65536 inputs
ex200,ex200_r000_seed_seed_palt01_a3717_d17_adp63189_759c0927,alt01,,,seed,seed,seed,seed,seed,{},student/work/ex200_backend_portfolio_v1_abc_smoke_20260610_1712/ex200/seeds/ex200_r000_seed_seed_palt01_a3717_d17_adp63189_759c0927.aig,759c0927c8b8029d657e815faf635c93dcf22ee25cb4721f0371bcc8e03ca31d,student/seeds/bf16/ex200_ex219_backend_candidates_20260608_1008/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_casez_saturation.v,student/seeds/bf16/ex200_ex219_backend_candidates_20260608_1008/results/candidates.csv,3717,17,63189,,,,,,,1,0,seed,seed,0.617,0,0,0,,ex200_r000_seed_seed_pcurrent_a3717_d17_adp63189_759c0927,truth table equals DAZ + exp + BF16 RNE + FTZ; semantic default-one casez saturation items=3863; exact over 65536 inputs
ex200,ex200_r000_seed_seed_palt02_a3725_d17_adp63325_1df714cd,alt02,,,seed,seed,seed,seed,seed,{},student/work/ex200_backend_portfolio_v1_abc_smoke_20260610_1712/ex200/seeds/ex200_r000_seed_seed_palt02_a3725_d17_adp63325_1df714cd.aig,1df714cdf95e230a18baed59caed866aa7e4c91f9cad87032f5a46ba56e43275,student/seeds/bf16/ex200_ex219_backend_candidates_20260608_1008/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_overrides.v,student/seeds/bf16/ex200_ex219_backend_candidates_20260608_1008/results/candidates.csv,3725,17,63325,,,,,,,1,0,seed,seed,0.644,0,1,1,,,truth table equals DAZ + exp + BF16 RNE + FTZ; semantic default-one override cases=4085; exact over 65536 inputs
ex200,ex200_r000_seed_seed_palt03_a3726_d17_adp63342_7f9256b6,alt03,,,seed,seed,seed,seed,seed,{},student/work/ex200_backend_portfolio_v1_abc_smoke_20260610_1712/ex200/seeds/ex200_r000_seed_seed_palt03_a3726_d17_adp63342_7f9256b6.aig,7f9256b6066e4492f0c8281e96adfef31cee58575e0beaf8bab1bbd0250c7272,student/seeds/bf16/ex200_ex219_backend_candidates_20260608_1008/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_per_exp_mode.v,student/seeds/bf16/ex200_ex219_backend_candidates_20260608_1008/results/candidates.csv,3726,17,63342,,,,,,,1,0,seed,seed,0.648,0,1,1,,,truth table equals DAZ + exp + BF16 RNE + FTZ; semantic default-one per-exp mode exceptions items=3210; exact over 65536 inputs
ex200,ex200_r000_seed_seed_palt04_a3728_d17_adp63376_a0b1c0a5,alt04,,,seed,seed,seed,seed,seed,{},student/work/ex200_backend_portfolio_v1_abc_smoke_20260610_1712/ex200/seeds/ex200_r000_seed_seed_palt04_a3728_d17_adp63376_a0b1c0a5.aig,a0b1c0a5ce916683d82a4b232194b205066bd896da5215fa8d3c7cb06cc8a93d,student/seeds/bf16/ex200_ex219_backend_candidates_20260608_1008/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_casez_active_first.v,student/seeds/bf16/ex200_ex219_backend_candidates_20260608_1008/results/candidates.csv,3728,17,63376,,,,,,,1,0,seed,seed,0.645,0,1,1,,,truth table equals DAZ + exp + BF16 RNE + FTZ; semantic default-one casez active-first items=3863; exact over 65536 inputs
ex200,ex200_r000_abc_abc_resyn_pex200_r000_seed_seed_pcu_a3687_d16_adp58992_57813475,current,ex200_r000_seed_seed_pcurrent_a3717_d17_adp63189_759c0927,759c0927c8b8029d657e815faf635c93dcf22ee25cb4721f0371bcc8e03ca31d,abc,abc,abc_resyn,resyn,balance; rewrite; rewrite -z; balance; rewrite -z; balance,{},student/work/ex200_backend_portfolio_v1_abc_smoke_20260610_1712/ex200/artifacts/ex200_r000_abc_abc_resyn_pex200_r000_seed_seed_pcu_a3687_d16_adp58992_57813475.aig,578134757c1450bb551cd42cc78429a2470292f8a92db86c16a7efba6ad6b10e,,student/seeds/bf16/ex200_ex219_current/results/best.csv,3687,16,58992,3717,17,63189,-30,-1,-4197,1,0,abc_abc9,0,0.762,0,1,1,,,
ex200,ex200_r000_abc_abc_resyn2_pex200_r000_seed_seed_pcu_a3680_d16_adp58880_2f6c1999,current,ex200_r000_seed_seed_pcurrent_a3717_d17_adp63189_759c0927,759c0927c8b8029d657e815faf635c93dcf22ee25cb4721f0371bcc8e03ca31d,abc,abc,abc_resyn2,resyn2,balance; rewrite; refactor; balance; rewrite; rewrite -z; balance; refactor -z; rewrite -z; balance,{},student/work/ex200_backend_portfolio_v1_abc_smoke_20260610_1712/ex200/artifacts/ex200_r000_abc_abc_resyn2_pex200_r000_seed_seed_pcu_a3680_d16_adp58880_2f6c1999.aig,2f6c1999bbbba9a70d250ca0ba107a932c5dd335dff8ac1d72ca91e179072bee,,student/seeds/bf16/ex200_ex219_current/results/best.csv,3680,16,58880,3717,17,63189,-37,-1,-4309,1,0,abc_abc9,0,0.803,0,1,1,,,
ex200,ex200_r000_abc_abc_resyn2a_pex200_r000_seed_seed_pcu_a3689_d16_adp59024_bcc14442,current,ex200_r000_seed_seed_pcurrent_a3717_d17_adp63189_759c0927,759c0927c8b8029d657e815faf635c93dcf22ee25cb4721f0371bcc8e03ca31d,abc,abc,abc_resyn2a,resyn2a,balance; rewrite; balance; rewrite; rewrite -z; balance; rewrite -z; balance,{},student/work/ex200_backend_portfolio_v1_abc_smoke_20260610_1712/ex200/artifacts/ex200_r000_abc_abc_resyn2a_pex200_r000_seed_seed_pcu_a3689_d16_adp59024_bcc14442.aig,bcc144428cc84519b4561fe80259b69b8b8946dfe812b0d07caf3dd6d0ebd513,,student/seeds/bf16/ex200_ex219_current/results/best.csv,3689,16,59024,3717,17,63189,-28,-1,-4165,1,0,abc_abc9,0,0.796,0,1,1,,,
ex200,ex200_r000_abc_abc_dc2_pex200_r000_seed_seed_pcu_a3658_d16_adp58528_61e77434,current,ex200_r000_seed_seed_pcurrent_a3717_d17_adp63189_759c0927,759c0927c8b8029d657e815faf635c93dcf22ee25cb4721f0371bcc8e03ca31d,abc,abc,abc_dc2,dc2,strash; dc2; balance,{},student/work/ex200_backend_portfolio_v1_abc_smoke_20260610_1712/ex200/artifacts/ex200_r000_abc_abc_dc2_pex200_r000_seed_seed_pcu_a3658_d16_adp58528_61e77434.aig,61e77434aa484532f44fc6d0bfee3b5dfd0b0a62ecb66758b2e32267e7df7395,,student/seeds/bf16/ex200_ex219_current/results/best.csv,3658,16,58528,3717,17,63189,-59,-1,-4661,1,0,abc_abc9,0,0.791,1,0,1,1,,
ex200,ex200_r000_abc_abc_dch_pex200_r000_seed_seed_pcu_a3660_d16_adp58560_82ee44cc,current,ex200_r000_seed_seed_pcurrent_a3717_d17_adp63189_759c0927,759c0927c8b8029d657e815faf635c93dcf22ee25cb4721f0371bcc8e03ca31d,abc,abc,abc_dch,dch,strash; dch; balance,{},student/work/ex200_backend_portfolio_v1_abc_smoke_20260610_1712/ex200/artifacts/ex200_r000_abc_abc_dch_pex200_r000_seed_seed_pcu_a3660_d16_adp58560_82ee44cc.aig,82ee44ccbf0b0608675c899f04ae081b2da99cece2a48bf1f234628f5744cf0c,,student/seeds/bf16/ex200_ex219_current/results/best.csv,3660,16,58560,3717,17,63189,-57,-1,-4629,1,0,abc_abc9,0,1.083,0,1,1,,,
ex200,ex200_r000_abc_abc_bal_rw_pex200_r000_seed_seed_pcu_a3690_d16_adp59040_63c26f17,current,ex200_r000_seed_seed_pcurrent_a3717_d17_adp63189_759c0927,759c0927c8b8029d657e815faf635c93dcf22ee25cb4721f0371bcc8e03ca31d,abc,abc,abc_bal_rw,bal_rw,balance; rewrite; rewrite -z; balance,{},student/work/ex200_backend_portfolio_v1_abc_smoke_20260610_1712/ex200/artifacts/ex200_r000_abc_abc_bal_rw_pex200_r000_seed_seed_pcu_a3690_d16_adp59040_63c26f17.aig,63c26f172059e8486704d92b0a9ce376fb0b4ffe07c984615ef495c608812cfe,,student/seeds/bf16/ex200_ex219_current/results/best.csv,3690,16,59040,3717,17,63189,-27,-1,-4149,1,0,abc_abc9,0,0.747,0,1,1,,,
