case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex266,ex266_udiv_bdd_comp_perbit_interleave_msb_abc_g_aig,unsigned low5_high5:a/b dbz=max,bdd_comp_perbit_interleave_msb+abc_g_aig,student/work/ex266_frontend_udiv_comp_perbit_bdd_20260609_0922/ex266/verilog/ex266_udiv_bdd_comp_perbit_interleave_msb.v,student/work/ex266_frontend_udiv_comp_perbit_bdd_20260609_0922/ex266/aigs/ex266_udiv_bdd_comp_perbit_interleave_msb_abc_g_aig.aig,1,1,1,150,14,2100,848,2.476415,0,0,0.222,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_comp_perbit_interleave_msb; flow=abc_g_aig
ex266,ex266_udiv_bdd_comp_perbit_interleave_msb_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,bdd_comp_perbit_interleave_msb+wreduce_abc_g_aig,student/work/ex266_frontend_udiv_comp_perbit_bdd_20260609_0922/ex266/verilog/ex266_udiv_bdd_comp_perbit_interleave_msb.v,student/work/ex266_frontend_udiv_comp_perbit_bdd_20260609_0922/ex266/aigs/ex266_udiv_bdd_comp_perbit_interleave_msb_wreduce_abc_g_aig.aig,1,1,1,150,14,2100,848,2.476415,0,0,0.226,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_comp_perbit_interleave_msb; flow=wreduce_abc_g_aig
ex266,ex266_udiv_bdd_comp_perbit_interleave_msb_synth_preset,unsigned low5_high5:a/b dbz=max,bdd_comp_perbit_interleave_msb+synth_preset,student/work/ex266_frontend_udiv_comp_perbit_bdd_20260609_0922/ex266/verilog/ex266_udiv_bdd_comp_perbit_interleave_msb.v,student/work/ex266_frontend_udiv_comp_perbit_bdd_20260609_0922/ex266/aigs/ex266_udiv_bdd_comp_perbit_interleave_msb_synth_preset.aig,1,1,1,148,14,2072,848,2.443396,0,0,0.292,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_comp_perbit_interleave_msb; flow=synth_preset
ex266,ex266_udiv_bdd_comp_perbit_interleave_msb_synth_preset_d8,unsigned low5_high5:a/b dbz=max,bdd_comp_perbit_interleave_msb+synth_preset_d8,student/work/ex266_frontend_udiv_comp_perbit_bdd_20260609_0922/ex266/verilog/ex266_udiv_bdd_comp_perbit_interleave_msb.v,student/work/ex266_frontend_udiv_comp_perbit_bdd_20260609_0922/ex266/aigs/ex266_udiv_bdd_comp_perbit_interleave_msb_synth_preset_d8.aig,1,1,1,148,14,2072,848,2.443396,0,0,0.294,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_comp_perbit_interleave_msb; flow=synth_preset_d8
ex266,ex266_udiv_bdd_comp_perbit_interleave_msb_synth_preset_d10,unsigned low5_high5:a/b dbz=max,bdd_comp_perbit_interleave_msb+synth_preset_d10,student/work/ex266_frontend_udiv_comp_perbit_bdd_20260609_0922/ex266/verilog/ex266_udiv_bdd_comp_perbit_interleave_msb.v,student/work/ex266_frontend_udiv_comp_perbit_bdd_20260609_0922/ex266/aigs/ex266_udiv_bdd_comp_perbit_interleave_msb_synth_preset_d10.aig,1,1,1,148,14,2072,848,2.443396,0,0,0.296,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_comp_perbit_interleave_msb; flow=synth_preset_d10
ex266,ex266_udiv_bdd_comp_perbit_interleave_msb_synth_preset_d12,unsigned low5_high5:a/b dbz=max,bdd_comp_perbit_interleave_msb+synth_preset_d12,student/work/ex266_frontend_udiv_comp_perbit_bdd_20260609_0922/ex266/verilog/ex266_udiv_bdd_comp_perbit_interleave_msb.v,student/work/ex266_frontend_udiv_comp_perbit_bdd_20260609_0922/ex266/aigs/ex266_udiv_bdd_comp_perbit_interleave_msb_synth_preset_d12.aig,1,1,1,148,14,2072,848,2.443396,0,0,0.293,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_comp_perbit_interleave_msb; flow=synth_preset_d12
ex266,ex266_udiv_bdd_comp_perbit_search_best_abc_g_aig,unsigned low5_high5:a/b dbz=max,bdd_comp_perbit_search_best+abc_g_aig,student/work/ex266_frontend_udiv_comp_perbit_bdd_20260609_0922/ex266/verilog/ex266_udiv_bdd_comp_perbit_search_best.v,student/work/ex266_frontend_udiv_comp_perbit_bdd_20260609_0922/ex266/aigs/ex266_udiv_bdd_comp_perbit_search_best_abc_g_aig.aig,1,1,1,147,13,1911,848,2.253538,0,0,0.220,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_comp_perbit_search_best; flow=abc_g_aig
ex266,ex266_udiv_bdd_comp_perbit_search_best_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,bdd_comp_perbit_search_best+wreduce_abc_g_aig,student/work/ex266_frontend_udiv_comp_perbit_bdd_20260609_0922/ex266/verilog/ex266_udiv_bdd_comp_perbit_search_best.v,student/work/ex266_frontend_udiv_comp_perbit_bdd_20260609_0922/ex266/aigs/ex266_udiv_bdd_comp_perbit_search_best_wreduce_abc_g_aig.aig,1,1,1,147,13,1911,848,2.253538,0,0,0.225,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_comp_perbit_search_best; flow=wreduce_abc_g_aig
ex266,ex266_udiv_bdd_comp_perbit_search_best_synth_preset,unsigned low5_high5:a/b dbz=max,bdd_comp_perbit_search_best+synth_preset,student/work/ex266_frontend_udiv_comp_perbit_bdd_20260609_0922/ex266/verilog/ex266_udiv_bdd_comp_perbit_search_best.v,student/work/ex266_frontend_udiv_comp_perbit_bdd_20260609_0922/ex266/aigs/ex266_udiv_bdd_comp_perbit_search_best_synth_preset.aig,1,1,1,148,14,2072,848,2.443396,0,0,0.295,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_comp_perbit_search_best; flow=synth_preset
ex266,ex266_udiv_bdd_comp_perbit_search_best_synth_preset_d8,unsigned low5_high5:a/b dbz=max,bdd_comp_perbit_search_best+synth_preset_d8,student/work/ex266_frontend_udiv_comp_perbit_bdd_20260609_0922/ex266/verilog/ex266_udiv_bdd_comp_perbit_search_best.v,student/work/ex266_frontend_udiv_comp_perbit_bdd_20260609_0922/ex266/aigs/ex266_udiv_bdd_comp_perbit_search_best_synth_preset_d8.aig,1,1,1,148,14,2072,848,2.443396,0,0,0.296,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_comp_perbit_search_best; flow=synth_preset_d8
ex266,ex266_udiv_bdd_comp_perbit_search_best_synth_preset_d10,unsigned low5_high5:a/b dbz=max,bdd_comp_perbit_search_best+synth_preset_d10,student/work/ex266_frontend_udiv_comp_perbit_bdd_20260609_0922/ex266/verilog/ex266_udiv_bdd_comp_perbit_search_best.v,student/work/ex266_frontend_udiv_comp_perbit_bdd_20260609_0922/ex266/aigs/ex266_udiv_bdd_comp_perbit_search_best_synth_preset_d10.aig,1,1,1,148,14,2072,848,2.443396,0,0,0.295,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_comp_perbit_search_best; flow=synth_preset_d10
