case,output_bit,input_width,output_width,selected_features,feature_count,nonzero_weights,matching_rows,total_rows,exact,epochs,top_weights
ex287,4,14,14,xor6_7:xor8_9:raw13:raw12,33,31,8848,16384,0,40,sel_3_raw12:60;bias:-34;sel_1_xor8_9:-18;cnt0-cnt2:9;cnt2-cnt6:-8;cnt0-cnt3:8;cnt0-cnt1:8;sel_0_xor6_7:-7;cnt3-cnt6:-7;cnt2-cnt5:-7;cnt1-cnt6:-7;cnt3-cnt5:-6
ex287,5,14,14,xor6_7:xor8_9:raw13:raw12,33,31,9045,16384,0,40,sel_3_raw12:44;bias:-44;sel_2_raw13:-34;cnt3:19;sel_1_xor8_9:-15;cnt5:12;cnt4:12;cnt2-cnt3:-12;cnt1-cnt3:-12;cnt3-cnt6:11;cnt0:10;sel_0_xor6_7:-9
ex287,6,14,14,xor6_7:xor8_9:raw13:raw12,33,33,8107,16384,0,40,sel_2_raw13:-27;bias:-22;cnt3-cnt4:-15;cnt3-cnt5:-14;cnt1-cnt3:13;cnt0-cnt3:12;cnt3:-11;sel_0_xor6_7:10;cnt3-cnt6:-9;cnt2-cnt3:8;sel_3_raw12:-7;cnt2-cnt4:-7
ex287,7,14,14,xor6_7:xor8_9:raw13:raw12,33,32,8941,16384,0,40,bias:-94;cnt3:29;sel_3_raw12:28;sel_2_raw13:-27;cnt4:24;cnt5:21;cnt1:20;cnt3-cnt6:18;sel_0_xor6_7:17;cnt2:15;cnt0:15;cnt2-cnt3:-14
ex287,8,14,14,xor6_7:xor8_9:raw13:raw12,33,31,8684,16384,0,40,sel_2_raw13:60;sel_3_raw12:-52;bias:-45;sel_0_xor6_7:11;cnt1-cnt6:-8;cnt1-cnt4:-8;cnt3-cnt6:-6;cnt3-cnt4:-6;cnt0-cnt1:6;cnt2-cnt6:-5;cnt2-cnt4:-5;sel_1_xor8_9:-4
ex287,9,14,14,xor6_7:xor8_9:raw13:raw12,33,30,8585,16384,0,40,bias:-78;sel_2_raw13:51;cnt3:25;cnt2:25;cnt0:25;cnt1:24;sel_0_xor6_7:21;cnt6:21;cnt5:19;cnt4:16;sel_3_raw12:-15;cnt3-cnt4:9
ex287,10,14,14,xor6_7:xor8_9:raw13:raw12,33,32,8748,16384,0,40,bias:-66;sel_2_raw13:36;cnt2-cnt3:25;cnt0-cnt3:23;cnt3-cnt6:-17;cnt2-cnt4:16;cnt2:16;cnt1-cnt2:-15;cnt2-cnt5:14;cnt0-cnt4:14;cnt0:14;cnt0-cnt1:13
ex287,11,14,14,xor6_7:xor8_9:raw13:raw12,33,27,8529,16384,0,40,bias:-107;sel_2_raw13:45;cnt3:32;cnt2:30;cnt1:22;cnt6:19;cnt5:19;cnt4:19;cnt0:19;sel_3_raw12:-17;sel_1_xor8_9:17;sel_0_xor6_7:13
ex287,12,14,14,xor6_7:xor8_9:raw13:raw12,33,33,8700,16384,0,40,sel_3_raw12:57;bias:-57;sel_1_xor8_9:-27;sel_2_raw13:21;cnt1-cnt6:-10;cnt6:9;cnt1-cnt2:-9;cnt3-cnt6:-8;cnt2:8;cnt4-cnt6:-7;cnt2-cnt3:7;sel_0_xor6_7:6
ex287,13,14,14,xor6_7:xor8_9:raw13:raw12,33,30,8884,16384,0,40,bias:-68;sel_3_raw12:37;cnt3:21;sel_1_xor8_9:-20;sel_2_raw13:-17;cnt2:16;cnt0:14;cnt6:13;cnt5:13;cnt4:13;sel_0_xor6_7:12;cnt1:12
ex288,0,15,15,raw13:raw10:xor6_7,49,45,16997,32768,0,40,sel_0_raw13:-76;bias:-50;cnt0:15;cnt5:14;cnt8:12;sel_2_xor6_7:-10;cnt6:10;cnt3:10;cnt1:10;cnt0-cnt4:10;cnt0-cnt2:10;sel_1_raw10:-9
ex288,1,15,15,raw13:raw10:xor6_7,49,49,18214,32768,0,40,bias:-85;cnt0:30;cnt8:25;cnt2:24;cnt0-cnt4:23;cnt5:20;cnt6:18;cnt4-cnt8:-18;cnt0-cnt7:18;sel_0_raw13:-17;cnt2-cnt4:17;cnt1:17
ex288,2,15,15,raw13:raw10:xor6_7,49,45,16566,32768,0,40,sel_0_raw13:-53;sel_2_xor6_7:-17;bias:-17;cnt4-cnt5:-15;cnt5-cnt8:14;cnt4-cnt7:-12;cnt7-cnt8:11;cnt4-cnt6:-10;cnt6-cnt8:9;cnt2-cnt4:9;cnt1-cnt4:9;cnt4:-8
ex288,3,15,15,raw13:raw10:xor6_7,49,48,18322,32768,0,40,sel_0_raw13:-72;cnt2-cnt4:25;cnt0-cnt2:-21;cnt3-cnt4:20;cnt4-cnt5:-19;cnt4:-18;cnt4-cnt6:-17;cnt1-cnt4:17;cnt0-cnt3:-16;sel_2_xor6_7:-15;cnt4-cnt8:-15;cnt0-cnt5:-15
ex288,4,15,15,raw13:raw10:xor6_7,49,46,17165,32768,0,40,sel_0_raw13:39;bias:-11;cnt4-cnt8:8;cnt4:8;cnt6-cnt8:6;cnt6:6;cnt2-cnt4:-6;cnt1-cnt8:6;cnt1:6;cnt0-cnt4:-6;cnt7-cnt8:5;cnt7:5
ex288,5,15,15,raw13:raw10:xor6_7,49,43,16673,32768,0,40,bias:-49;sel_0_raw13:41;cnt8:15;sel_2_xor6_7:14;sel_1_raw10:-14;cnt4-cnt8:-12;cnt6:10;cnt5:10;cnt3-cnt8:-10;cnt2:10;cnt1:10;cnt7-cnt8:-8
ex288,6,15,15,raw13:raw10:xor6_7,49,48,17251,32768,0,40,sel_0_raw13:97;bias:-66;cnt5-cnt8:12;cnt2-cnt8:11;cnt0-cnt8:10;cnt3-cnt5:-9;cnt7-cnt8:8;cnt5:8;cnt4-cnt8:8;cnt2-cnt3:8;cnt2:7;cnt1-cnt8:7
ex288,7,15,15,raw13:raw10:xor6_7,49,43,19487,32768,0,40,bias:-113;sel_0_raw13:92;sel_2_xor6_7:16;cnt8:16;sel_1_raw10:-14;cnt5:14;cnt6:12;cnt7-cnt8:-11;cnt3-cnt8:-10;cnt2-cnt8:-10;cnt1-cnt8:-10;cnt0-cnt8:-10
ex288,8,15,15,raw13:raw10:xor6_7,49,45,17897,32768,0,40,bias:-88;sel_0_raw13:-87;cnt4:30;cnt0:25;cnt7:21;cnt5:21;cnt3:21;cnt6:19;cnt1:19;cnt2-cnt4:-18;cnt8:17;sel_1_raw10:14
ex288,9,15,15,raw13:raw10:xor6_7,49,48,17978,32768,0,40,bias:-112;sel_0_raw13:-47;cnt8:30;cnt0:30;cnt4:29;cnt3:27;cnt1:26;cnt7:25;cnt6:23;cnt2:21;cnt5:19;cnt5-cnt8:-11
ex288,10,15,15,raw13:raw10:xor6_7,49,49,17907,32768,0,40,sel_0_raw13:-81;bias:-78;cnt4:29;cnt3:25;cnt1:21;cnt4-cnt8:20;cnt0:19;cnt4-cnt5:18;cnt7:17;cnt3-cnt8:16;cnt2:16;cnt4-cnt6:15
ex288,11,15,15,raw13:raw10:xor6_7,49,47,17627,32768,0,40,sel_0_raw13:-82;bias:-81;cnt4:32;cnt8:28;cnt3:27;cnt0-cnt4:-21;cnt6:19;cnt5:19;cnt2:18;cnt1:18;cnt7:17;cnt0-cnt8:-17
ex288,12,15,15,raw13:raw10:xor6_7,49,47,17215,32768,0,40,bias:-80;sel_0_raw13:61;cnt3-cnt8:10;cnt3:9;sel_2_xor6_7:8;cnt0-cnt3:-8;cnt7-cnt8:7;cnt2-cnt8:7;sel_1_raw10:-6;cnt7:6;cnt4-cnt8:6;cnt3-cnt5:6
ex288,13,15,15,raw13:raw10:xor6_7,49,44,16868,32768,0,40,bias:-76;sel_0_raw13:41;sel_1_raw10:-16;cnt8:13;cnt0-cnt8:-11;sel_2_xor6_7:9;cnt6:9;cnt4:9;cnt3:9;cnt2:8;cnt1:8;cnt7:7
ex288,14,15,15,raw13:raw10:xor6_7,49,47,16788,32768,0,40,bias:-45;sel_0_raw13:35;sel_2_xor6_7:13;cnt0-cnt2:-13;sel_1_raw10:11;cnt2-cnt8:11;cnt0-cnt4:-11;cnt0-cnt3:-10;cnt4-cnt8:9;cnt0-cnt6:-9;cnt3-cnt8:8;cnt0-cnt5:-8
