case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex274,ex274_square_hybrid_bddtop2_trunc_csel4_synth_preset_d20,unsigned_square_x_times_x,hybrid_bddtop2_trunc_csel4+synth_preset_d20,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop2_trunc_csel4.v,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop2_trunc_csel4_synth_preset_d20.aig,1,1,1,980,45,44100,21630,2.038835,0,0,3.938,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_trunc_csel4; flow=synth_preset_d20
ex274,ex274_square_hybrid_bddtop2_trunc_csel10_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_trunc_csel10+abc_g_aig,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop2_trunc_csel10.v,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop2_trunc_csel10_abc_g_aig.aig,1,1,1,993,44,43692,21630,2.019972,0,0,3.709,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_trunc_csel10; flow=abc_g_aig
ex274,ex274_square_hybrid_bddtop2_trunc_csel10_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_trunc_csel10+wreduce_abc_g_aig,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop2_trunc_csel10.v,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop2_trunc_csel10_wreduce_abc_g_aig.aig,1,1,1,990,44,43560,21630,2.013870,0,0,3.647,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_trunc_csel10; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_bddtop2_trunc_csel10_synth_preset,unsigned_square_x_times_x,hybrid_bddtop2_trunc_csel10+synth_preset,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop2_trunc_csel10.v,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop2_trunc_csel10_synth_preset.aig,1,1,1,985,45,44325,21630,2.049237,0,0,3.806,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_trunc_csel10; flow=synth_preset
ex274,ex274_square_hybrid_bddtop2_trunc_csel10_synth_preset_d20,unsigned_square_x_times_x,hybrid_bddtop2_trunc_csel10+synth_preset_d20,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop2_trunc_csel10.v,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop2_trunc_csel10_synth_preset_d20.aig,1,1,1,985,45,44325,21630,2.049237,0,0,3.845,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_trunc_csel10; flow=synth_preset_d20
ex274,ex274_square_hybrid_bddtop2_trunc_csel12_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_trunc_csel12+abc_g_aig,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop2_trunc_csel12.v,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop2_trunc_csel12_abc_g_aig.aig,1,1,1,980,48,47040,21630,2.174757,0,0,3.595,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_trunc_csel12; flow=abc_g_aig
ex274,ex274_square_hybrid_bddtop2_trunc_csel12_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_trunc_csel12+wreduce_abc_g_aig,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop2_trunc_csel12.v,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop2_trunc_csel12_wreduce_abc_g_aig.aig,1,1,1,977,50,48850,21630,2.258437,0,0,3.610,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_trunc_csel12; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_bddtop2_trunc_csel12_synth_preset,unsigned_square_x_times_x,hybrid_bddtop2_trunc_csel12+synth_preset,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop2_trunc_csel12.v,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop2_trunc_csel12_synth_preset.aig,1,1,1,975,48,46800,21630,2.163662,0,0,3.724,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_trunc_csel12; flow=synth_preset
ex274,ex274_square_hybrid_bddtop2_trunc_csel12_synth_preset_d20,unsigned_square_x_times_x,hybrid_bddtop2_trunc_csel12+synth_preset_d20,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop2_trunc_csel12.v,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop2_trunc_csel12_synth_preset_d20.aig,1,1,1,975,48,46800,21630,2.163662,0,0,4.978,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_trunc_csel12; flow=synth_preset_d20
ex274,ex274_square_hybrid_bddtop3_trunc_csel2_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop3_trunc_csel2+abc_g_aig,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop3_trunc_csel2.v,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop3_trunc_csel2_abc_g_aig.aig,1,1,1,1004,47,47188,21630,2.181600,0,0,4.367,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop3_trunc_csel2; flow=abc_g_aig
ex274,ex274_square_hybrid_bddtop3_trunc_csel2_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop3_trunc_csel2+wreduce_abc_g_aig,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop3_trunc_csel2.v,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop3_trunc_csel2_wreduce_abc_g_aig.aig,1,1,1,1007,45,45315,21630,2.095007,0,0,3.563,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop3_trunc_csel2; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_bddtop3_trunc_csel2_synth_preset,unsigned_square_x_times_x,hybrid_bddtop3_trunc_csel2+synth_preset,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop3_trunc_csel2.v,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop3_trunc_csel2_synth_preset.aig,1,1,1,994,49,48706,21630,2.251780,0,0,3.744,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop3_trunc_csel2; flow=synth_preset
