case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes,evaluate_py_ok,evaluate_py_adp,evaluate_py_returncode,evaluate_py_notes
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_all_depth_abc_g_aig,unknown_grouped_anf_davio_synthflow,prefix_parity_reduce_deg0_all_depth_abc_g_aig,student/work/ex280_ex284_frontend_grouped_davio_order_20260608_2338/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_all_depth.v,student/work/ex280_ex284_frontend_grouped_davio_order_synthflow_20260608_2342/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_all_depth_abc_g_aig.aig,1,1,1,592,36,21312,0.429,Yosys abc gate set aig,Yosys abc gate set aig,1,21312,0,
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split4_depth_abc_g_aig,unknown_grouped_anf_davio_synthflow,prefix_parity_reduce_deg0_split4_depth_abc_g_aig,student/work/ex280_ex284_frontend_grouped_davio_order_20260608_2338/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split4_depth.v,student/work/ex280_ex284_frontend_grouped_davio_order_synthflow_20260608_2342/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split4_depth_abc_g_aig.aig,1,1,1,631,29,18299,0.434,Yosys abc gate set aig,Yosys abc gate set aig,1,18299,0,
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high4_depth_abc_g_aig,unknown_grouped_anf_davio_synthflow,prefix_parity_reduce_deg0_high4_depth_abc_g_aig,student/work/ex280_ex284_frontend_grouped_davio_order_20260608_2338/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high4_depth.v,student/work/ex280_ex284_frontend_grouped_davio_order_synthflow_20260608_2342/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_high4_depth_abc_g_aig.aig,1,1,1,631,29,18299,0.430,Yosys abc gate set aig,Yosys abc gate set aig,1,18299,0,
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_perbit_depth_abc_g_aig,unknown_grouped_anf_davio_synthflow,prefix_parity_reduce_deg0_perbit_depth_abc_g_aig,student/work/ex280_ex284_frontend_grouped_davio_order_20260608_2338/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_perbit_depth.v,student/work/ex280_ex284_frontend_grouped_davio_order_synthflow_20260608_2342/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_perbit_depth_abc_g_aig.aig,1,1,1,677,26,17602,0.456,Yosys abc gate set aig,Yosys abc gate set aig,1,17602,0,
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg1_all_depth_abc_g_aig,unknown_grouped_anf_davio_synthflow,prefix_parity_reduce_deg1_all_depth_abc_g_aig,student/work/ex280_ex284_frontend_grouped_davio_order_20260608_2338/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg1_all_depth.v,student/work/ex280_ex284_frontend_grouped_davio_order_synthflow_20260608_2342/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg1_all_depth_abc_g_aig.aig,1,1,1,604,35,21140,0.420,Yosys abc gate set aig,Yosys abc gate set aig,1,21140,0,
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg1_split4_depth_abc_g_aig,unknown_grouped_anf_davio_synthflow,prefix_parity_reduce_deg1_split4_depth_abc_g_aig,student/work/ex280_ex284_frontend_grouped_davio_order_20260608_2338/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg1_split4_depth.v,student/work/ex280_ex284_frontend_grouped_davio_order_synthflow_20260608_2342/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg1_split4_depth_abc_g_aig.aig,1,1,1,643,27,17361,0.442,Yosys abc gate set aig,Yosys abc gate set aig,1,17361,0,
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg1_high4_depth_abc_g_aig,unknown_grouped_anf_davio_synthflow,prefix_parity_reduce_deg1_high4_depth_abc_g_aig,student/work/ex280_ex284_frontend_grouped_davio_order_20260608_2338/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg1_high4_depth.v,student/work/ex280_ex284_frontend_grouped_davio_order_synthflow_20260608_2342/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg1_high4_depth_abc_g_aig.aig,1,1,1,643,27,17361,0.443,Yosys abc gate set aig,Yosys abc gate set aig,1,17361,0,
ex280,ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg1_perbit_depth_abc_g_aig,unknown_grouped_anf_davio_synthflow,prefix_parity_reduce_deg1_perbit_depth_abc_g_aig,student/work/ex280_ex284_frontend_grouped_davio_order_20260608_2338/ex280/verilog/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg1_perbit_depth.v,student/work/ex280_ex284_frontend_grouped_davio_order_synthflow_20260608_2342/ex280/aigs/ex280_unknown_grouped_anf_davio_prefix_parity_reduce_deg1_perbit_depth_abc_g_aig.aig,1,1,1,671,29,19459,0.466,Yosys abc gate set aig,Yosys abc gate set aig,1,19459,0,
ex281,ex281_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_all_depth_abc_g_aig,unknown_grouped_anf_davio_synthflow,prefix_parity_reduce_deg0_all_depth_abc_g_aig,student/work/ex280_ex284_frontend_grouped_davio_order_20260608_2338/ex281/verilog/ex281_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_all_depth.v,student/work/ex280_ex284_frontend_grouped_davio_order_synthflow_20260608_2342/ex281/aigs/ex281_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_all_depth_abc_g_aig.aig,1,1,1,676,40,27040,0.502,Yosys abc gate set aig,Yosys abc gate set aig,1,27040,0,
ex281,ex281_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split4_depth_abc_g_aig,unknown_grouped_anf_davio_synthflow,prefix_parity_reduce_deg0_split4_depth_abc_g_aig,student/work/ex280_ex284_frontend_grouped_davio_order_20260608_2338/ex281/verilog/ex281_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split4_depth.v,student/work/ex280_ex284_frontend_grouped_davio_order_synthflow_20260608_2342/ex281/aigs/ex281_unknown_grouped_anf_davio_prefix_parity_reduce_deg0_split4_depth_abc_g_aig.aig,1,1,1,914,34,31076,0.595,Yosys abc gate set aig,Yosys abc gate set aig,1,31076,0,
