case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,items,runtime_sec,notes
ex223,ex223_fp16_log_bucket_q20_constexp_exc,fp16_log,bucket_q20_constexp_exc,student/work/ex223_ex224_frontend_fp16_log_deep2_20260606_2224/ex223/verilog/ex223_fp16_log_bucket_q20_constexp_exc.v,student/work/ex223_ex224_frontend_fp16_log_deep2_20260606_2224/ex223/aigs/ex223_fp16_log_bucket_q20_constexp_exc.aig,1,1,1,10368,45,466560,120549,3.870293,0,0,semantic_hybrid,frac_bits=20; mode=round; adjusted_q=49; failed_q=2; table_exp_groups=10; const_exp_groups=20; exceptions=1,20.456,semantic_hybrid FP16 fixed-point log semantic candidate; frac_bits=20; mode=round; adjusted_q=49; failed_q=2; table_exp_groups=10; const_exp_groups=20; exceptions=1
ex223,ex223_fp16_log_bucket_q21_constexp,fp16_log,bucket_q21_constexp,student/work/ex223_ex224_frontend_fp16_log_deep2_20260606_2224/ex223/verilog/ex223_fp16_log_bucket_q21_constexp.v,student/work/ex223_ex224_frontend_fp16_log_deep2_20260606_2224/ex223/aigs/ex223_fp16_log_bucket_q21_constexp.aig,1,1,1,10647,47,500409,120549,4.151084,0,0,semantic_exact,frac_bits=21; mode=ceil; adjusted_q=12; failed_q=0; table_exp_groups=10; const_exp_groups=20; exceptions=0,23.512,semantic_exact FP16 fixed-point log semantic candidate; frac_bits=21; mode=ceil; adjusted_q=12; failed_q=0; table_exp_groups=10; const_exp_groups=20; exceptions=0
ex223,ex223_fp16_log_bucket_q22_constexp,fp16_log,bucket_q22_constexp,student/work/ex223_ex224_frontend_fp16_log_deep2_20260606_2224/ex223/verilog/ex223_fp16_log_bucket_q22_constexp.v,student/work/ex223_ex224_frontend_fp16_log_deep2_20260606_2224/ex223/aigs/ex223_fp16_log_bucket_q22_constexp.aig,1,1,1,10985,49,538265,120549,4.465114,0,0,semantic_exact,frac_bits=22; mode=round; adjusted_q=6; failed_q=0; table_exp_groups=10; const_exp_groups=20; exceptions=0,25.952,semantic_exact FP16 fixed-point log semantic candidate; frac_bits=22; mode=round; adjusted_q=6; failed_q=0; table_exp_groups=10; const_exp_groups=20; exceptions=0
ex224,ex224_fp16_log2_bucket_q18_constexp_exc,fp16_log2,bucket_q18_constexp_exc,student/work/ex223_ex224_frontend_fp16_log_deep2_20260606_2224/ex224/verilog/ex224_fp16_log2_bucket_q18_constexp_exc.v,student/work/ex223_ex224_frontend_fp16_log_deep2_20260606_2224/ex224/aigs/ex224_fp16_log2_bucket_q18_constexp_exc.aig,1,1,1,7810,41,320210,64708,4.948538,0,0,semantic_hybrid,frac_bits=18; mode=round; adjusted_q=24; failed_q=6; table_exp_groups=8; const_exp_groups=22; exceptions=0,13.356,semantic_hybrid FP16 fixed-point log semantic candidate; frac_bits=18; mode=round; adjusted_q=24; failed_q=6; table_exp_groups=8; const_exp_groups=22; exceptions=0
ex224,ex224_fp16_log2_bucket_q19_constexp_exc,fp16_log2,bucket_q19_constexp_exc,student/work/ex223_ex224_frontend_fp16_log_deep2_20260606_2224/ex224/verilog/ex224_fp16_log2_bucket_q19_constexp_exc.v,student/work/ex223_ex224_frontend_fp16_log_deep2_20260606_2224/ex224/aigs/ex224_fp16_log2_bucket_q19_constexp_exc.aig,1,1,1,7915,33,261195,64708,4.036518,0,0,semantic_hybrid,frac_bits=19; mode=round; adjusted_q=10; failed_q=2; table_exp_groups=8; const_exp_groups=22; exceptions=0,14.728,semantic_hybrid FP16 fixed-point log semantic candidate; frac_bits=19; mode=round; adjusted_q=10; failed_q=2; table_exp_groups=8; const_exp_groups=22; exceptions=0
ex224,ex224_fp16_log2_bucket_q20_constexp,fp16_log2,bucket_q20_constexp,student/work/ex223_ex224_frontend_fp16_log_deep2_20260606_2224/ex224/verilog/ex224_fp16_log2_bucket_q20_constexp.v,student/work/ex223_ex224_frontend_fp16_log_deep2_20260606_2224/ex224/aigs/ex224_fp16_log2_bucket_q20_constexp.aig,1,1,1,8114,33,267762,64708,4.138005,0,0,semantic_exact,frac_bits=20; mode=round; adjusted_q=5; failed_q=0; table_exp_groups=8; const_exp_groups=22; exceptions=0,16.184,semantic_exact FP16 fixed-point log semantic candidate; frac_bits=20; mode=round; adjusted_q=5; failed_q=0; table_exp_groups=8; const_exp_groups=22; exceptions=0
