case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,notes,evaluate_py_ok,evaluate_py_adp,evaluate_py_returncode,evaluate_py_notes
ex223,ex223_fp16_log_bucket_q20_constexp_exc,fp16_log,bucket_q20_constexp_exc,student/work/ex223_ex224_frontend_fp16_log_deep2_20260606_2224/ex223/verilog/ex223_fp16_log_bucket_q20_constexp_exc.v,student/work/ex223_ex224_frontend_fp16_log_deep2_20260606_2224/ex223/aigs/ex223_fp16_log_bucket_q20_constexp_exc.aig,1,1,10368,45,466560,120549,3.870293,0,0,semantic_hybrid,semantic_hybrid FP16 fixed-point log semantic candidate; frac_bits=20; mode=round; adjusted_q=49; failed_q=2; table_exp_groups=10; const_exp_groups=20; exceptions=1,1,466560,0,
ex224,ex224_fp16_log2_bucket_q19_constexp_exc,fp16_log2,bucket_q19_constexp_exc,student/work/ex223_ex224_frontend_fp16_log_deep2_20260606_2224/ex224/verilog/ex224_fp16_log2_bucket_q19_constexp_exc.v,student/work/ex223_ex224_frontend_fp16_log_deep2_20260606_2224/ex224/aigs/ex224_fp16_log2_bucket_q19_constexp_exc.aig,1,1,7915,33,261195,64708,4.036518,0,0,semantic_hybrid,semantic_hybrid FP16 fixed-point log semantic candidate; frac_bits=19; mode=round; adjusted_q=10; failed_q=2; table_exp_groups=8; const_exp_groups=22; exceptions=0,1,261195,0,
