case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex260,ex260_smul_ex260_rev_hcla4_qmc_hi1_abc_g_aig,signed low4_high4:a*b,ex260_rev_hcla4_qmc_hi1+abc_g_aig,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/verilog/ex260_smul_ex260_rev_hcla4_qmc_hi1.v,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/aigs/ex260_smul_ex260_rev_hcla4_qmc_hi1_abc_g_aig.aig,1,1,1,88,15,1320,657,2.009132,0,0,0.208,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=ex260_rev_hcla4_qmc_hi1; flow=abc_g_aig
ex260,ex260_smul_ex260_rev_hcla4_qmc_hi1_wreduce_abc_g_aig,signed low4_high4:a*b,ex260_rev_hcla4_qmc_hi1+wreduce_abc_g_aig,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/verilog/ex260_smul_ex260_rev_hcla4_qmc_hi1.v,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/aigs/ex260_smul_ex260_rev_hcla4_qmc_hi1_wreduce_abc_g_aig.aig,1,1,1,87,16,1392,657,2.118721,0,0,0.210,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=ex260_rev_hcla4_qmc_hi1; flow=wreduce_abc_g_aig
ex260,ex260_smul_ex260_rev_hcla4_qmc_hi1_synth_preset_d13,signed low4_high4:a*b,ex260_rev_hcla4_qmc_hi1+synth_preset_d13,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/verilog/ex260_smul_ex260_rev_hcla4_qmc_hi1.v,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/aigs/ex260_smul_ex260_rev_hcla4_qmc_hi1_synth_preset_d13.aig,1,1,1,88,16,1408,657,2.143075,0,0,0.270,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=ex260_rev_hcla4_qmc_hi1; flow=synth_preset_d13
ex260,ex260_smul_ex260_rev_hcla4_qmc_hi1_abc_g_aig_d9,signed low4_high4:a*b,ex260_rev_hcla4_qmc_hi1+abc_g_aig_d9,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/verilog/ex260_smul_ex260_rev_hcla4_qmc_hi1.v,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/aigs/ex260_smul_ex260_rev_hcla4_qmc_hi1_abc_g_aig_d9.aig,1,1,1,88,15,1320,657,2.009132,0,0,0.204,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=ex260_rev_hcla4_qmc_hi1; flow=abc_g_aig_d9
ex260,ex260_smul_ex260_rev_hcla4_qmc_hi1_abc_g_aig_d11,signed low4_high4:a*b,ex260_rev_hcla4_qmc_hi1+abc_g_aig_d11,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/verilog/ex260_smul_ex260_rev_hcla4_qmc_hi1.v,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/aigs/ex260_smul_ex260_rev_hcla4_qmc_hi1_abc_g_aig_d11.aig,1,1,1,88,15,1320,657,2.009132,0,0,0.222,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=ex260_rev_hcla4_qmc_hi1; flow=abc_g_aig_d11
ex260,ex260_smul_ex260_rev_hcla4_qmc_hi2_abc_g_aig,signed low4_high4:a*b,ex260_rev_hcla4_qmc_hi2+abc_g_aig,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/verilog/ex260_smul_ex260_rev_hcla4_qmc_hi2.v,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/aigs/ex260_smul_ex260_rev_hcla4_qmc_hi2_abc_g_aig.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.196,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=ex260_rev_hcla4_qmc_hi2; flow=abc_g_aig
ex260,ex260_smul_ex260_rev_hcla4_qmc_hi2_wreduce_abc_g_aig,signed low4_high4:a*b,ex260_rev_hcla4_qmc_hi2+wreduce_abc_g_aig,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/verilog/ex260_smul_ex260_rev_hcla4_qmc_hi2.v,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/aigs/ex260_smul_ex260_rev_hcla4_qmc_hi2_wreduce_abc_g_aig.aig,1,1,1,89,14,1246,657,1.896499,0,0,0.199,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=ex260_rev_hcla4_qmc_hi2; flow=wreduce_abc_g_aig
ex260,ex260_smul_ex260_rev_hcla4_qmc_hi2_synth_preset_d13,signed low4_high4:a*b,ex260_rev_hcla4_qmc_hi2+synth_preset_d13,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/verilog/ex260_smul_ex260_rev_hcla4_qmc_hi2.v,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/aigs/ex260_smul_ex260_rev_hcla4_qmc_hi2_synth_preset_d13.aig,1,1,1,85,14,1190,657,1.811263,0,0,0.263,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=ex260_rev_hcla4_qmc_hi2; flow=synth_preset_d13
ex260,ex260_smul_ex260_rev_hcla4_qmc_hi2_abc_g_aig_d9,signed low4_high4:a*b,ex260_rev_hcla4_qmc_hi2+abc_g_aig_d9,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/verilog/ex260_smul_ex260_rev_hcla4_qmc_hi2.v,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/aigs/ex260_smul_ex260_rev_hcla4_qmc_hi2_abc_g_aig_d9.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.197,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=ex260_rev_hcla4_qmc_hi2; flow=abc_g_aig_d9
ex260,ex260_smul_ex260_rev_hcla4_qmc_hi2_abc_g_aig_d11,signed low4_high4:a*b,ex260_rev_hcla4_qmc_hi2+abc_g_aig_d11,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/verilog/ex260_smul_ex260_rev_hcla4_qmc_hi2.v,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/aigs/ex260_smul_ex260_rev_hcla4_qmc_hi2_abc_g_aig_d11.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.197,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=ex260_rev_hcla4_qmc_hi2; flow=abc_g_aig_d11
ex260,ex260_smul_ex260_rev_hcla4_qmc_hi3_abc_g_aig,signed low4_high4:a*b,ex260_rev_hcla4_qmc_hi3+abc_g_aig,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/verilog/ex260_smul_ex260_rev_hcla4_qmc_hi3.v,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/aigs/ex260_smul_ex260_rev_hcla4_qmc_hi3_abc_g_aig.aig,1,1,1,122,12,1464,657,2.228311,0,0,0.230,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=ex260_rev_hcla4_qmc_hi3; flow=abc_g_aig
