case,hypothesis/function_guess,candidate_count,verified_truth_count,synthesized_count,equivalent_count,semantic_exact_count,semantic_hybrid_count,structural_exact_count,best_candidate_id,best_variant,best_classification,best_area,best_delay,best_adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,top5,notes
ex285,unknown_shared_bdd_12x12,2,2,2,2,0,0,2,ex285_unknown_shared_bdd_12x12_order_8_9_10_11_0_1_2_3_4_5_6_7,order_8_9_10_11_0_1_2_3_4_5_6_7,structural_exact,794,18,14292,5499,2.599018,0,0,order_8_9_10_11_0_1_2_3_4_5_6_7:14292; order_0_11_1_10_2_9_3_8_4_7_5_6:18774,
ex286,unknown_shared_bdd_13x13,1,1,1,1,0,0,1,ex286_unknown_shared_bdd_13x13_order_0_12_1_11_2_10_3_9_4_8_5_7_6,order_0_12_1_11_2_10_3_9_4_8_5_7_6,structural_exact,1494,20,29880,2376,12.575758,0,0,order_0_12_1_11_2_10_3_9_4_8_5_7_6:29880,
ex287,unknown_shared_bdd_14x14,1,1,1,1,0,0,1,ex287_unknown_shared_bdd_14x14_order_0_13_1_12_2_11_3_10_4_9_5_8_6_7,order_0_13_1_12_2_11_3_10_4_9_5_8_6_7,structural_exact,1829,21,38409,5782,6.642857,0,0,order_0_13_1_12_2_11_3_10_4_9_5_8_6_7:38409,
ex288,unknown_shared_bdd_15x15,1,1,1,1,0,0,1,ex288_unknown_shared_bdd_15x15_order_0_14_1_13_2_12_3_11_4_10_5_9_6_8_7,order_0_14_1_13_2_12_3_11_4_10_5_9_6_8_7,structural_exact,2012,22,44264,16394,2.700012,0,0,order_0_14_1_13_2_12_3_11_4_10_5_9_6_8_7:44264,
ex289,unknown_shared_bdd_16x16,1,1,1,1,0,0,1,ex289_unknown_shared_bdd_16x16_order_0_15_1_14_2_13_3_12_4_11_5_10_6_9_7_8,order_0_15_1_14_2_13_3_12_4_11_5_10_6_9_7_8,structural_exact,1767,23,40641,13620,2.983921,0,0,order_0_15_1_14_2_13_3_12_4_11_5_10_6_9_7_8:40641,
ex290,unknown_shared_bdd_12x12,2,2,2,2,0,0,2,ex290_unknown_shared_bdd_12x12_order_8_9_10_11_0_1_2_3_4_5_6_7,order_8_9_10_11_0_1_2_3_4_5_6_7,structural_exact,3949,19,75031,42328,1.772609,0,0,order_8_9_10_11_0_1_2_3_4_5_6_7:75031; order_0_11_1_10_2_9_3_8_4_7_5_6:75202,
ex291,unknown_shared_bdd_13x13,1,1,1,1,0,0,1,ex291_unknown_shared_bdd_13x13_order_0_12_1_11_2_10_3_9_4_8_5_7_6,order_0_12_1_11_2_10_3_9_4_8_5_7_6,structural_exact,5369,21,112749,66850,1.686597,0,0,order_0_12_1_11_2_10_3_9_4_8_5_7_6:112749,
ex292,unknown_shared_bdd_14x14,1,1,1,1,0,0,1,ex292_unknown_shared_bdd_14x14_order_0_13_1_12_2_11_3_10_4_9_5_8_6_7,order_0_13_1_12_2_11_3_10_4_9_5_8_6_7,structural_exact,6827,21,143367,84854,1.689573,0,0,order_0_13_1_12_2_11_3_10_4_9_5_8_6_7:143367,
ex293,unknown_shared_bdd_15x15,1,1,1,1,0,0,1,ex293_unknown_shared_bdd_15x15_order_0_14_1_13_2_12_3_11_4_10_5_9_6_8_7,order_0_14_1_13_2_12_3_11_4_10_5_9_6_8_7,structural_exact,8599,22,189178,112966,1.674645,0,0,order_0_14_1_13_2_12_3_11_4_10_5_9_6_8_7:189178,
ex294,unknown_shared_bdd_16x16,1,1,1,1,0,0,1,ex294_unknown_shared_bdd_16x16_order_0_15_1_14_2_13_3_12_4_11_5_10_6_9_7_8,order_0_15_1_14_2_13_3_12_4_11_5_10_6_9_7_8,structural_exact,10945,24,262680,133365,1.969632,0,0,order_0_15_1_14_2_13_3_12_4_11_5_10_6_9_7_8:262680,
