case,candidate_id,hypothesis,function_guess,variant,method_signature,verilog_path,aig_path,metadata_path,verified_truth,equivalent,official_status,area,delay,adp,reference_adp,ratio_to_reference,within_1p5_reference,beats_reference,classification,selection_reason,source_kind,source_csv,source_run,source_verilog_path,source_aig_path,source_evaluate_log,aig_sha256,verilog_sha256,notes
ex200,ex200_r94_sep_fields_e4_m3_s0_bits_14_bh2,bf16_exp,,separate output fields plus selected exponent-msb predicate,ex200|shared_bf16_exp_field_shell|sep_fields_e4_m3_s0_bits_14_bh2|shared sign_exp special/default shell; mantissa hi3 residual; bit14 split|yosys_abc_g_AND_aigmap|DAZ_exp_BF16_RNE_FTZ_canonical_NaN|source_level_output_grouping,student/new_seeds/bf16/ex200_ex219_backend_candidates_20260614_2011/ex200/verilog/ex200_r94_sep_fields_e4_m3_s0_bits_14_bh2.v,student/new_seeds/bf16/ex200_ex219_backend_candidates_20260614_2011/ex200/aigs/ex200_r94_sep_fields_e4_m3_s0_bits_14_bh2.aig,student/new_seeds/bf16/ex200_ex219_backend_candidates_20260614_2011/ex200/metadata/ex200_r94_sep_fields_e4_m3_s0_bits_14_bh2.json,1,1,OK,3650,16,58400,40052,1.458104,1,0,frontend_verified,backend_start_diverse_noncurrent,frontend_campaign_shard,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-exp-log-r94/candidates.csv,frontend_bf16_unknown_struct_round94_20260614_0552,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex200/verilog/ex200_r94_sep_fields_e4_m3_s0_bits_14_bh2.v,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex200/aigs/ex200_r94_sep_fields_e4_m3_s0_bits_14_bh2.aig,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex200/logs/ex200_r94_sep_fields_e4_m3_s0_bits_14_bh2.evaluate.py.log,c7029113828c76737de5e3ed35bfab6efd3eddab81ad46f7d1b7a50476885cf6,17fbc8cc8c7bf77781fe3311172c9bbae432a601b9c7dfc44121eea5c940c0a1,separate fields exp_hi=4 mant_hi=3 sign_hi=0 items=3252; sep bit overrides bits=14 bit_hi_bits=2 bit_items=26; official evaluate.py OK; runtime_sec=2.804
ex200,ex200_selected_highbits_low12_hilo3_abc_g_aig,bf16_exp_selected_bit_residual_predicate,,selected_highbits_low12_hilo3,ex200|bf16_exp_selected_bit_residual_predicate|low12_hilo3_highbits_15_12_runs|shared_sign_exp_decode_highbit_predicates_low12_hilo|yosys_abc_g_aig|abc_xf_official_evaluate|full_word_selected_highbits_low12,student/new_seeds/bf16/ex200_ex219_backend_candidates_20260614_2011/ex200/verilog/ex200_selected_highbits_low12_hilo3_abc_g_aig.v,student/new_seeds/bf16/ex200_ex219_backend_candidates_20260614_2011/ex200/aigs/ex200_selected_highbits_low12_hilo3_abc_g_aig.aig,student/new_seeds/bf16/ex200_ex219_backend_candidates_20260614_2011/ex200/metadata/ex200_selected_highbits_low12_hilo3_abc_g_aig.json,1,1,OK,3895,15,58425,40052,1.458729,1,0,frontend_verified,backend_start_diverse_noncurrent,frontend_campaign_shard,student/frontend_campaigns/campaigns/ex200_ex299_frontend_refgap_round3_20260612_1554/agent_shards/unary-r3/candidates.csv,ex200_ex299_frontend_refgap_round3_20260612_1554,student/work/ex200_ex299_frontend_refgap_round3_20260612_1554/unary-r3/ex200/verilog/ex200_selected_highbits_low12_hilo3.v,student/work/ex200_ex299_frontend_refgap_round3_20260612_1554/unary-r3/ex200/aigs/ex200_selected_highbits_low12_hilo3_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round3_20260612_1554/unary-r3/ex200/official_eval/ex200_selected_highbits_low12_hilo3_abc_g_aig.evaluate.py.log,9013e0059321c772237230b6c65704b39b175b3f6de8bfc26bbbf2cb88fe1e8b,f0a9b53f335e6e0d57d3e125380e71a35ecac060315df9b0554f81df4db6392d,"selected high output-bit predicates over BF16 sign/exponent groups plus low nested LUT; low_width=12; hi_bits=3; lo_bits=4; const_groups=480; hi_groups=256; low_items=3601; b15:runs=512,max=1,const=512; b14:runs=514,max=2,const=510; b13:runs=516,max=2,const=508; b12:runs=520,max=2,const=504; runtime_sec=3.583"
ex200,ex200_semantic_default_one_casez_saturation_replay_abc_g_aig,bf16_exp_semantic_shell_replay,,semantic_default_one_casez_saturation_replay+abc_g_aig,ex200|bf16_exp_semantic_shell_replay|default_one_casez_saturation_source_replay|shared sign/exponent saturation decode plus active mantissa cases|abc_g_aig|DAZ+exp+BF16_RNE+FTZ|full word semantic shell,student/new_seeds/bf16/ex200_ex219_backend_candidates_20260614_2011/ex200/verilog/ex200_semantic_default_one_casez_saturation_replay_abc_g_aig.v,student/new_seeds/bf16/ex200_ex219_backend_candidates_20260614_2011/ex200/aigs/ex200_semantic_default_one_casez_saturation_replay_abc_g_aig.aig,student/new_seeds/bf16/ex200_ex219_backend_candidates_20260614_2011/ex200/metadata/ex200_semantic_default_one_casez_saturation_replay_abc_g_aig.json,1,1,OK,3702,16,59232,40052,1.478877,1,0,frontend_verified,backend_start_diverse_noncurrent,frontend_campaign_shard,student/frontend_campaigns/campaigns/ex200_ex299_frontend_refgap_round8_20260612_1826/agent_shards/mixed-r8/candidates.csv,ex200_ex299_frontend_refgap_round8_20260612_1826,student/seeds/bf16/ex200_ex219_current/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation.v,student/work/ex200_ex299_frontend_refgap_round8_20260612_1826/mixed-r8/ex200/aigs/ex200_semantic_default_one_casez_saturation_replay_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round8_20260612_1826/mixed-r8/ex200/official_eval/ex200_semantic_default_one_casez_saturation_replay_abc_g_aig.evaluate.py.log,44657ea40f3a1e0439b3b15fabf48eb6212bd87233b99a146a1fc3c1a6bc4157,4e42b786d41a4c71d59f79e843df360f9b2221fe3183e895e9ab957617d9a5a1,source replay runtime_sec=1.791
ex200,ex200_semantic_exp_default_one_casez_all_special_abc_g_aig,bf16_exp_daz_rne_ftz,,abc_g_aig,ex200|bf16_exp_unary_semantic_shell|shared_special_case_shell|shared special-case decode plus direct mantissa LUT|yosys_abc_g_aig|DAZ+exp+BF16_RNE+FTZ|full word output grouped by sign_exp/mant,student/new_seeds/bf16/ex200_ex219_backend_candidates_20260614_2011/ex200/verilog/ex200_semantic_exp_default_one_casez_all_special_abc_g_aig.v,student/new_seeds/bf16/ex200_ex219_backend_candidates_20260614_2011/ex200/aigs/ex200_semantic_exp_default_one_casez_all_special_abc_g_aig.aig,student/new_seeds/bf16/ex200_ex219_backend_candidates_20260614_2011/ex200/metadata/ex200_semantic_exp_default_one_casez_all_special_abc_g_aig.json,1,1,OK,3737,16,59792,40052,1.492859,1,0,frontend_verified,backend_start_diverse_noncurrent,frontend_campaign_shard,student/frontend_campaigns/campaigns/ex200_ex299_frontend_parallel_shared_20260612_1422/agent_shards/bf16-agent/candidates.csv,ex200_ex299_frontend_parallel_shared_20260612_1422,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_casez_all_special.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/aigs/ex200_semantic_exp_default_one_casez_all_special_abc_g_aig.aig,,6cedfad22fb5c1d98575e453b99c7b4931f800729e863d4ee3175afc0ee92e61,c5b83d37386e49fc25292f3940fdf3fc18094d43664a7b2c10ccc9eff188cd39,Yosys abc gate set aig
ex200,ex200_semantic_exp_default_one_parallel_casez_saturation_synth_preset,bf16_exp_daz_rne_ftz,,synth_preset,ex200|bf16_exp_unary_semantic_shell|current_frontend_seed_copy|shared special-case decode plus direct mantissa LUT|yosys_synth_preset|DAZ+exp+BF16_RNE+FTZ|full word output grouped by sign_exp/mant,student/new_seeds/bf16/ex200_ex219_backend_candidates_20260614_2011/ex200/verilog/ex200_semantic_exp_default_one_parallel_casez_saturation_synth_preset.v,student/new_seeds/bf16/ex200_ex219_backend_candidates_20260614_2011/ex200/aigs/ex200_semantic_exp_default_one_parallel_casez_saturation_synth_preset.aig,student/new_seeds/bf16/ex200_ex219_backend_candidates_20260614_2011/ex200/metadata/ex200_semantic_exp_default_one_parallel_casez_saturation_synth_preset.json,1,1,OK,3637,17,61829,40052,1.543718,0,0,frontend_verified,backend_start_diverse_noncurrent,frontend_campaign_shard,student/frontend_campaigns/campaigns/ex200_ex299_frontend_parallel_shared_20260612_1422/agent_shards/bf16-agent/candidates.csv,ex200_ex299_frontend_parallel_shared_20260612_1422,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation__seedcopy.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/aigs/ex200_semantic_exp_default_one_parallel_casez_saturation_synth_preset.aig,,02b38b6b91cbf894a81487946d5f4aed6e1ae06f17de497a4d8356e5feadb521,4e42b786d41a4c71d59f79e843df360f9b2221fe3183e895e9ab957617d9a5a1,Yosys synth preset with flatten
ex200,ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation,bf16_exp_semantic_exp_default,,one_parallel_casez_saturation,ex200|bf16_exp_semantic_exp_default|one_parallel_casez_saturation|shared_sign_exp_decode_and_parallel_casez|yosys_abc_g_aig|abc_xf_official_evaluate|full_word_semantic_exp,student/new_seeds/bf16/ex200_ex219_backend_candidates_20260614_2011/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation.v,student/new_seeds/bf16/ex200_ex219_backend_candidates_20260614_2011/ex200/aigs/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation.aig,student/new_seeds/bf16/ex200_ex219_backend_candidates_20260614_2011/ex200/metadata/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation.json,1,1,OK,3717,17,63189,40052,1.577674,0,0,frontend_verified,backend_start_diverse_noncurrent,frontend_campaign_results,student/frontend_campaigns/campaigns/ex200_ex299_frontend_refgap_round4_20260612_1705/results/candidates.csv,ex200_ex299_frontend_refgap_round4_20260612_1705,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/unary-r4/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation.v,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/unary-r4/ex200/aigs/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation.aig,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/unary-r4/ex200/logs/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation.evaluate.log,759c0927c8b8029d657e815faf635c93dcf22ee25cb4721f0371bcc8e03ca31d,4e42b786d41a4c71d59f79e843df360f9b2221fe3183e895e9ab957617d9a5a1,coordinator-filled from official evaluate.py log; equivalent but worse than frontend best
ex201,ex201_bf16_exp2_hilo3_field_mode_bits_3_8_bh1,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hilo3_field_mode_bits_3_8_bh1,bf16_exp2,student/new_seeds/bf16/ex200_ex219_backend_candidates_20260614_2011/ex201/verilog/ex201_bf16_exp2_hilo3_field_mode_bits_3_8_bh1.v,student/new_seeds/bf16/ex200_ex219_backend_candidates_20260614_2011/ex201/aigs/ex201_bf16_exp2_hilo3_field_mode_bits_3_8_bh1.aig,student/new_seeds/bf16/ex200_ex219_backend_candidates_20260614_2011/ex201/metadata/ex201_bf16_exp2_hilo3_field_mode_bits_3_8_bh1.json,1,1,OK,1655,14,23170,16300,1.421472,1,0,frontend_verified,backend_start_diverse_noncurrent,student_runs,student/runs/bf16/ex200_ex219_current/results/candidates.csv,ex201_ex204_frontend_semantic_continue_20260605_1732,student/work/ex201_ex204_frontend_semantic_continue_20260605_1732/ex201/verilog/ex201_bf16_exp2_hilo3_field_mode_bits_3_8_bh1.v,student/work/ex201_ex204_frontend_semantic_continue_20260605_1732/ex201/aigs/ex201_bf16_exp2_hilo3_field_mode_bits_3_8_bh1.aig,,20609e1cef3068e088607e11829c6a6e60a925e9927a37b2d6561b82712f065a,b83b8ee4245c96b79e64aa3318f9403e822c1972f2155e8c273993c7c40024e5,hilo3 field mode base with bit overrides bits=3_8 bit_hi_bits=1 items=4305
ex201,ex201_bf16_exp2_sep_fields_e3_m3_s0_bits_14_cmp,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,sep_fields_e3_m3_s0_bits_14_cmp,bf16_exp2,student/new_seeds/bf16/ex200_ex219_backend_candidates_20260614_2011/ex201/verilog/ex201_bf16_exp2_sep_fields_e3_m3_s0_bits_14_cmp.v,student/new_seeds/bf16/ex200_ex219_backend_candidates_20260614_2011/ex201/aigs/ex201_bf16_exp2_sep_fields_e3_m3_s0_bits_14_cmp.aig,student/new_seeds/bf16/ex200_ex219_backend_candidates_20260614_2011/ex201/metadata/ex201_bf16_exp2_sep_fields_e3_m3_s0_bits_14_cmp.json,1,1,OK,1620,15,24300,16300,1.490798,1,0,frontend_verified,backend_start_diverse_noncurrent,student_runs,student/runs/bf16/ex200_ex219_current/results/candidates.csv,ex201_ex204_frontend_semantic_continue_20260605_1732,student/work/ex201_ex204_frontend_semantic_continue_20260605_1732/ex201/verilog/ex201_bf16_exp2_sep_fields_e3_m3_s0_bits_14_cmp.v,student/work/ex201_ex204_frontend_semantic_continue_20260605_1732/ex201/aigs/ex201_bf16_exp2_sep_fields_e3_m3_s0_bits_14_cmp.aig,,3dd176a048c7bf65ba3089a50f3fdcc65beec68b62c734f902fbc76a2dcf9a83,32550648be38cf9897503bfe335766d7054a1f75b9109116dea0ab0766e1fc5c,separate fields exp_hi=3 mant_hi=3 sign_hi=0 items=3122; sep bit overrides bits=14 bit_hi_bits=cmp bit_items=4
ex201,ex201_bf16_exp2_hilo2_field_mode,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hilo2_field_mode,bf16_exp2,student/new_seeds/bf16/ex200_ex219_backend_candidates_20260614_2011/ex201/verilog/ex201_bf16_exp2_hilo2_field_mode.v,student/new_seeds/bf16/ex200_ex219_backend_candidates_20260614_2011/ex201/aigs/ex201_bf16_exp2_hilo2_field_mode.aig,student/new_seeds/bf16/ex200_ex219_backend_candidates_20260614_2011/ex201/metadata/ex201_bf16_exp2_hilo2_field_mode.json,1,1,OK,1629,15,24435,16300,1.499080,1,0,frontend_verified,backend_start_diverse_noncurrent,student_runs,student/runs/bf16/ex200_ex219_current/results/candidates.csv,ex201_ex204_frontend_semantic_continue_20260605_1732,student/work/ex201_ex204_frontend_semantic_continue_20260605_1732/ex201/verilog/ex201_bf16_exp2_hilo2_field_mode.v,student/work/ex201_ex204_frontend_semantic_continue_20260605_1732/ex201/aigs/ex201_bf16_exp2_hilo2_field_mode.aig,,a416f0ed82d575186815119936f5827dda5a3a6bcae833a1cb66030d93a40bbd,351434d9ae0a598a0261c0196872527fac67bf22dcca22e5fd6b4a4ab49b0f00,hi_lo split field_mode=True hi_bits=2 default_mode=default_override items=2769
ex201,ex201_r94_sep_fields_e3_m3_s0_bits_2_3_bh1,bf16_exp2,,separate output fields plus paired low-bit predicates,ex201|shared_bf16_exp2_field_shell|sep_fields_e3_m3_s0_bits_2_3_bh1|shared sign_exp special/default shell; bit2/bit3 residual grouped separately|yosys_abc_g_AND_aigmap|DAZ_exp2_BF16_RNE_FTZ_canonical_NaN|source_level_output_grouping,student/new_seeds/bf16/ex200_ex219_backend_candidates_20260614_2011/ex201/verilog/ex201_r94_sep_fields_e3_m3_s0_bits_2_3_bh1.v,student/new_seeds/bf16/ex200_ex219_backend_candidates_20260614_2011/ex201/aigs/ex201_r94_sep_fields_e3_m3_s0_bits_2_3_bh1.aig,student/new_seeds/bf16/ex200_ex219_backend_candidates_20260614_2011/ex201/metadata/ex201_r94_sep_fields_e3_m3_s0_bits_2_3_bh1.json,1,1,OK,1633,15,24495,16300,1.502761,0,0,frontend_verified,backend_start_diverse_noncurrent,frontend_campaign_shard,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-exp-log-r94/candidates.csv,frontend_bf16_unknown_struct_round94_20260614_0552,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex201/verilog/ex201_r94_sep_fields_e3_m3_s0_bits_2_3_bh1.v,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex201/aigs/ex201_r94_sep_fields_e3_m3_s0_bits_2_3_bh1.aig,student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-exp-log-r94/ex201/logs/ex201_r94_sep_fields_e3_m3_s0_bits_2_3_bh1.evaluate.py.log,bdce1198de34e2c461e89802b50f73840bb8eee78214ba4f856e96ccd89da96d,cd891a275cafe0303bd9a1e02f2e9e37bbf2fca8a36d18c7aeccf411315ba4df,separate fields exp_hi=3 mant_hi=3 sign_hi=0 items=3122; sep bit overrides bits=2_3 bit_hi_bits=1 bit_items=2338; official evaluate.py OK; runtime_sec=2.211
