case,metric,key,value,detail
ex286,topk_score_family,singleton_vote:identity:bias=center,84/8192,bit_matches=59236/106496;first=x=0x3;expected=0xc;got=0x60
ex286,topk_score_family,singleton_vote:identity:bias=desc,80/8192,bit_matches=58466/106496;first=x=0x3;expected=0xc;got=0x60
ex286,topk_score_family,singleton_vote:identity:bias=none,80/8192,bit_matches=58466/106496;first=x=0x3;expected=0xc;got=0x60
ex286,topk_score_family,singleton_vote:identity:bias=asc,72/8192,bit_matches=59420/106496;first=x=0x3;expected=0xc;got=0x60
ex286,topk_score_family,singleton_vote:identity:bias=edge,71/8192,bit_matches=58820/106496;first=x=0x3;expected=0xc;got=0x60
ex286,topk_score_family,"prefix_suffix:reverse:a=3,b=2,bias=desc",30/8192,bit_matches=58440/106496;first=x=0x1;expected=0x40;got=0x1000
ex286,topk_score_family,"prefix_suffix:reverse:a=3,b=2,bias=none",30/8192,bit_matches=58440/106496;first=x=0x1;expected=0x40;got=0x1000
ex286,topk_score_family,singleton_distance:identity:bias=edge,29/8192,bit_matches=58130/106496;first=x=0x3;expected=0xc;got=0x60
ex286,topk_score_family,singleton_distance:identity:bias=center,29/8192,bit_matches=58070/106496;first=x=0x3;expected=0xc;got=0x60
ex286,topk_score_family,"prefix_suffix:identity:a=2,b=1,bias=desc",28/8192,bit_matches=58696/106496;first=x=0x1;expected=0x40;got=0x1
ex286,topk_score_family,"prefix_suffix:identity:a=2,b=1,bias=none",28/8192,bit_matches=58696/106496;first=x=0x1;expected=0x40;got=0x1
ex286,topk_score_family,"prefix_suffix:identity:a=3,b=2,bias=center",28/8192,bit_matches=58594/106496;first=x=0x1;expected=0x40;got=0x1
ex286,topk_score_family,singleton_distance:identity:bias=asc,26/8192,bit_matches=58106/106496;first=x=0x3;expected=0xc;got=0x60
ex286,topk_score_family,singleton_distance:identity:bias=desc,24/8192,bit_matches=58086/106496;first=x=0x3;expected=0xc;got=0x60
ex286,topk_score_family,singleton_distance:identity:bias=none,24/8192,bit_matches=58086/106496;first=x=0x3;expected=0xc;got=0x60
ex286,layer_image,w0,1,"rows=1;fixed=0=0,1=0,2=0,3=0,4=0,5=0,6=0,7=0,8=0,9=0,10=0,11=0,12=0"
ex286,layer_image,w1,8,"rows=13;fixed=0=0,4=0,7=0,10=0,12=0"
ex286,layer_image,w2,36,rows=78;fixed=
ex286,layer_image,w3,103,rows=286;fixed=
ex286,layer_image,w4,219,rows=715;fixed=
ex286,layer_image,w5,336,rows=1287;fixed=
ex286,layer_image,w6,417,rows=1716;fixed=
ex286,layer_image,w7,417,rows=1716;fixed=
ex286,layer_image,w8,336,rows=1287;fixed=
ex286,layer_image,w9,214,rows=715;fixed=
ex286,layer_image,w10,102,rows=286;fixed=
ex286,layer_image,w11,36,rows=78;fixed=
ex286,layer_image,w12,7,"rows=13;fixed=0=1,3=1,5=1,7=1,11=1,12=1"
ex286,layer_image,w13,1,"rows=1;fixed=0=1,1=1,2=1,3=1,4=1,5=1,6=1,7=1,8=1,9=1,10=1,11=1,12=1"
