case,domain,agent_id,candidate_id,simulation_pass,log_path,notes
ex246,float_fp8,local-fp8-source-r50,ex246_ex246_semantic_mul_sigprodcode_dc_seed12_set11to10_default_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-source-r50,ex246_ex246_semantic_mul_sigprodcode_dc_seed12_set11to10_extra_share_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-source-r50,ex246_ex246_semantic_mul_sigprodcode_dc_seed12_set11to10_abc_g_aig_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-source-r50,ex246_ex246_semantic_mul_sigprodcode_dc_seed12_set11to10_synth_preset_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-source-r50,ex246_ex246_semantic_mul_product_possible_class_default_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-source-r50,ex246_ex246_semantic_mul_product_possible_class_extra_share_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-source-r50,ex246_ex246_semantic_mul_product_possible_class_abc_g_aig_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-source-r50,ex246_ex246_semantic_mul_product_possible_class_synth_preset_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-source-r50,ex246_ex246_semantic_mul_product_attr_shared_default_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-source-r50,ex246_ex246_semantic_mul_product_attr_shared_extra_share_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-source-r50,ex246_ex246_semantic_mul_product_attr_shared_abc_g_aig_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-source-r50,ex246_ex246_semantic_mul_product_attr_shared_synth_preset_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-source-r50,ex246_ex246_semantic_mul_sigpair_attr_shared_default_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-source-r50,ex246_ex246_semantic_mul_sigpair_attr_shared_extra_share_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-source-r50,ex246_ex246_semantic_mul_sigpair_attr_shared_abc_g_aig_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-source-r50,ex246_ex246_semantic_mul_sigpair_attr_shared_synth_preset_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-source-r50,ex246_ex246_semantic_mul_normsplit_attr_default_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-source-r50,ex246_ex246_semantic_mul_normsplit_attr_extra_share_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-source-r50,ex246_ex246_semantic_mul_normsplit_attr_abc_g_aig_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-source-r50,ex246_ex246_semantic_mul_normsplit_attr_synth_preset_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-source-r50,ex246_ex246_semantic_mul_logcode_default_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-source-r50,ex246_ex246_semantic_mul_logcode_extra_share_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-source-r50,ex246_ex246_semantic_mul_logcode_abc_g_aig_raw,not_run,,official evaluate.py used for final verification
ex246,float_fp8,local-fp8-source-r50,ex246_ex246_semantic_mul_logcode_synth_preset_raw,not_run,,official evaluate.py used for final verification
ex247,float_fp8,local-fp8-source-r50,ex247_ex247_semantic_div_bound_smallpat_nested_den_default_raw,not_run,,official evaluate.py used for final verification
ex247,float_fp8,local-fp8-source-r50,ex247_ex247_semantic_div_bound_smallpat_nested_den_extra_share_raw,not_run,,official evaluate.py used for final verification
ex247,float_fp8,local-fp8-source-r50,ex247_ex247_semantic_div_bound_smallpat_nested_den_abc_g_aig_raw,not_run,,official evaluate.py used for final verification
ex247,float_fp8,local-fp8-source-r50,ex247_ex247_semantic_div_bound_smallpat_nested_den_synth_preset_raw,not_run,,official evaluate.py used for final verification
ex247,float_fp8,local-fp8-source-r50,ex247_ex247_semantic_div_bound_smallpat_nested_num_default_raw,not_run,,official evaluate.py used for final verification
ex247,float_fp8,local-fp8-source-r50,ex247_ex247_semantic_div_bound_smallpat_nested_num_extra_share_raw,not_run,,official evaluate.py used for final verification
ex247,float_fp8,local-fp8-source-r50,ex247_ex247_semantic_div_bound_smallpat_nested_num_abc_g_aig_raw,not_run,,official evaluate.py used for final verification
ex247,float_fp8,local-fp8-source-r50,ex247_ex247_semantic_div_bound_smallpat_nested_num_synth_preset_raw,not_run,,official evaluate.py used for final verification
ex247,float_fp8,local-fp8-source-r50,ex247_ex247_semantic_div_sigpair_split_attr_default_raw,not_run,,official evaluate.py used for final verification
ex247,float_fp8,local-fp8-source-r50,ex247_ex247_semantic_div_sigpair_split_attr_extra_share_raw,not_run,,official evaluate.py used for final verification
ex247,float_fp8,local-fp8-source-r50,ex247_ex247_semantic_div_sigpair_split_attr_abc_g_aig_raw,not_run,,official evaluate.py used for final verification
ex247,float_fp8,local-fp8-source-r50,ex247_ex247_semantic_div_sigpair_split_attr_synth_preset_raw,not_run,,official evaluate.py used for final verification
ex247,float_fp8,local-fp8-source-r50,ex247_ex247_semantic_div_sigpair_possible_class_default_raw,not_run,,official evaluate.py used for final verification
ex247,float_fp8,local-fp8-source-r50,ex247_ex247_semantic_div_sigpair_possible_class_extra_share_raw,not_run,,official evaluate.py used for final verification
ex247,float_fp8,local-fp8-source-r50,ex247_ex247_semantic_div_sigpair_possible_class_abc_g_aig_raw,not_run,,official evaluate.py used for final verification
ex247,float_fp8,local-fp8-source-r50,ex247_ex247_semantic_div_sigpair_possible_class_synth_preset_raw,not_run,,official evaluate.py used for final verification
ex247,float_fp8,local-fp8-source-r50,ex247_ex247_semantic_div_normsplit_attr_default_raw,not_run,,official evaluate.py used for final verification
ex247,float_fp8,local-fp8-source-r50,ex247_ex247_semantic_div_normsplit_attr_extra_share_raw,not_run,,official evaluate.py used for final verification
ex247,float_fp8,local-fp8-source-r50,ex247_ex247_semantic_div_normsplit_attr_abc_g_aig_raw,not_run,,official evaluate.py used for final verification
ex247,float_fp8,local-fp8-source-r50,ex247_ex247_semantic_div_normsplit_attr_synth_preset_raw,not_run,,official evaluate.py used for final verification
ex247,float_fp8,local-fp8-source-r50,ex247_ex247_semantic_div_logcode_default_raw,not_run,,official evaluate.py used for final verification
ex247,float_fp8,local-fp8-source-r50,ex247_ex247_semantic_div_logcode_extra_share_raw,not_run,,official evaluate.py used for final verification
ex247,float_fp8,local-fp8-source-r50,ex247_ex247_semantic_div_logcode_abc_g_aig_raw,not_run,,official evaluate.py used for final verification
ex247,float_fp8,local-fp8-source-r50,ex247_ex247_semantic_div_logcode_synth_preset_raw,not_run,,official evaluate.py used for final verification
