case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes,evaluate_py_ok,evaluate_py_adp,evaluate_py_returncode,evaluate_py_notes
ex280,ex280_unknown_factorized_anf_prefix_parity_reduce_floor,unknown_factorized_anf,prefix_parity_reduce_floor,student/work/ex280_ex284_frontend_factorized_anf_20260608_2108/ex280/verilog/ex280_unknown_factorized_anf_prefix_parity_reduce_floor.v,student/work/ex280_ex284_frontend_factorized_anf_20260608_2108/ex280/aigs/ex280_unknown_factorized_anf_prefix_parity_reduce_floor.aig,1,1,1,1756,28,49168,1.151,transform=prefix_parity_reduce; split=floor; low_width=6; high_width=6; high_groups=44; low_monomials=44; coeff_terms=279; anf_terms=932; hash=6f0efb315184,unknown split-factorized ANF Verilog seed,1,49168,0,
ex280,ex280_unknown_factorized_anf_prefix_parity_reduce_ceil,unknown_factorized_anf,prefix_parity_reduce_ceil,student/work/ex280_ex284_frontend_factorized_anf_20260608_2108/ex280/verilog/ex280_unknown_factorized_anf_prefix_parity_reduce_ceil.v,student/work/ex280_ex284_frontend_factorized_anf_20260608_2108/ex280/aigs/ex280_unknown_factorized_anf_prefix_parity_reduce_ceil.aig,1,1,1,1756,28,49168,1.150,transform=prefix_parity_reduce; split=ceil; low_width=6; high_width=6; high_groups=44; low_monomials=44; coeff_terms=279; anf_terms=932; hash=6f0efb315184,unknown split-factorized ANF Verilog seed,1,49168,0,
ex281,ex281_unknown_factorized_anf_prefix_parity_reduce_floor,unknown_factorized_anf,prefix_parity_reduce_floor,student/work/ex280_ex284_frontend_factorized_anf_20260608_2108/ex281/verilog/ex281_unknown_factorized_anf_prefix_parity_reduce_floor.v,student/work/ex280_ex284_frontend_factorized_anf_20260608_2108/ex281/aigs/ex281_unknown_factorized_anf_prefix_parity_reduce_floor.aig,1,1,1,2076,27,56052,1.842,transform=prefix_parity_reduce; split=floor; low_width=6; high_width=7; high_groups=64; low_monomials=44; coeff_terms=379; anf_terms=1160; hash=153d6dcfa731,unknown split-factorized ANF Verilog seed,1,56052,0,
ex281,ex281_unknown_factorized_anf_prefix_parity_reduce_ceil,unknown_factorized_anf,prefix_parity_reduce_ceil,student/work/ex280_ex284_frontend_factorized_anf_20260608_2108/ex281/verilog/ex281_unknown_factorized_anf_prefix_parity_reduce_ceil.v,student/work/ex280_ex284_frontend_factorized_anf_20260608_2108/ex281/aigs/ex281_unknown_factorized_anf_prefix_parity_reduce_ceil.aig,1,1,1,1984,27,53568,1.793,transform=prefix_parity_reduce; split=ceil; low_width=7; high_width=6; high_groups=44; low_monomials=64; coeff_terms=295; anf_terms=1160; hash=1a263a8d0b44,unknown split-factorized ANF Verilog seed,1,53568,0,
ex282,ex282_unknown_factorized_anf_prefix_parity_reduce_floor,unknown_factorized_anf,prefix_parity_reduce_floor,student/work/ex280_ex284_frontend_factorized_anf_20260608_2108/ex282/verilog/ex282_unknown_factorized_anf_prefix_parity_reduce_floor.v,student/work/ex280_ex284_frontend_factorized_anf_20260608_2108/ex282/aigs/ex282_unknown_factorized_anf_prefix_parity_reduce_floor.aig,1,1,1,2471,31,76601,3.280,transform=prefix_parity_reduce; split=floor; low_width=7; high_width=7; high_groups=64; low_monomials=64; coeff_terms=403; anf_terms=1400; hash=4c65a2e38833,unknown split-factorized ANF Verilog seed,1,76601,0,
ex282,ex282_unknown_factorized_anf_prefix_parity_reduce_ceil,unknown_factorized_anf,prefix_parity_reduce_ceil,student/work/ex280_ex284_frontend_factorized_anf_20260608_2108/ex282/verilog/ex282_unknown_factorized_anf_prefix_parity_reduce_ceil.v,student/work/ex280_ex284_frontend_factorized_anf_20260608_2108/ex282/aigs/ex282_unknown_factorized_anf_prefix_parity_reduce_ceil.aig,1,1,1,2471,31,76601,3.231,transform=prefix_parity_reduce; split=ceil; low_width=7; high_width=7; high_groups=64; low_monomials=64; coeff_terms=403; anf_terms=1400; hash=4c65a2e38833,unknown split-factorized ANF Verilog seed,1,76601,0,
ex283,ex283_unknown_factorized_anf_prefix_parity_reduce_floor,unknown_factorized_anf,prefix_parity_reduce_floor,student/work/ex280_ex284_frontend_factorized_anf_20260608_2108/ex283/verilog/ex283_unknown_factorized_anf_prefix_parity_reduce_floor.v,student/work/ex280_ex284_frontend_factorized_anf_20260608_2108/ex283/aigs/ex283_unknown_factorized_anf_prefix_parity_reduce_floor.aig,1,1,1,2671,30,80130,6.491,transform=prefix_parity_reduce; split=floor; low_width=7; high_width=8; high_groups=88; low_monomials=64; coeff_terms=522; anf_terms=1676; hash=6e8f4b1ce463,unknown split-factorized ANF Verilog seed,1,80130,0,
ex283,ex283_unknown_factorized_anf_prefix_parity_reduce_ceil,unknown_factorized_anf,prefix_parity_reduce_ceil,student/work/ex280_ex284_frontend_factorized_anf_20260608_2108/ex283/verilog/ex283_unknown_factorized_anf_prefix_parity_reduce_ceil.v,student/work/ex280_ex284_frontend_factorized_anf_20260608_2108/ex283/aigs/ex283_unknown_factorized_anf_prefix_parity_reduce_ceil.aig,1,1,1,2712,31,84072,6.548,transform=prefix_parity_reduce; split=ceil; low_width=8; high_width=7; high_groups=64; low_monomials=88; coeff_terms=422; anf_terms=1676; hash=35935ebbeb73,unknown split-factorized ANF Verilog seed,1,84072,0,
ex284,ex284_unknown_factorized_anf_prefix_parity_reduce_floor,unknown_factorized_anf,prefix_parity_reduce_floor,student/work/ex280_ex284_frontend_factorized_anf_20260608_2108/ex284/verilog/ex284_unknown_factorized_anf_prefix_parity_reduce_floor.v,student/work/ex280_ex284_frontend_factorized_anf_20260608_2108/ex284/aigs/ex284_unknown_factorized_anf_prefix_parity_reduce_floor.aig,1,1,1,3251,31,100781,13.665,transform=prefix_parity_reduce; split=floor; low_width=8; high_width=8; high_groups=88; low_monomials=88; coeff_terms=550; anf_terms=1964; hash=5afea5759481,unknown split-factorized ANF Verilog seed,1,100781,0,
ex284,ex284_unknown_factorized_anf_prefix_parity_reduce_ceil,unknown_factorized_anf,prefix_parity_reduce_ceil,student/work/ex280_ex284_frontend_factorized_anf_20260608_2108/ex284/verilog/ex284_unknown_factorized_anf_prefix_parity_reduce_ceil.v,student/work/ex280_ex284_frontend_factorized_anf_20260608_2108/ex284/aigs/ex284_unknown_factorized_anf_prefix_parity_reduce_ceil.aig,1,1,1,3251,31,100781,13.395,transform=prefix_parity_reduce; split=ceil; low_width=8; high_width=8; high_groups=88; low_monomials=88; coeff_terms=550; anf_terms=1964; hash=5afea5759481,unknown split-factorized ANF Verilog seed,1,100781,0,
