case,candidate_id,area,delay,adp,reference_adp,adp_ratio_to_reference,current_best_adp,delta_vs_current,beats_current,variant,items,notes
ex280,ex280_unknown_factorized_anf_prefix_parity_reduce_floor,1756,28,49168,2415,20.359420,17220,31948,0,prefix_parity_reduce_floor,transform=prefix_parity_reduce; split=floor; low_width=6; high_width=6; high_groups=44; low_monomials=44; coeff_terms=279; anf_terms=932; hash=6f0efb315184,unknown split-factorized ANF Verilog seed
ex281,ex281_unknown_factorized_anf_prefix_parity_reduce_ceil,1984,27,53568,2336,22.931507,20592,32976,0,prefix_parity_reduce_ceil,transform=prefix_parity_reduce; split=ceil; low_width=7; high_width=6; high_groups=44; low_monomials=64; coeff_terms=295; anf_terms=1160; hash=1a263a8d0b44,unknown split-factorized ANF Verilog seed
ex282,ex282_unknown_factorized_anf_prefix_parity_reduce_floor,2471,31,76601,2704,28.328772,28740,47861,0,prefix_parity_reduce_floor,transform=prefix_parity_reduce; split=floor; low_width=7; high_width=7; high_groups=64; low_monomials=64; coeff_terms=403; anf_terms=1400; hash=4c65a2e38833,unknown split-factorized ANF Verilog seed
ex283,ex283_unknown_factorized_anf_prefix_parity_reduce_floor,2671,30,80130,3168,25.293561,34317,45813,0,prefix_parity_reduce_floor,transform=prefix_parity_reduce; split=floor; low_width=7; high_width=8; high_groups=88; low_monomials=64; coeff_terms=522; anf_terms=1676; hash=6e8f4b1ce463,unknown split-factorized ANF Verilog seed
ex284,ex284_unknown_factorized_anf_prefix_parity_reduce_floor,3251,31,100781,4240,23.769104,42624,58157,0,prefix_parity_reduce_floor,transform=prefix_parity_reduce; split=floor; low_width=8; high_width=8; high_groups=88; low_monomials=88; coeff_terms=550; anf_terms=1964; hash=5afea5759481,unknown split-factorized ANF Verilog seed
