case,candidate_id,hypothesis,variant,verilog_path,aig_path,area,delay,adp,items,notes
ex280,ex280_unknown_factorized_anf_prefix_parity_reduce_floor,unknown_factorized_anf,prefix_parity_reduce_floor,student/work/ex280_ex284_frontend_factorized_anf_20260608_2108/ex280/verilog/ex280_unknown_factorized_anf_prefix_parity_reduce_floor.v,student/work/ex280_ex284_frontend_factorized_anf_20260608_2108/ex280/aigs/ex280_unknown_factorized_anf_prefix_parity_reduce_floor.aig,1756,28,49168,transform=prefix_parity_reduce; split=floor; low_width=6; high_width=6; high_groups=44; low_monomials=44; coeff_terms=279; anf_terms=932; hash=6f0efb315184,unknown split-factorized ANF Verilog seed
ex281,ex281_unknown_factorized_anf_prefix_parity_reduce_ceil,unknown_factorized_anf,prefix_parity_reduce_ceil,student/work/ex280_ex284_frontend_factorized_anf_20260608_2108/ex281/verilog/ex281_unknown_factorized_anf_prefix_parity_reduce_ceil.v,student/work/ex280_ex284_frontend_factorized_anf_20260608_2108/ex281/aigs/ex281_unknown_factorized_anf_prefix_parity_reduce_ceil.aig,1984,27,53568,transform=prefix_parity_reduce; split=ceil; low_width=7; high_width=6; high_groups=44; low_monomials=64; coeff_terms=295; anf_terms=1160; hash=1a263a8d0b44,unknown split-factorized ANF Verilog seed
ex282,ex282_unknown_factorized_anf_prefix_parity_reduce_floor,unknown_factorized_anf,prefix_parity_reduce_floor,student/work/ex280_ex284_frontend_factorized_anf_20260608_2108/ex282/verilog/ex282_unknown_factorized_anf_prefix_parity_reduce_floor.v,student/work/ex280_ex284_frontend_factorized_anf_20260608_2108/ex282/aigs/ex282_unknown_factorized_anf_prefix_parity_reduce_floor.aig,2471,31,76601,transform=prefix_parity_reduce; split=floor; low_width=7; high_width=7; high_groups=64; low_monomials=64; coeff_terms=403; anf_terms=1400; hash=4c65a2e38833,unknown split-factorized ANF Verilog seed
ex283,ex283_unknown_factorized_anf_prefix_parity_reduce_floor,unknown_factorized_anf,prefix_parity_reduce_floor,student/work/ex280_ex284_frontend_factorized_anf_20260608_2108/ex283/verilog/ex283_unknown_factorized_anf_prefix_parity_reduce_floor.v,student/work/ex280_ex284_frontend_factorized_anf_20260608_2108/ex283/aigs/ex283_unknown_factorized_anf_prefix_parity_reduce_floor.aig,2671,30,80130,transform=prefix_parity_reduce; split=floor; low_width=7; high_width=8; high_groups=88; low_monomials=64; coeff_terms=522; anf_terms=1676; hash=6e8f4b1ce463,unknown split-factorized ANF Verilog seed
ex284,ex284_unknown_factorized_anf_prefix_parity_reduce_floor,unknown_factorized_anf,prefix_parity_reduce_floor,student/work/ex280_ex284_frontend_factorized_anf_20260608_2108/ex284/verilog/ex284_unknown_factorized_anf_prefix_parity_reduce_floor.v,student/work/ex280_ex284_frontend_factorized_anf_20260608_2108/ex284/aigs/ex284_unknown_factorized_anf_prefix_parity_reduce_floor.aig,3251,31,100781,transform=prefix_parity_reduce; split=floor; low_width=8; high_width=8; high_groups=88; low_monomials=88; coeff_terms=550; anf_terms=1964; hash=5afea5759481,unknown split-factorized ANF Verilog seed
