case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex260,ex260_smul_baugh_wooley_rows_plus_abc_g_aig,signed low4_high4:a*b,baugh_wooley_rows_plus+abc_g_aig,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex260/verilog/ex260_smul_baugh_wooley_rows_plus.v,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex260/aigs/ex260_smul_baugh_wooley_rows_plus_abc_g_aig.aig,1,1,1,92,14,1288,657,1.960426,0,0,0.587,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_rows_plus; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_rows_plus_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_rows_plus+wreduce_abc_g_aig,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex260/verilog/ex260_smul_baugh_wooley_rows_plus.v,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex260/aigs/ex260_smul_baugh_wooley_rows_plus_wreduce_abc_g_aig.aig,1,1,1,93,14,1302,657,1.981735,0,0,1.748,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_rows_plus; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_rows_plus_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_rows_plus+synth_preset_d13,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex260/verilog/ex260_smul_baugh_wooley_rows_plus.v,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex260/aigs/ex260_smul_baugh_wooley_rows_plus_synth_preset_d13.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.576,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_rows_plus; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_rows_plus_synth_preset_d18,signed low4_high4:a*b,baugh_wooley_rows_plus+synth_preset_d18,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex260/verilog/ex260_smul_baugh_wooley_rows_plus.v,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex260/aigs/ex260_smul_baugh_wooley_rows_plus_synth_preset_d18.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.274,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_rows_plus; flow=synth_preset_d18
ex260,ex260_smul_baugh_wooley_rows_cla_abc_g_aig,signed low4_high4:a*b,baugh_wooley_rows_cla+abc_g_aig,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex260/verilog/ex260_smul_baugh_wooley_rows_cla.v,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex260/aigs/ex260_smul_baugh_wooley_rows_cla_abc_g_aig.aig,1,1,1,94,14,1316,657,2.003044,0,0,0.213,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_rows_cla; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_rows_cla_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_rows_cla+wreduce_abc_g_aig,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex260/verilog/ex260_smul_baugh_wooley_rows_cla.v,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex260/aigs/ex260_smul_baugh_wooley_rows_cla_wreduce_abc_g_aig.aig,1,1,1,94,14,1316,657,2.003044,0,0,0.215,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_rows_cla; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_rows_cla_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_rows_cla+synth_preset_d13,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex260/verilog/ex260_smul_baugh_wooley_rows_cla.v,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex260/aigs/ex260_smul_baugh_wooley_rows_cla_synth_preset_d13.aig,1,1,1,94,14,1316,657,2.003044,0,0,0.276,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_rows_cla; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_rows_cla_synth_preset_d18,signed low4_high4:a*b,baugh_wooley_rows_cla+synth_preset_d18,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex260/verilog/ex260_smul_baugh_wooley_rows_cla.v,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex260/aigs/ex260_smul_baugh_wooley_rows_cla_synth_preset_d18.aig,1,1,1,94,14,1316,657,2.003044,0,0,0.274,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_rows_cla; flow=synth_preset_d18
ex260,ex260_smul_baugh_wooley_rows_hcla4_abc_g_aig,signed low4_high4:a*b,baugh_wooley_rows_hcla4+abc_g_aig,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex260/verilog/ex260_smul_baugh_wooley_rows_hcla4.v,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex260/aigs/ex260_smul_baugh_wooley_rows_hcla4_abc_g_aig.aig,1,1,1,95,14,1330,657,2.024353,0,0,0.212,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_rows_hcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_rows_hcla4_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_rows_hcla4+wreduce_abc_g_aig,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex260/verilog/ex260_smul_baugh_wooley_rows_hcla4.v,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex260/aigs/ex260_smul_baugh_wooley_rows_hcla4_wreduce_abc_g_aig.aig,1,1,1,95,14,1330,657,2.024353,0,0,0.218,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_rows_hcla4; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_rows_hcla4_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_rows_hcla4+synth_preset_d13,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex260/verilog/ex260_smul_baugh_wooley_rows_hcla4.v,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex260/aigs/ex260_smul_baugh_wooley_rows_hcla4_synth_preset_d13.aig,1,1,1,94,14,1316,657,2.003044,0,0,0.272,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_rows_hcla4; flow=synth_preset_d13
