case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex261,ex261_smul_baugh_wooley_rows_cla_synth_preset_d13,1,174,21,3654,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex261/aigs/ex261_smul_baugh_wooley_rows_cla_synth_preset_d13.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_rows_cla; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_rows_cla_synth_preset_d18,1,174,21,3654,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex261/aigs/ex261_smul_baugh_wooley_rows_cla_synth_preset_d18.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_rows_cla; flow=synth_preset_d18
ex261,ex261_smul_baugh_wooley_rows_hcla4_abc_g_aig,1,174,19,3306,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex261/aigs/ex261_smul_baugh_wooley_rows_hcla4_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_rows_hcla4; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_rows_hcla4_wreduce_abc_g_aig,1,178,18,3204,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex261/aigs/ex261_smul_baugh_wooley_rows_hcla4_wreduce_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_rows_hcla4; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_rows_hcla4_synth_preset_d13,1,173,20,3460,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex261/aigs/ex261_smul_baugh_wooley_rows_hcla4_synth_preset_d13.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_rows_hcla4; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_rows_hcla4_synth_preset_d18,1,173,20,3460,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex261/aigs/ex261_smul_baugh_wooley_rows_hcla4_synth_preset_d18.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_rows_hcla4; flow=synth_preset_d18
ex261,ex261_smul_baugh_wooley_wallace_hcla4_abc_g_aig,1,164,18,2952,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig,1,164,18,2952,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla4; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_hcla4_synth_preset_d13,1,164,18,2952,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_synth_preset_d13.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_hcla4_synth_preset_d18,1,164,18,2952,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_synth_preset_d18.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d18
