case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex260,ex260_smul_split_half_signed_abc_g_aig,signed low4_high4:a*b,split_half_signed+abc_g_aig,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/verilog/ex260_smul_split_half_signed.v,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_split_half_signed_abc_g_aig.aig,1,1,1,96,20,1920,657,2.922374,0,0,0.216,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=split_half_signed; flow=abc_g_aig
ex260,ex260_smul_split_half_signed_wreduce_abc_g_aig,signed low4_high4:a*b,split_half_signed+wreduce_abc_g_aig,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/verilog/ex260_smul_split_half_signed.v,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_split_half_signed_wreduce_abc_g_aig.aig,1,1,1,95,20,1900,657,2.891933,0,0,0.214,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=split_half_signed; flow=wreduce_abc_g_aig
ex260,ex260_smul_split_half_signed_synth_preset_d9,signed low4_high4:a*b,split_half_signed+synth_preset_d9,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/verilog/ex260_smul_split_half_signed.v,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_split_half_signed_synth_preset_d9.aig,1,1,1,96,14,1344,657,2.045662,0,0,0.243,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=split_half_signed; flow=synth_preset_d9
ex260,ex260_smul_split_half_signed_synth_preset_d13,signed low4_high4:a*b,split_half_signed+synth_preset_d13,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/verilog/ex260_smul_split_half_signed.v,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_split_half_signed_synth_preset_d13.aig,1,1,1,96,14,1344,657,2.045662,0,0,0.264,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=split_half_signed; flow=synth_preset_d13
ex260,ex260_smul_split_half_signed_synth_preset_d18,signed low4_high4:a*b,split_half_signed+synth_preset_d18,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/verilog/ex260_smul_split_half_signed.v,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_split_half_signed_synth_preset_d18.aig,1,1,1,96,14,1344,657,2.045662,0,0,0.250,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=split_half_signed; flow=synth_preset_d18
ex260,ex260_smul_split_half_abs_abc_g_aig,signed low4_high4:a*b,split_half_abs+abc_g_aig,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/verilog/ex260_smul_split_half_abs.v,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_split_half_abs_abc_g_aig.aig,1,1,1,103,21,2163,657,3.292237,0,0,0.246,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=split_half_abs; flow=abc_g_aig
ex260,ex260_smul_split_half_abs_wreduce_abc_g_aig,signed low4_high4:a*b,split_half_abs+wreduce_abc_g_aig,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/verilog/ex260_smul_split_half_abs.v,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_split_half_abs_wreduce_abc_g_aig.aig,1,1,1,103,21,2163,657,3.292237,0,0,0.253,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=split_half_abs; flow=wreduce_abc_g_aig
ex260,ex260_smul_split_half_abs_synth_preset_d9,signed low4_high4:a*b,split_half_abs+synth_preset_d9,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/verilog/ex260_smul_split_half_abs.v,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_split_half_abs_synth_preset_d9.aig,1,1,1,103,17,1751,657,2.665145,0,0,0.305,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=split_half_abs; flow=synth_preset_d9
ex260,ex260_smul_split_half_abs_synth_preset_d13,signed low4_high4:a*b,split_half_abs+synth_preset_d13,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/verilog/ex260_smul_split_half_abs.v,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_split_half_abs_synth_preset_d13.aig,1,1,1,103,17,1751,657,2.665145,0,0,0.304,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=split_half_abs; flow=synth_preset_d13
ex260,ex260_smul_split_half_abs_synth_preset_d18,signed low4_high4:a*b,split_half_abs+synth_preset_d18,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/verilog/ex260_smul_split_half_abs.v,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_split_half_abs_synth_preset_d18.aig,1,1,1,103,17,1751,657,2.665145,0,0,0.307,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=split_half_abs; flow=synth_preset_d18
ex260,ex260_smul_baugh_wooley_wallace_hcla2_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_hcla2+abc_g_aig,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla2.v,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla2_abc_g_aig.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.258,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla2; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_hcla2_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_hcla2+wreduce_abc_g_aig,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla2.v,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla2_wreduce_abc_g_aig.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.212,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla2; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_hcla2_synth_preset_d9,signed low4_high4:a*b,baugh_wooley_wallace_hcla2+synth_preset_d9,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla2.v,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla2_synth_preset_d9.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.256,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla2; flow=synth_preset_d9
ex260,ex260_smul_baugh_wooley_wallace_hcla2_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_hcla2+synth_preset_d13,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla2.v,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla2_synth_preset_d13.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.252,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla2; flow=synth_preset_d13
