case,domain,agent_id,candidate_id,hypothesis,representation,shared_structure,notes
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_delta_case_attrs_default_raw,FP8 source predicate/table restructuring,ex249_delta_case_attrs + default + raw,original delta case with full/parallel case attributes,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_delta_case_attrs_extra_share_raw,FP8 source predicate/table restructuring,ex249_delta_case_attrs + extra_share + raw,original delta case with full/parallel case attributes,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_delta_case_attrs_abc_g_aig_raw,FP8 source predicate/table restructuring,ex249_delta_case_attrs + abc_g_aig + raw,original delta case with full/parallel case attributes,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_delta_case_attrs_synth_preset_raw,FP8 source predicate/table restructuring,ex249_delta_case_attrs + synth_preset + raw,original delta case with full/parallel case attributes,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_split_delta_pred_default_raw,FP8 source predicate/table restructuring,ex249_split_delta_pred + default + raw,split delta table into shared inc1/inc2 predicates,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_split_delta_pred_extra_share_raw,FP8 source predicate/table restructuring,ex249_split_delta_pred + extra_share + raw,split delta table into shared inc1/inc2 predicates,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_split_delta_pred_abc_g_aig_raw,FP8 source predicate/table restructuring,ex249_split_delta_pred + abc_g_aig + raw,split delta table into shared inc1/inc2 predicates,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_split_delta_pred_synth_preset_raw,FP8 source predicate/table restructuring,ex249_split_delta_pred + synth_preset + raw,split delta table into shared inc1/inc2 predicates,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_inc_mux_delta_pred_default_raw,FP8 source predicate/table restructuring,ex249_inc_mux_delta_pred + default + raw,split delta predicates and mux plus-one/plus-two carry paths,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_inc_mux_delta_pred_extra_share_raw,FP8 source predicate/table restructuring,ex249_inc_mux_delta_pred + extra_share + raw,split delta predicates and mux plus-one/plus-two carry paths,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_inc_mux_delta_pred_abc_g_aig_raw,FP8 source predicate/table restructuring,ex249_inc_mux_delta_pred + abc_g_aig + raw,split delta predicates and mux plus-one/plus-two carry paths,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_inc_mux_delta_pred_synth_preset_raw,FP8 source predicate/table restructuring,ex249_inc_mux_delta_pred + synth_preset + raw,split delta predicates and mux plus-one/plus-two carry paths,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_effgap_split_delta_default_raw,FP8 source predicate/table restructuring,ex249_effgap_split_delta + default + raw,effective exponent gap plus split inc predicates,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_effgap_split_delta_extra_share_raw,FP8 source predicate/table restructuring,ex249_effgap_split_delta + extra_share + raw,effective exponent gap plus split inc predicates,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_effgap_split_delta_abc_g_aig_raw,FP8 source predicate/table restructuring,ex249_effgap_split_delta + abc_g_aig + raw,effective exponent gap plus split inc predicates,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_effgap_split_delta_synth_preset_raw,FP8 source predicate/table restructuring,ex249_effgap_split_delta + synth_preset + raw,effective exponent gap plus split inc predicates,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_effgap_inc_mux_default_raw,FP8 source predicate/table restructuring,ex249_effgap_inc_mux + default + raw,effective exponent gap with muxed increment paths,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_effgap_inc_mux_extra_share_raw,FP8 source predicate/table restructuring,ex249_effgap_inc_mux + extra_share + raw,effective exponent gap with muxed increment paths,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_effgap_inc_mux_abc_g_aig_raw,FP8 source predicate/table restructuring,ex249_effgap_inc_mux + abc_g_aig + raw,effective exponent gap with muxed increment paths,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_effgap_inc_mux_synth_preset_raw,FP8 source predicate/table restructuring,ex249_effgap_inc_mux + synth_preset + raw,effective exponent gap with muxed increment paths,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_direct_carry_delta_default_raw,FP8 source predicate/table restructuring,ex249_direct_carry_delta + default + raw,split delta predicates with hand-written limited carry incrementer,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_direct_carry_delta_extra_share_raw,FP8 source predicate/table restructuring,ex249_direct_carry_delta + extra_share + raw,split delta predicates with hand-written limited carry incrementer,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_direct_carry_delta_abc_g_aig_raw,FP8 source predicate/table restructuring,ex249_direct_carry_delta + abc_g_aig + raw,split delta predicates with hand-written limited carry incrementer,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_direct_carry_delta_synth_preset_raw,FP8 source predicate/table restructuring,ex249_direct_carry_delta + synth_preset + raw,split delta predicates with hand-written limited carry incrementer,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_effgap_direct_carry_default_raw,FP8 source predicate/table restructuring,ex249_effgap_direct_carry + default + raw,effective exponent gap with hand-written limited carry incrementer,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_effgap_direct_carry_extra_share_raw,FP8 source predicate/table restructuring,ex249_effgap_direct_carry + extra_share + raw,effective exponent gap with hand-written limited carry incrementer,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_effgap_direct_carry_abc_g_aig_raw,FP8 source predicate/table restructuring,ex249_effgap_direct_carry + abc_g_aig + raw,effective exponent gap with hand-written limited carry incrementer,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_effgap_direct_carry_synth_preset_raw,FP8 source predicate/table restructuring,ex249_effgap_direct_carry + synth_preset + raw,effective exponent gap with hand-written limited carry incrementer,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_or_pred_delta_default_raw,FP8 source predicate/table restructuring,ex249_or_pred_delta + default + raw,equality-OR delta predicates for shared inc1/inc2,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_or_pred_delta_extra_share_raw,FP8 source predicate/table restructuring,ex249_or_pred_delta + extra_share + raw,equality-OR delta predicates for shared inc1/inc2,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_or_pred_delta_abc_g_aig_raw,FP8 source predicate/table restructuring,ex249_or_pred_delta + abc_g_aig + raw,equality-OR delta predicates for shared inc1/inc2,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex249,float_fp8,local-ex249-source-r54,ex249_ex249_or_pred_delta_synth_preset_raw,FP8 source predicate/table restructuring,ex249_or_pred_delta + synth_preset + raw,equality-OR delta predicates for shared inc1/inc2,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
