case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,items,classification,notes
ex244,ex244_semantic_hypot_sig_gap_delta_default,fp8_e4m3fn_hypot_abs,semantic_hypot_sig_gap_delta_default,student/work/ex244_frontend_fp8_hypot_sig_threshold_20260608_1216/ex244/verilog/ex244_semantic_hypot_sig_gap_delta.v,student/work/ex244_frontend_fp8_hypot_sig_threshold_20260608_1216/ex244/aigs/ex244_semantic_hypot_sig_gap_delta_default.aig,1,1,1,358,37,13246,4272,3.100655,0,0,0.754,hypot max + exact sig/gap delta table with saturation cap,semantic_exact,hypot max + exact sig/gap delta table with saturation cap
ex244,ex244_semantic_hypot_sig_gap_delta_abc_g_aig,fp8_e4m3fn_hypot_abs,semantic_hypot_sig_gap_delta_abc_g_aig,student/work/ex244_frontend_fp8_hypot_sig_threshold_20260608_1216/ex244/verilog/ex244_semantic_hypot_sig_gap_delta.v,student/work/ex244_frontend_fp8_hypot_sig_threshold_20260608_1216/ex244/aigs/ex244_semantic_hypot_sig_gap_delta_abc_g_aig.aig,1,1,1,344,36,12384,4272,2.898876,0,0,0.764,hypot max + exact sig/gap delta table with saturation cap,semantic_exact,hypot max + exact sig/gap delta table with saturation cap
ex244,ex244_semantic_hypot_sig_gap_delta_synth_preset,fp8_e4m3fn_hypot_abs,semantic_hypot_sig_gap_delta_synth_preset,student/work/ex244_frontend_fp8_hypot_sig_threshold_20260608_1216/ex244/verilog/ex244_semantic_hypot_sig_gap_delta.v,student/work/ex244_frontend_fp8_hypot_sig_threshold_20260608_1216/ex244/aigs/ex244_semantic_hypot_sig_gap_delta_synth_preset.aig,1,1,1,339,38,12882,4272,3.015449,0,0,0.910,hypot max + exact sig/gap delta table with saturation cap,semantic_exact,hypot max + exact sig/gap delta table with saturation cap
ex244,ex244_semantic_hypot_sig_gap_delta_synth_preset_aig,fp8_e4m3fn_hypot_abs,semantic_hypot_sig_gap_delta_synth_preset_aig,student/work/ex244_frontend_fp8_hypot_sig_threshold_20260608_1216/ex244/verilog/ex244_semantic_hypot_sig_gap_delta.v,student/work/ex244_frontend_fp8_hypot_sig_threshold_20260608_1216/ex244/aigs/ex244_semantic_hypot_sig_gap_delta_synth_preset_aig.aig,1,1,1,327,38,12426,4272,2.908708,0,0,0.909,hypot max + exact sig/gap delta table with saturation cap,semantic_exact,hypot max + exact sig/gap delta table with saturation cap
ex244,ex244_semantic_hypot_sig_gap_threshold_default,fp8_e4m3fn_hypot_abs,semantic_hypot_sig_gap_threshold_default,student/work/ex244_frontend_fp8_hypot_sig_threshold_20260608_1216/ex244/verilog/ex244_semantic_hypot_sig_gap_threshold.v,student/work/ex244_frontend_fp8_hypot_sig_threshold_20260608_1216/ex244/aigs/ex244_semantic_hypot_sig_gap_threshold_default.aig,1,1,0,,,,4272,,,,0.734,hypot exact sig/gap min-significand threshold runs with saturation cap,semantic_exact,hypot exact sig/gap min-significand threshold runs with saturation cap
ex244,ex244_semantic_hypot_sig_gap_threshold_abc_g_aig,fp8_e4m3fn_hypot_abs,semantic_hypot_sig_gap_threshold_abc_g_aig,student/work/ex244_frontend_fp8_hypot_sig_threshold_20260608_1216/ex244/verilog/ex244_semantic_hypot_sig_gap_threshold.v,student/work/ex244_frontend_fp8_hypot_sig_threshold_20260608_1216/ex244/aigs/ex244_semantic_hypot_sig_gap_threshold_abc_g_aig.aig,1,1,0,,,,4272,,,,0.732,hypot exact sig/gap min-significand threshold runs with saturation cap,semantic_exact,hypot exact sig/gap min-significand threshold runs with saturation cap
ex244,ex244_semantic_hypot_sig_gap_threshold_synth_preset,fp8_e4m3fn_hypot_abs,semantic_hypot_sig_gap_threshold_synth_preset,student/work/ex244_frontend_fp8_hypot_sig_threshold_20260608_1216/ex244/verilog/ex244_semantic_hypot_sig_gap_threshold.v,student/work/ex244_frontend_fp8_hypot_sig_threshold_20260608_1216/ex244/aigs/ex244_semantic_hypot_sig_gap_threshold_synth_preset.aig,1,1,0,,,,4272,,,,0.844,hypot exact sig/gap min-significand threshold runs with saturation cap,semantic_exact,hypot exact sig/gap min-significand threshold runs with saturation cap
ex244,ex244_semantic_hypot_sig_gap_threshold_synth_preset_aig,fp8_e4m3fn_hypot_abs,semantic_hypot_sig_gap_threshold_synth_preset_aig,student/work/ex244_frontend_fp8_hypot_sig_threshold_20260608_1216/ex244/verilog/ex244_semantic_hypot_sig_gap_threshold.v,student/work/ex244_frontend_fp8_hypot_sig_threshold_20260608_1216/ex244/aigs/ex244_semantic_hypot_sig_gap_threshold_synth_preset_aig.aig,1,1,0,,,,4272,,,,0.845,hypot exact sig/gap min-significand threshold runs with saturation cap,semantic_exact,hypot exact sig/gap min-significand threshold runs with saturation cap
