case,input_bit,word_change_pairs,word_change_fraction,changed_output_bits
ex280,0,2028,0.990234,0:1:2:3:4:5:6:7:8:9:10:11
ex280,1,1996,0.974609,0:1:2:3:4:5:6:7:8:9:10:11
ex280,2,2000,0.976562,0:1:2:3:4:5:6:7:8:9:10:11
ex280,3,1998,0.975586,0:1:2:3:4:5:6:7:8:9:10:11
ex280,4,1992,0.972656,1:2:3:4:5:6:7:8:9:10:11
ex280,5,1982,0.967773,2:4:5:6:7:8:9:10:11
ex280,6,2021,0.986816,3:4:5:6:7:8:9:10:11
ex280,7,1976,0.964844,2:4:5:6:7:8:9:10:11
ex280,8,1910,0.932617,1:3:4:5:6:7:8:9:10:11
ex280,9,1814,0.885742,0:2:3:4:5:6:7:8:9:10:11
ex280,10,1674,0.817383,1:2:3:4:5:6:7:8:9:10:11
ex280,11,1470,0.717773,0:1:2:3:4:5:6:7:8:9:10:11
ex281,0,4073,0.994385,0:1:2:3:4:5:6:7:8:9:10:11:12
ex281,1,4030,0.983887,0:1:2:3:4:5:6:7:8:9:10:11:12
ex281,2,4037,0.985596,0:1:2:3:4:5:6:7:8:9:10:11:12
ex281,3,4041,0.986572,0:1:2:3:4:5:6:7:8:9:10:11:12
ex281,4,4026,0.982910,1:2:3:4:5:6:7:8:9:10:11:12
ex281,5,4015,0.980225,2:3:4:5:6:7:8:9:10:11:12
ex281,6,4011,0.979248,3:4:5:6:7:8:9:10:11:12
ex281,7,4012,0.979492,3:4:5:6:7:8:9:10:11:12
ex281,8,3940,0.961914,2:4:5:6:7:8:9:10:11:12
ex281,9,3811,0.930420,1:3:4:5:6:7:8:9:10:11:12
ex281,10,3614,0.882324,0:2:3:4:5:6:7:8:9:10:11:12
ex281,11,3348,0.817383,1:2:3:4:5:6:7:8:9:10:11:12
ex281,12,2936,0.716797,0:1:2:3:4:5:6:7:8:9:10:11:12
ex282,0,8151,0.994995,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex282,1,8084,0.986816,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex282,2,8091,0.987671,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex282,3,8086,0.987061,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex282,4,8071,0.985229,1:2:3:4:5:6:7:8:9:10:11:12:13
ex282,5,8052,0.982910,2:3:4:5:6:7:8:9:10:11:12:13
ex282,6,8042,0.981689,3:5:6:7:8:9:10:11:12:13
ex282,7,8133,0.992798,4:5:6:7:8:9:10:11:12:13
ex282,8,8030,0.980225,3:5:6:7:8:9:10:11:12:13
ex282,9,7915,0.966187,2:4:5:6:7:8:9:10:11:12:13
ex282,10,7656,0.934570,1:3:4:5:6:7:8:9:10:11:12:13
ex282,11,7260,0.886230,0:2:3:4:5:6:7:8:9:10:11:12:13
ex282,12,6708,0.818848,1:2:3:4:5:6:7:8:9:10:11:12:13
ex282,13,5888,0.718750,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex283,0,16337,0.997131,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14
ex283,1,16246,0.991577,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14
ex283,2,16261,0.992493,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14
ex283,3,16266,0.992798,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14
ex283,4,16239,0.991150,1:2:3:4:5:6:7:8:9:10:11:12:13:14
ex283,5,16207,0.989197,2:3:4:5:6:7:8:9:10:11:12:13:14
ex283,6,16195,0.988464,3:4:5:6:7:8:9:10:11:12:13:14
ex283,7,16195,0.988464,4:5:6:7:8:9:10:11:12:13:14
ex283,8,16199,0.988708,4:5:6:7:8:9:10:11:12:13:14
ex283,9,16038,0.978882,3:5:6:7:8:9:10:11:12:13:14
ex283,10,15807,0.964783,2:4:5:6:7:8:9:10:11:12:13:14
ex283,11,15304,0.934082,1:3:4:5:6:7:8:9:10:11:12:13:14
ex283,12,14493,0.884583,0:2:3:4:5:6:7:8:9:10:11:12:13:14
ex283,13,13419,0.819031,1:2:3:4:5:6:7:8:9:10:11:12:13:14
ex283,14,11760,0.717773,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14
ex284,0,32682,0.997375,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex284,1,32543,0.993134,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex284,2,32558,0.993591,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex284,3,32546,0.993225,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex284,4,32511,0.992157,1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex284,5,32466,0.990784,2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex284,6,32452,0.990356,3:4:5:6:7:8:9:10:11:12:13:14:15
ex284,7,32434,0.989807,4:6:7:8:9:10:11:12:13:14:15
ex284,8,32639,0.996063,5:6:7:8:9:10:11:12:13:14:15
ex284,9,32399,0.988739,4:6:7:8:9:10:11:12:13:14:15
ex284,10,32156,0.981323,3:5:6:7:8:9:10:11:12:13:14:15
ex284,11,31675,0.966644,2:4:5:6:7:8:9:10:11:12:13:14:15
ex284,12,30660,0.935669,1:3:4:5:6:7:8:9:10:11:12:13:14:15
ex284,13,29048,0.886475,0:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex284,14,26859,0.819672,1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex284,15,23544,0.718506,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex285,0,2048,1.000000,0:1:2:3:4:5:6:7:8:9:10:11
ex285,1,2048,1.000000,0:1:2:3:4:5:6:7:8:9:10:11
ex285,2,2048,1.000000,0:1:2:3:4:5:6:7:8:9:10:11
ex285,3,2048,1.000000,0:1:2:3:4:5:6:7:8:9:10:11
ex285,4,2048,1.000000,0:1:2:3:4:5:6:7:8:9:10:11
ex285,5,2048,1.000000,0:1:2:3:4:5:6:7:8:9:10:11
ex285,6,2048,1.000000,0:1:2:3:4:5:6:7:8:9:10:11
ex285,7,2048,1.000000,0:1:2:3:4:5:6:7:8:9:10:11
ex285,8,2048,1.000000,0:1:2:3:4:5:6:7:8:9:10:11
ex285,9,2048,1.000000,0:1:2:3:4:5:6:7:8:9:10:11
ex285,10,2048,1.000000,0:1:2:3:4:5:6:7:8:9:10:11
ex285,11,2048,1.000000,0:1:2:3:8:9:10:11
ex286,0,4096,1.000000,0:1:2:3:4:5:6:7:8:9:10:11:12
ex286,1,4096,1.000000,0:1:2:3:4:5:6:7:8:9:10:11:12
ex286,2,4096,1.000000,0:1:2:3:4:5:6:7:8:9:10:11:12
ex286,3,4096,1.000000,0:1:2:3:4:5:6:7:8:9:10:11:12
ex286,4,4096,1.000000,0:1:2:3:4:5:6:7:8:9:10:11:12
ex286,5,4096,1.000000,0:1:2:3:4:5:6:7:8:9:10:11:12
ex286,6,4096,1.000000,0:1:2:3:4:5:6:7:8:9:10:11:12
ex286,7,4096,1.000000,0:1:2:3:4:5:6:7:8:9:10:11:12
ex286,8,4096,1.000000,0:1:2:3:4:8:9:10:11:12
ex286,9,4096,1.000000,0:1:2:3:4:5:6:7:8:9:10:11:12
ex286,10,4096,1.000000,0:1:2:3:4:5:6:7:8:9:10:11:12
ex286,11,4096,1.000000,0:1:2:3:4:5:6:7:8:9:10:11:12
ex286,12,4096,1.000000,0:1:2:3:4:8:9:10:11:12
ex287,0,8192,1.000000,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex287,1,8192,1.000000,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex287,2,8192,1.000000,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex287,3,8192,1.000000,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex287,4,8192,1.000000,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex287,5,8192,1.000000,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex287,6,8192,1.000000,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex287,7,8192,1.000000,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex287,8,8192,1.000000,0:1:2:3:4:5:8:9:10:11:12:13
ex287,9,8192,1.000000,0:1:2:3:4:5:8:9:10:11:12:13
ex287,10,8192,1.000000,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex287,11,8192,1.000000,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex287,12,8192,1.000000,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex287,13,8192,1.000000,0:1:2:3:4:5:8:9:10:11:12:13
ex288,0,16384,1.000000,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14
ex288,1,16384,1.000000,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14
ex288,2,16384,1.000000,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14
ex288,3,16384,1.000000,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14
ex288,4,16384,1.000000,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14
ex288,5,16384,1.000000,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14
ex288,6,16384,1.000000,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14
ex288,7,16384,1.000000,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14
ex288,8,16384,1.000000,0:1:2:3:4:5:6:8:9:10:11:12:13:14
