case,rank,variant,rotate,outer,outer_bits,inner_bits,exceptions,exception_fraction,full_default_groups
ex280,1,rotate0_low11,0,low,11,1,1470,0.358887,578
ex280,2,rotate1_high11,1,high,11,1,1470,0.358887,578
ex280,3,rotate1_low11,1,low,11,1,1674,0.408691,374
ex280,4,rotate2_high11,2,high,11,1,1674,0.408691,374
ex280,5,rotate2_low11,2,low,11,1,1814,0.442871,234
ex280,6,rotate3_high11,3,high,11,1,1814,0.442871,234
ex280,7,rotate3_low11,3,low,11,1,1910,0.466309,138
ex280,8,rotate4_high11,4,high,11,1,1910,0.466309,138
ex280,9,rotate4_low11,4,low,11,1,1976,0.482422,72
ex280,10,rotate5_high11,5,high,11,1,1976,0.482422,72
ex280,11,rotate6_low11,6,low,11,1,1982,0.483887,66
ex280,12,rotate7_high11,7,high,11,1,1982,0.483887,66
ex281,1,rotate0_low12,0,low,12,1,2936,0.358398,1160
ex281,2,rotate1_high12,1,high,12,1,2936,0.358398,1160
ex281,3,rotate1_low12,1,low,12,1,3348,0.408691,748
ex281,4,rotate2_high12,2,high,12,1,3348,0.408691,748
ex281,5,rotate2_low12,2,low,12,1,3614,0.441162,482
ex281,6,rotate3_high12,3,high,12,1,3614,0.441162,482
ex281,7,rotate3_low12,3,low,12,1,3811,0.465210,285
ex281,8,rotate4_high12,4,high,12,1,3811,0.465210,285
ex281,9,rotate4_low12,4,low,12,1,3940,0.480957,156
ex281,10,rotate5_high12,5,high,12,1,3940,0.480957,156
ex281,11,rotate6_low12,6,low,12,1,4011,0.489624,85
ex281,12,rotate7_high12,7,high,12,1,4011,0.489624,85
ex282,1,rotate0_low13,0,low,13,1,5888,0.359375,2304
ex282,2,rotate1_high13,1,high,13,1,5888,0.359375,2304
ex282,3,rotate1_low13,1,low,13,1,6708,0.409424,1484
ex282,4,rotate2_high13,2,high,13,1,6708,0.409424,1484
ex282,5,rotate2_low13,2,low,13,1,7260,0.443115,932
ex282,6,rotate3_high13,3,high,13,1,7260,0.443115,932
ex282,7,rotate3_low13,3,low,13,1,7656,0.467285,536
ex282,8,rotate4_high13,4,high,13,1,7656,0.467285,536
ex282,9,rotate4_low13,4,low,13,1,7915,0.483093,277
